0.30 агрн. инарҭбааны	0,30 грн. подробнее
5,6,7 цыра:	5,6,7 единиц:
5 бжьы	5 голосов
5 минуҭк	5 минут
5 сааҭк	5 часов
5 цырак:	5 единиц:
6 бжьык	6 голосов
6 сааҭк	6 часов
75% авидео	75% видео
+79401234567 — абжьылда аномер адунеитә форматла.	+78121234567 — номер телефона в международном формате.
85 фунт инеиҵны	Менее 85 фунтов
8 бжьы	8 голосов
8 сааҭк рыла	за 8 часов
97 млн	97 млн
9 бжьык	9 голосов
9 драм инарҭбааны	9 драм подробнее
Еиҳа адырра	Узнать больше
Added	Добавлено
Add to Group	Добавить в группу
adВозрастное ограничение:	Возрастное ограничение:
Age restrictions	Возрастные ограничения
{albums} и {playlists}	{albums} и {playlists}
AliExpress аҭитәқәа	Товары AliExpress
AliExpress ахитқәа	Хиты AliExpress
Alumnus (Bachelor's)	Выпускник (бакалавр)
Alumnus (Master's)	Выпускник (магистр)
Alumnus (Specialist)	Выпускник (специалист)
Amigo аҭагалара	Загрузить Amigo
AMS-IX	Амстердам
Android аверсиақәа:	Версии Android:
Android азы аҭагалара	Скачать для Android
Android апланшетқәа	Планшеты Android
Android ахархәагақәа	Android устройства
Android ахь азышьҭра	Отправить на Android
Android-планшет	Android-планшет
API, Wiki	API и Wiki
API аботқәа рзы	API для ботов
API аверсиа ажәытә	Старая версия API
API аверсиа	Версия API
API аверсиа:	Версия API:
API аверсиақәа	Версии API
API адәқьаназы аилазааратә гәыԥ аҿы	API для магазина в сообществе
API ахь адҵааларақәа	Запросы к API
API иареи аибадырра	Знакомство с API
APNS (iOS азы ардыррақәа)	APNS (уведомления для iOS)
App Bundle ID, iOS азы:	App Bundle ID для iOS
App Id, iOS азы:	App ID для iOS
Applications	Приложения
App Store аҟны аҭагалара	СКАЧАТЬ В APP STORE
App Store ахь аиасра	Перейти в App Store
'apsny' насгьы 'аPsNy' еиԥшым ажәамаӡақәоуп.	'kNOpKA' и 'knopka' – разные пароли
{artist_name}: аклипқәа	{artist_name}: клипы
{artist_name}: альбомқәа	{artist_name}: альбомы
Atom аҭагалара	Скачать Atom
Autumn	Осень
Backend-наԥҵара анапхгаҩы	руководитель Backend-разработки
BOOM ақьачақьқәа	Стикеры BOOM
BOOM аԥшьы	Приложение BOOM
BOOM ахь аиасра	Перейти в BOOM
Boxberry	Боксберри
Browse comments	Обзор комментариев
{browser} ала	через {browser}
BYN	бел. руб.
{by} аилырхра	Сортировать {by}
Агәҽанызаара! аҭалара арҵабыргра анаҿаку, амаҵура ажәамаӡа аиҭашьақәыргылара аҭел аномер ала узыҟаҵаӡом.	Внимание! Когда подтверждение входа включено, услуга восстановления пароля по номеру телефона становится недоступной.
Ҳара ҳасалам шәҟәқәа шәара шәҟынӡа инаӡом	Наши письма до вас не доходят
C2DM (Android азы ардыррақәа)	C2DM (уведомления для Android)
Cancel invitation	Отменить приглашение
Candidate of Sciences	Кандидат наук
CAPS-Lock шаҿакым гәашәҭ	Убедитесь, что не включена кнопка Caps Lock
Cartoon Network Урыстәыла	Cartoon Network Россия
CEO ВКонтакте	CEO ВКонтакте
Change	Изменить
Choose a city	Выберите город
Combo анапаҵаҩра	Подписка Combo
Comic Con Урыстәыла	Comic Con Россия
Communities	Сообщества
Cosmopolitan Урыстәыла	Cosmopolitan Россия
{counter} из {total}	{counter} из {total}
{count} ардырра/{count} ардыррақәа/{count} ардыррақәа	{count} уведомление/{count} уведомления/{count} уведомлений
{count} бжьынҵамҭак/{count} бжьынҵамҭак/{count} бжьынҵамҭак	{count} аудиозапись/{count} аудиозаписи/{count} аудиозаписей
{count} цҳамҭак/{count}-цҳамҭак/{count}-цҳамҭак	{count} сообщение/{count} сообщения/{count} сообщений
{count} цыра.	{count} шт.
Ctrl+Enter — асалам шәҟәы ашьҭра	Ctrl+Enter – отправка сообщения
Ctrl+Enter — ацҳамҭа адәықәҵара	Ctrl+Enter — отправка сообщения
{current_count} аҟынтә {all_count}	{current_count} из {all_count}
DataIX	Москва, Петербург, Новосибирск
{date} %s шәынҵамҭа ахә ршьеит{post}/{date} %s шәынҵамҭа ахә ршьеит{post}/{date} %s шәынҵамҭа ахә ршьеит{post}	{date} %s человек оценил вашу запись {post}/{date} %s человека оценили вашу запись {post}/{date} %s человек оценили вашу запись {post}
{date} аӡәы аиҩызаразы шәааԥхьара идикылеит/{date}аиҩызаразы шәааԥхьара рыдыркылеит/{date} %s аиҩызаразы шәааԥхьара рыдыркылеит	{date} %s человек принял вашу заявку в друзья/{date} %s человека приняли вашу заявку в друзья/{date} %s человек приняли вашу заявку в друзья
{date} аилак аҿы ианиҵеит/{date} аилак аҿы ианылҵеит	{date} написал на стене сообщества/{date} написала на стене сообщества
{date} аҭак Шәажәеиларкка ахь {reply}	{date} в ответ на ваш комментарий {reply}
{date} ахәшьара аиҭеит шәажәеиларкка {reply} анҵамҭа ахь {post}/{date} ахәшьара алҭеит шәажәеиларкка {reply} анҵамҭа ахь {post}	{date} оценил ваш комментарий {reply} к записи {post}/{date} оценила ваш комментарий {reply} к записи {post}
{date} иннаркны	от {date}
{date} к записи {post}	к записи {post}
{date} шәынҵамҭа {post}	{date} на вашу запись {post}
{day} {month} {year}, {hour}:{minute}/{day} {month} {year}, {hour}:{minute}/{hour}:{minute}/уаҵәы, {hour}:{minute}	{day} {month} {year}, {hour}:{minute}/{day} {month} {year}, {hour}:{minute}/{hour}:{minute}/завтра, {hour}:{minute}
{day} {month} {year} {hour}:{minute}:{second} рзы/иацы {hour}:{minute}:{second} рзы/иахьа {hour}:{minute}:{second} рзы/уаҵәы {hour}:{minute}:{second} рзы	{day} {month} {year} в {hour}:{minute}:{second}/вчера в {hour}:{minute}:{second}/сегодня в {hour}:{minute}:{second}/завтра в {hour}:{minute}:{second}
{day} {month} {year} {hour}:{minute} рзы/иацы {hour}:{minute} рзы/иахьа {hour}:{minute} рзы/уаҵәы {hour}:{minute} рзы	{day} {month} {year} в {hour}:{minute}/вчера в {hour}:{minute}/сегодня в {hour}:{minute}/завтра в {hour}:{minute}
{day} {month} {year}/иацы, {num_day} {month}/иахьа, {num_day} {month}/уаҵәы, {num_day} {month}	{day} {month} {year}/вчера, {num_day} {month}/сегодня, {num_day} {month}/завтра, {num_day} {month}
{day} {month} {year} ш. рзы/иацы/иахьа/уаҵәы	{day} {month} {year}/вчера/сегодня/завтра
{day} {month} асааҭ {hour}:{minute} рзы/иацы асааҭ {hour}:{minute} рзы/иахьа асааҭ {hour}:{minute} рзы/уаҵәы асааҭ {hour}:{minute} рзы	{day} {month} в {hour}:{minute}/вчера в {hour}:{minute}/сегодня в {hour}:{minute}/завтра в {hour}:{minute}
{day} {month}/иацы/иахьа/уаҵәы	{day} {month}/вчера/сегодня/завтра
DG аҭахҳәагақәа	Заявки DG
Direct Games аҟнытә аԥарашәарақәа	Платежи с Direct Games
%d ахәшәаара аҟаҵашьа/%d ахәшәаара аҟаҵашьа/%d ахәшәаара аҟаҵашьа	%d способ оплаты/%d способа оплаты/%d способов оплаты
Email аанкылоуп.	Email заблокирован.
Email адҳәалара	Привязать email
Email адҳәалара	Привязать страницу
Email адырраҭара азы	Email для уведомлений
Email, ажәамаӡа, cookies	Email, пароль, cookies
Email аиқәырхара	Сохранить адрес
Email анапхгаҩы :	Email администратора:
Email аԥсахра	Изменить email
Email арбам.	Не указан email.
Email ардырразы:	Email для уведомлений:
Email аҭыӡҭыԥ	Email адрес
Email аҭыӡҭыԥ ҽыц	Новый email адрес
Email ахь анашьҭра ақәшаҳаҭра	Разрешить доступ к email
Email ахь анеирҭа ақәиҭымтәра	Запретить доступ к email
Email ахь анеирҭа	Доступ к электронному адресу
Email ишьақәырӷәӷәаӡам	Email не подтвержден
Email ма алогин аԥсахра	Изменить email или логин
Email ма аҭел	Email или телефон
Email ма аҭел ииашамкәа иарбоуп	Неправильно введён email или телефон
Email:	Рабочий email:
Email ҿыц:	Новый email:
Email ҿыц	Новый адрес
Email ҿыц:	Новый адрес:
Emoji-ақьачақьқәа	Emoji-стикеры
Enter — анҵамҭа ашьҭра, Shift+Enter — ацәаҳәа аиагара	Enter – отправка сообщения, Shift+Enter – перевод строки
Enter — ацәаҳәа аиагара	Enter — перенос строки
Enter — ацәаҳәа аиагара, Shift+Enter — анҵамҭа ашьҭра	Enter – перевод строки, Ctrl+Enter – отправка сообщения
Enter — ацҳамҭа адәықәҵара	Enter — отправка сообщения
Facebook ала аҭалара	Войти через Facebook
Facebook аҿы	в Facebook
Fashion	Мода
Flash Player ақәыргылара	Установить Flash Player
Flash Player аҭагалара	Загрузить Flash Player
Flash Player ашьақәыргылара	Установить Flash Player
Flash-контеинер:	Flash-контейнер:
Following	Вы подписаны
{from} ааԥхьара ииҭеит {user}/{from} ааԥхьара лиҭеит {user}	{from} пригласил {user}/{from} пригласила {user}
{from} аилацәажәара аԥшранҵа ирҿыҵит/{from} аилацәажәара аԥшранҵа илырҿыҵит	{from} обновил фотографию беседы/{from} обновила фотографию беседы
{from} аилацәажәарахь дхынҳәит/{from} аилацәажәарахь дхынҳәит	{from} вернулся в беседу/{from} вернулась в беседу
{from} дхынҳәит аилацәажәарахь/{from} дхынҳәит аилацәажәарахь	{from} вернулся в беседу/{from} вернулась в беседу
{from} иаанижьт аилацәажәара/{from} иаанлыжьт аилацәажәара	{from} вышел из беседы/{from} вышла из беседы
{from} иаԥыҵеит аилацәажәара {title}/{from} иаԥылҵеит аилацәажәара {title}	{from} создал беседу {title}/{from} создала беседу {title}
{from} инихеит аилацәажәара ԥшранҵа/{from} инылхеит аилацәажәара ԥшранҵа	{from} удалил фотографию беседы/{from} удалила фотографию беседы
{from} иԥсахит аилацәажәараахьӡ {title} ахь/{from} илыԥсахит аилацәажәара ахьӡ {title} ахь	{from} изменил название беседы: {title}/{from} изменила название беседы: {title}
{from} иҽадыикылеит аиҿцәажәара/{from} лҽадылкылеит аиҿцәажәара	{from} присоединился к беседе/{from} присоединилась к беседе
Gamescom 2017 аҿы ашоу Electronic Arts алагоит	Начинается трансляция шоу Electronic Arts на gamescom 2017
GCM (Android азы ардыррақәа)	GCM (уведомления для Android)
GIF-анимациа ахала алагара	Автоматически воспроизводить GIF-анимации
(GMT +10:00) Владивосток, Сиднеи	(GMT +10:00) Владивосток, Сидней
(GMT +11:00) Магадан	(GMT +11:00) Магадан
(GMT +11:30) Норфолк	(GMT +11:30) Норфолк
(GMT +12:00) Камчатка	(GMT +12:00) Камчатка
(GMT +12:45) Чатем	(GMT +12:45) Чатем
(GMT +13:00) Тонга	(GMT +13:00) Тонга
(GMT +14:00) Лаин адгьылбжьахақәа	(GMT +14:00) Острова Лайн
(GMT -3:30) Ньиуфаундленд	(GMT -3:30) Ньюфаундленд
(GMT +3:30) Тегеран	(GMT +3:30) Тегеран
(GMT +4:00) Ереван, Қарҭ	(GMT +4:00) Ереван
(GMT +4:30) Кабул	(GMT +4:30) Кабул
(GMT -4:30) Каракас	(GMT -4:30) Каракас
(GMT +5:30) Дели, Коломбо	(GMT +5:30) Дели, Коломбо
(GMT +5:45) Катманду	(GMT +5:45) Катманду
(GMT +6:00) Новосибирск, Алматы	(GMT +6:00) Новосибирск, Алматы
(GMT +6:30) Иангон	(GMT +6:30) Янгон
(GMT -7:00) Денвер	(GMT -7:00) Денвер
(GMT -8:00) Лос-Анџьелес	(GMT -8:00) Лос-Анджелес
(GMT +8:45) Кеигуна, Иукла	(GMT +8:45) Кейгуна, Юкла
(GMT +9:00) Иакутск, Токио	(GMT +9:00) Якутск, Токио
(GMT +9:30) Аделаида, Дарвин	(GMT +9:30) Аделаида, Дарвин
(GMT -9:30) Францызтәи Полинезиа	(GMT -9:30) Французская Полинезия
Google Maps	Google Карты
Google Play аҟны аҭагалара	СКАЧАТЬ В GOOGLE PLAY
Google Play ахь аиасра	Перейти в Google Play
Google Play аҿы анаӡара амоуп аԥшьы аверсиа ҿыц	В Google Play доступна новая версия приложения
Google ала аҭалара	Войти через Google
{h2}Адәқьан ахҳәаа{/h2}	{h2}Описание магазина{/h2}
{h2}Аҭитәқәа азнагара{/h2}	{h2}Доставка товаров{/h2}
{h2}Аҭитәқәа ахәшәара{/h2}	{h2}Оплата товаров{/h2}
House & Techno арҿыцрақәа	Новинки House & Techno
HTTPS-aҭыӡҭыԥ iframe ишәарҭадароу асаит ахь иианагоит.	HTTPS-aдрес iframe ведёт на небезопасный сайт.
HTTPS-аҭыӡҭыԥ IFrame:	HTTPS-адрес IFrame:
ID аԥшьы	ID приложения
ID аԥшьы ашәырбароуп	Вам необходимо указать ID приложения
ID ҭахҳәагақәа	ID заявки
IFrame/Flash аԥшьы	IFrame/Flash приложение
IFrame аҭыӡҭыԥ	Адрес IFrame
IFrame ашәага	Размер IFrame
IGM аилазаараҿы Warface ала ишиашоу ицо атранслиациа алагоит	В сообществе IGM начинается прямая трансляция по Warface
IGM аилазаараҿы иалагоит Warface ала ишиашоу ицо атранслиациа	В сообществе IGM начинается прямая трансляция по Warface
Instagram аҿы	в Instagram
Instagram иареи аинилаара	Интеграция с Instagram
Internet Explorer аҭагалара	Загрузить Internet Explorer
Invitation sent	Приглашение выслано
iOS аверсиақәа:	Версии iOS:
iPad апланшетқәа	Планшеты iPad
iPhone iPad хархәагақәа	iPhone и iPad устройства
iPhone азы аҭагалара	Скачать для iPhone
iPhone ахь азышьҭра	Отправить на iPhone
IP-аҭыӡҭыԥ: {ip}	IP-адрес: {ip}
{item1} насгьы {item2}	{item1} и {item2}
JSON аекспортра	Экспорт в JSON
KFC Урыстәыла	KFC Россия
League of Legends: Киберспорт	League of Legends: Киберспорт
{link_day}{day} {month}{/link_day} {link_year}{year} ш.{/link_year}	{link_day}{day} {month}{/link_day} {link_year}{year} г.{/link_year}
{link}Email ҿыц арбара{/link}	{link}Указать новый email{/link}
{link_other}Даҽа аԥошьҭа адреск{/link_other} шәхы иашәырхәар ҟалоит, мамзаргьы {link}активациа зызу ашәҟәы{/link} шәышьҭыр алшоит.	Вы можете {link_other}использовать другой почтовый адрес{/link_other} или {link}выслать письмо с активацией повторно{/link}.
{link}Аӡырҩрҭа аԥҵара{/link}	{link}Создать аудиторию{/link}
{link}Аӡырҩырҭақәа рахь аиасра{/link}	{link}Перейти к аудиториям{/link}
{link}Аиҭашьақәыргылара{/link}	{link}Восстановить.{/link}
{link}Альбом{/link}: {title}	{link}Альбом{/link}: {title}
{link}Ардыррақәа{/link}	{link}Уведомления{/link}
{link}Арҵабыргра акод агәаҭара аҿыхра{/link}. %s мшы рашьҭахь ари алшахоит аҭалара анышьақәырӷәӷәахалак./{link}Арҵабыргра акод агәаҭара аҿыхра{/link}. %s мшы рашьҭахь ари алшахоит аҭалара анышьақәырӷәӷәахалак./{link}Арҵабыргра акод агәаҭара аҿыхра{/link}. %s мшы рашьҭахь ари алшахоит аҭалара анышьақәырӷәӷәахалак.	{link}Отключить проверку кода подтверждения{/link}. Через %s день это можно будет сделать только после подтверждения входа./{link}Отключить проверку кода подтверждения{/link}. Через %s дня это можно будет сделать только после подтверждения входа./{link}Отключить проверку кода подтверждения{/link}. Через %s дней это можно будет сделать только после подтверждения входа.
{link}Ацҳамҭа{/link} аредакциа азура	Редактирование {link}сообщения{/link}
{link}Даҽа ԥошьҭа адреск{/link} шәхы иашәырхәар ҟалоит.	Вы можете {link}использовать другой почтовый адрес{/link}.
{link}Еиҳа адырра{/link}	{link}Узнать больше{/link}
{link}Шәажәеиларкка{/link} қәҿиарала ишьҭуп.	{link}ваш комментарий{/link} был успешно отправлен.
{link}Шәдаҟьа аныхра{/link} шәылшоит.	Вы можете {link}удалить свою страницу{/link}.
{link}шәыԥшранҵа{/link}	Вашу {link}фотографию{/link}
LINX Extreme LAN	Лондон
LINX Juniper LAN	Лондон
LIVE и BodroGordo	LIVE и BodroGordo
LIVE насгьы BodroGordo	LIVE и BodroGordo
Location:	Местоположение
{lookalike_request_source_name} даҽа %s/{lookalike_request_source_name} даҽа %s/{lookalike_request_source_name} даҽа %s	{lookalike_request_source_name} и ещё %s/{lookalike_request_source_name} и ещё %s/{lookalike_request_source_name} и ещё %s
{lookalike_request_source_name} насгьы {lookalike_request_source_name_2}	{lookalike_request_source_name} и {lookalike_request_source_name_2}
Mail.ru ала аҭалара	Войти через Mail.ru
Main activity, Android азы:	Main activity для Android
Mastercard, Maestro, Visa, МИР	Mastercard, Maestro, Visa, Мир
{minutes} мин	{minutes} мин
{money} (%s бжьык)/{money} (%s бжьы)/{money} (%s бжьқәа)	{money} (%s голос)/{money} (%s голоса)/{money} (%s голосов)
{month}. {day} {hour}:{minute} рзы/иацы {hour}:{minute} рзы/иахьа {hour}:{minute} рзы/уаҵәы {hour}:{minute} рзы	{day} {month} {hour}:{minute}/вчера в {hour}:{minute}/сегодня в {hour}:{minute}/завтра в {hour}:{minute}
{month}. {day} {hour}:{minute} рзы/иацы {hour}:{minute} рзы/иахьа {hour}:{minute} рзы/уаҵәы {hour}:{minute} рзы	{day} {month} в {hour}:{minute}/вчера в {hour}:{minute}/сегодня в {hour}:{minute}/завтра в {hour}:{minute}
{month} {day} {year} ш. рзы/иацы/иахьа/уаҵәы	{day} {month} {year}/вчера/сегодня/завтра
{month}мза {day} {year} ш. {hour}:{minute} рзы/Иацы {hour}:{minute} рзы/Иахьа {hour}:{minute} рзы/Уаҵәы {hour}:{minute} рзы	{day} {month} {year} в {hour}:{minute}/Вчера в {hour}:{minute}/Сегодня в {hour}:{minute}/Завтра в {hour}:{minute}
MPNS (Windows Phone ардыррақәа)	MPNS (уведомления Windows Phone)
Music	Музыка
{name1}, {name2}	{name1} и {name2}
{name1}, {name2} абжьытә аацҳара ҭарыҩуеит	{name1} и {name2} записывают аудио
{names} ахә ишьеит {what} /{names} ахә ишьеит {what}	{names} оценил {what}/{names} оценила {what}
{names} ахә ишьеит {what} /{names} ахә ишьеит {what}	{names} указал {what}/{names} указала {what}
{names} ахә ршьеит {what}	{names} оценили {what}
{names} насгьы {last_name}	{names} и {last_name}
{names} насгьы {name}	{names} и {name}
{names} рҽаҵарҩҩит шәырҿыцрақәа рахь	{names} подписались на ваши обновления
{name} абжьытә аацҳара ҭаи(л)ҩуеит	{name} записывает аудио
{name} Аклипқәа | ВКонтакте	{name} Клипы | ВКонтакте
{name} амаӡара аполитика	Политика конфиденциальности {name}
{name} аҵәҵәа атранслиациа мҩаԥыигоит	{name} ведёт трансляцию звонка
{name}, игәнаҳгоит, шәдаҟьа иадҳәаланы цәгьашақә ахархәара ҳаԥшааит, убри иахҟьаны иаанкылоуп.	{name}, к сожалению, мы обнаружили злоупотребления, связанные с Вашей страницей, и она была заблокирована.
{name}и егьырҭ ишәыдаҳгалогьы шәрыхәаԥша	Посмотрите на {name} и другие рекомендации
{name}, ҳара иааҳарԥшит зыгәрагам активра, аамҭала иаанаҳкалит шәдаҟьа, ацәгьахәыцыҩцәа ирымпыҵҳхырц азы.	{name}, мы обнаружили подозрительную активность и временно заморозили Вашу страницу, чтобы вырвать её из рук злоумышленников.
{name} шәдаҟьаҿы ианиҵеит:/{name} шәдаҟьаҿы ианылҵеит:	{name} написал на вашей стене:/{name} написала на вашей стене:
NDA еиқәыршәоуп	Оформлен NDA
Nescafé 3 in 1	Nescafé 3 в 1
Netnod-A	Стокгольм
Netnod-B	Стокгольм
New post	Новая запись на стене
№{position} ажанр аҿы «{genre}»	№{position} в жанре «{genre}»
No	Нет
{num_day}.{month}.{short_year} {num_hour}:{minute}/иацы, {num_hour}:{minute}/иахьа, {num_hour}:{minute}/уаҵәы, {num_hour}:{minute}	{num_day}.{month}.{short_year} {num_hour}:{minute}/вчера, {num_hour}:{minute}/сегодня, {num_hour}:{minute}/завтра, {num_hour}:{minute}
{num_day}.{month}.{short_year}/иацы/{num_hour}:{minute}/уаҵәы	{num_day}.{month}.{short_year}/вчера/{num_hour}:{minute}/завтра
{num} SMS {count} аҟнытә	{num} SMS из {count}
%n стиль/%n стильқәа/%n стильқәа	%n стиль/%n стиля/%n стилей
%n хәыда-ԥсада	%n бесплатно
Office 365 аалыҵқәа	Продукты Office 365
OK.ru ала аҭалара	Войти через OK.ru
Other	Другое
Pay	Оплатить
PhD	Доктор наук
{phone} or me(at)sample.com	{phone} или me(at)sample.com
PIN-ахьӡмаӡа иашаӡам	Неверный PIN-код
PIN-ахьӡмаӡа иашаӡам.	Неверный PIN-код.
Play Machine аҭагалара	Скачать Play Machine
PlayStation Ақьачақьқәа	Стикеры PlayStation
PlayStation Урыстәыла	PlayStation Россия
Postgraduate Student	Аспирант
Post	Отправить
{price} / м²	{price} / м²
{price} / м³	{price} / м³
PR анапхгаҩы	Директор по PR
Push-ардыррақәа	Push-уведомления
Push-ардыррақәа:	Push-уведомления:
Push-қәҿыҭрақәа:	Push-уведомления
QR-ажәамаӡа	QR-код
QR-ахьӡмаӡа	QR-код
{question} — {answer}/{question} — {answers}, {answer}/{question} — {answers}, {answer}	{question} — {answer}/{question} — {answers} и {answer}/{question} — {answers} и {answer}
Rammstein ВКонтакте	Rammstein ВКонтакте
Recommendations	Рекомендации
{reports} с {date}	{reports} с {date}
Report	Пожаловаться
{rights} насгьы {right}	{rights} и {right}
RSS ахь азхьарԥш:	Ссылка на RSS:
RSS аҿакра	Включить RSS
RSS аҿыхра	Отключить RSS
RSS експорт:	RSS-экспорт:
RSS импорт:	RSS-импорт:
RSS импорт:	Импорт RSS:
RSS-қьаад	RSS-файл
Save	Сохранить
%s BYN	%s б. р.
SDK архиагақәа	Настройки SDK
second line {friends_count_info}	вторая строка {friends_count_info}
{seconds} с	{seconds} с
Select a country	Выберите страну
Selected for You	Специально для вас
{selected} {limit} аҟнытә	{selected} из {limit}
Send gift	Отправить подарок
Send	Отправить
Share	Поделиться
Shift+Enter — ацәаҳәа аиагара	Shift+Enter – перевод строки
Shift+Enter — ацәаҳәа аиагара	Shift+Enter — перенос строки
Show all	Показать все
Show more	Показать ещё
Sign up	Записаться
Sillamäe (Силламиае)	Sillamäe (Силламяэ)
%s, {link}ахәҭаҷқәа{/link}	%s, {link}детали{/link}
SMM анаԥхгаҩы - Yota ахырхарҭала	Руководитель SMM-направления Yota
SMS-азаацҳарақәа иарбоу %s аномер ахь инашьҭхоит.	SMS-оповещения будут приходить на номер %s
SMS ала {user} л(и)анҵамҭа ҿыцқәа аиура	Получать новые записи {user} через SMS
SMS ала {user} л(и)ҟнытә хаҭалатәи ацҳаамҭақәа аиура	Получать личные сообщения от {user} через SMS
SMS ала ашьақәырӷәӷәара	Подтвердить через SMS
SMS ала иԥкааны азаацҳара	Подробнее об оповещениях через SMS
SMS-алаҳәарақәа активациа рзуразы амаҵзура «SMS-аҩызцәа» аҿашәк.	Для активации SMS-оповещений подключите услугу «SMS-Друзья».
SMS ала	через SMS
SMS аномер %s ахь	SMS на номер %s
*SMS анышәышьҭлак ашьҭахь, шәара ишәзаашьҭхоит 6-хыԥхьаӡаракла ишьақәгылоу акод.	*После отправки SMS вы получите 6-значный код из ответного сообщения.
SMS-ашьақәырӷәӷәара	SMS-подтверждение
SMS-ашьақәырӷәӷәара	Подтверждение по SMS
SMS-лаҳәарақәа аҿакӡам	SMS-оповещения не подключены
SMS-лаҳәарақәа аҿыхуп	SMS-оповещения отключены
SMS-лаҳәарақәа қәҿиарала иаҿыхуп.	SMS-оповещения успешно отключены.
SMS-лаҳәарақәа рҿыхра	Отключение SMS-оповещений
SMS-лаҳәарақәа рырхиага	Настройка SMS-оповещений
SMS-цҳамҭа	SMS-сообщение
Snapster ашьақәыргылара	Установить Snapster
SOLD OUT ральбом ҿыц	Новый альбом SOLD OUT
{span}Аҭҵааҩы:{/span} %s	{span}Разработчик:{/span} %s
Special Forces иалоуп	Состоит в Special Forces
SSL асертификат:	Сертификат SSL:
