Абираҟ ҳаргылап	Установить флажок
ари аверсиаҿы ахархәара змоу	используемую в этой версии.
аибыҭара аиԥштәра 	Идентификатор сборки:
Азеиԥш	Общие
Инарҭбаан алшарақәа	Расширенные возможности
Асаитқәа алаԥш рыхгара	Просмотр сайтов
Абраузер ишыҟоу еиԥш	Браузер по умолчанию
Аҳа	Сеть
Аиԥшьра	Соединение
&brandShortName; аиԥшьрақәа ахышәарақәа азшәырхиа; аинтернетахь	Настройте параметры соединения &brandShortName; с Интернет
Ахатә шьҭаҵарҭа	Автономное хранилище
МВ акешаз адискаҿ	МБ на диске для кэша
Аҽырҿыцрақәа	Обновления
...азы ахала аҽырҿыцрақәа гәаҭалатәуп:	Автоматически проверять наличие обновлений для:
&brandShortName; азы аҽыԥсахрақәа аныԥшаахо:	При обнаружении обновлений для &brandShortName;:
Анаҩстәи авеб-саитқәа ахалатә режимаҿ аусуразы ихыхьчеит адыррақәа:	Следующие веб-сайты сохранили данные для работы в автономном режиме:
Аҵакыра (%S)	Содержимое %S
Ари афаилхкы иақәшәо аԥшьқәа ԥшаам	Для данного типа файла ни одного приложения не найдено.
 Аххәаа	Обзор…
Ари афаил ... ахь идәықәҵатәуп	Отправить этот файл в:
Арихиараан агха ҟаҵоуп	Ошибка настройки
Аҽырхиагатә фаил аԥхьараан агха ҟалеит. Асистемат администратор шәидҵаала.	Ошибка при чтении файла настроек. Обратитесь к системному администратору.
Аҽырхиагатә системантә агәҽанызаара 	Предупреждение системы автонастройки
Аелектронтә пошьҭа	Электронная почта
Шәпошҭа аелектронтә адрес анышәҵа 	Введите свой адрес электронной почты
Аԥенџьыр	Окно
Архиарақәа…	Настройки…
Иаҳарбап зегьы	Показать все
Иҵәахтәуп	Скрыть
Ацҵара	Добавить
Агәылаҵа ацҵатәуп	Добавить закладку
Еиҭашьақәыргылатәуп	Восстановить
Ажурнал зегь арбатәуп	Добавить страницу в закладки
Ажәабжьқәа рцәаҳәақәа аёаҵаҩра…	Подписаться на ленты новостей
Иаԥхьааиуа адаҟьахь	На предыдущую страницу
Анаҩстәи адаҟьахь	На следующую страницу
Аҵыхәтәантәи адаҟьақәа	Последние страницы
Уажәтәи адаҟьа рҿыцтәуп	Обновить текущую страницу
Адаҟьа аҭагалара аанкылатәуп	Остановить загрузку страницы
Акьыԥхьра	Печать
Аҭыԥ алхра	Адрес
Аԥшаара	Поиск
Аҩныҟа	Домой
С	C
А	A
Аиаигәа иаркыз агәылаҵақәа	Недавно закрытые вкладки
Аҩныҟатәи адаҟьа	Домашняя страница
Ажурнал зегьы арбатәуп	Показать весь журнал
Аԥенџьыр ҿыц аарттәуп	Открыть новое окно
Аваратәи апанель арктәуп	Закрыть боковую панель
Аҭыҵра ахьынтә (&brandShortName;)	Выход из &brandShortName;
Ари аԥенџьыр уаҳа иааҳмырԥшлап.	Больше не показывать это окно.
Иактиву акурсор	Активный курсор
Апатҟур F7 ақәаӷәараан..  Ари арежим аҟны, акрсор адаҟьаҿ иқәыргыланы, атекст алышәкаар шәлшоит АКЛАВИАТУРА ала. Ари арежим ҿаҳкрыма?	Нажатие клавиши F7 включает или выключает режим активного курсора. В этом режиме, поместив курсор на страницу, вы можете выделять текст с помощью клавиатуры. Включить этот режим?
Ааи	Да
Мап ацәктәуп	Отклонить
Иаалхны	Исключения
Аҭыԥ алхра:	Адрес:
Англызтә (US-ASCII)	Английская (US-ASCII)
Мраҭашәаратәи аевропа (ISO-8859-1)	Западноевропейская (ISO-8859-1)
Европагәҭатәи (ISO-8859-2)	Центральноевропейская (ISO-8859-2)
Аладаевропатәи (ISO-8859-3)	Южноевропейская (ISO-8859-3)
Балтика аҿықәтәи (ISO-8859-4)	Прибалтийская (ISO-8859-4)
Аҭырқәтә (ISO-8859-9)	Турецкая (ISO-8859-9)
Аскандинавтә (ISO-8859-10)	Скандинавская (ISO-8859-10)
Балтика аҿықәтәи (ISO-8859-13)	Прибалтийская (ISO-8859-13)
Кельттәи (ISO-8859-14)	Кельтская (ISO-8859-14)
Мраҭашәараевропатәи (ISO-8859-15)	Западноевропейская (ISO-8859-15)
Арумынтә (ISO-8859-16)	Румынская (ISO-8859-16)
Европагәҭатәи (Windows-1250)	Центральноевропейская (Windows-1250)
Мраҭашәараевропатәи (Windows-1252)	Западноевропейская (Windows-1252)
Аҭырқәатә (Windows-1254)	Турецкая (Windows-1254)
Балтика аҿықәтәи (Windows-1257)	Прибалтийская (Windows-1257)
Мраҭашәараевропатәи (MacRoman)	Западноевропейская (MacRoman)
Европагәҭатәи (MacCE)	Центральноевропейская (MacCE)
Аҭырқәатә (MacTurkish)	Турецкая (MacTurkish)
Ахорваттә (MacCroatian)	Хорватская (MacCroatian)
Арумынтә (MacRomanian)	Румынская (MacRomanian)
Аисландтә (MacIcelandic)	Исландская (MacIcelandic)
Иапониатәи (ISO-2022-JP)	Японская (ISO-2022-JP)
Аиапонтә (Shift_JIS)	Японская (Shift_JIS)
Аиапонтә (EUC-JP)	Японская (EUC-JP)
Акитаитә атрадициатә (Big5)	Китайская традиционная (Big5)
Итардицио акитаитә (Big5-HKSCS)	Китайская традиционная (Big5-HKSCS)
Акитаитә итрадициатәу (EUC-TW)	Китайская традиционная (EUC-TW)
Акитаитә ирмариоу (GB2312)	Китайская упрощённая (GB2312)
Акитаитә ирмарианы (HZ)	Китайская упрощённая (HZ)
Акитаитә ирмарианы (GBK)	Китайская упрощённая (GBK)
Акитаитә ирмарианы (ISO-2022-CN)	Китайская упрощённая (ISO-2022-CN)
Кореиатәи (EUC-KR)	Корейская (EUC-KR)
Акореитә (JOHAB)	Корейская (JOHAB)
Акореитә (UHC)	Корейская (UHC)
Акореитә (ISO-2022-KR)	Корейская (ISO-2022-KR)
Иуникод (UTF-7)	Юникод (UTF-7)
Иуникод (UTF-8)	Юникод (UTF-8)
Аиуникод (UTF-16)	Юникод (UTF-16)
Иуникод (UTF-16 Little Endian)	Юникод (UTF-16 Little Endian)
Иуникод (UTF-16 Big Endian)	Юникод (UTF-16 Big Endian)
Аиуникод (UTF-32 Little Endian)	Юникод (UTF-32 Little Endian)
Иуникод (UTF-32 Big Endian)	Юникод (UTF-32 Big Endian)
Акириллицатә (ISO-8859-5)	Кириллица (ISO-8859-5)
Акириллицатә (ISO-IR-111)	Кириллица (ISO-IR-111)
Акириллицатә (Windows-1251)	Кириллица (Windows-1251)
Акириллицатә (MacCyrillic)	Кириллица (MacCyrillic)
Акириллицатә/Украинатәи (MacUkrainian)	Кириллица/Украина (MacUkrainian)
Акириллицатә (KOI8-R)	Кириллица (KOI8-R)
Акириллицатә/Украинатәи (KOI8-U)	Кириллица/Украина (KOI8-U)
Абырзентә (Windows-1253)	Греческая (Windows-1253)
Абырзентә (MacGreek)	Греческая (MacGreek)
Аветнатә (Windows-1258)	Вьетнамская (Windows-1258)
Аветнатә (TCVN)	Вьетнамская (TCVN)
Аветнатә (VISCII)	Вьетнамская (VISCII)
Аветнатә (VPS)	Вьетнамская (VPS)
Ақырҭтә (GEOSTD8)	Грузинская (GEOSTD8)
Атаитә (TIS-620)	Тайская (TIS-620)
Атаитә (Windows-874)	Тайская (Windows-874)
Атаитә (IBM-874)	Тайская (IBM-874)
Аерманытә (ARMSCII-8)	Армянская (ARMSCII-8)
Арабтә (ISO-8859-6)	Арабская (ISO-8859-6)
Арабтә (ISO-8859-6-I)	Арабская (ISO-8859-6-I)
Арабтә (ISO-8859-6-E)	Арабская (ISO-8859-6-E)
Ауриатә (ISO-8859-8)	Иврит (ISO-8859-8)
Ауриатә (ISO-8859-8-I)	Иврит (ISO-8859-8-I)
Ауриатә (ISO-8859-8-E)	Иврит (ISO-8859-8-E)
Ауриатә (Windows-1255)	Иврит (Windows-1255)
Арабтә (Windows-1256)	Арабская (Windows-1256)
Ахархәаҩ ишаирбо ала	Определённая пользователем
Акириллицатә/Урыстәыла (CP-866)	Кириллица/Россия (CP-866)
Мраҭашәаратәи аевроппа (IBM-850)	Западноевропейская (IBM-850)
Акириллицатә (IBM-855)	Кириллица (IBM-855)
Аҭырқәатә (IBM-857)	Турецкая (IBM-857)
Ауриатә (IBM-862)	Иврит (IBM-862)
Арабтә (IBM-864)	Арабская (IBM-864)
Арабтә (IBM-864-I)	Арабская (IBM-864-I)
Акитаитә ирмарианы (GB18030)	Китайская упрощённая (GB18030)
Арабтә (MacArabic)	Арабская (MacArabic)
Арабтә (Langbox ISO-8859-6.8x)	Арабская (Langbox ISO-8859-6.8x)
Арабтә (Langbox ISO-8859-6.16)	Арабская (Langbox ISO-8859-6.16)
Ауриатә (MacHebrew)	Иврит (MacHebrew)
Ахинди (MacDevanagari)	Хинди (MacDevanagari)
Агәыджаратә (MacGujarati)	Гуджарати (MacGujarati)
(Иаҿыхуп)	(Отключено)
Ауниверсалтә	Универсальная
Аиапонтә	Японская
Акореиатә	Корейская
Акитаитә итрадициатәу	Традиционная китайская
Акитаитә ирмариоу	Упрощённая китайская
Акитаитә	Китайская
Мрагылара азиатәи	Восточноазиатская
Аурыстә	Русская
Аукраинатә	Украинская
Аԥштәқәа	Цвета
Икьаҿу ахы	Краткий заголовок
Иабалакгьи атекст аҿарԥштәы.	Пример какого-либо текста.
Ахархәаҩ ихьӡ:	Имя пользователя:
Амаӡажәа:	Пароль:
Амаӡажәа аиҭаҵабыргра:	Подтверждение пароля:
Агәҽанҵара	Предупреждение
Арҵабыргра	Подтверждение
Ааԥхьара	Приглашение
Аутентификациа ахәҭоуп	Требуется аутентификация
Амаӡажәа ахәҭоуп	Требуется пароль
Аилых	Выбор
Архынҳәра	Отмена
Аиқәырхара	&Сохранить
[JavaScript ацҵаԥшьы]	[Приложение JavaScript]
Адаҟьа %S аҟны адырра ҳанаҭоит:	Страница на %S сообщает:
Шәгәышәҽаныз, мамзар гарантиада шәаанхоит!	Будьте осторожны, а то лишитесь гарантии!
Агәра шәсыргоит сыгәыҽанызааует (агәҽанызара)!	Я обещаю, что буду осторожен!
 Ари агәҽанҵара анеиҩс еҭах иааҳарԥшлап	Показывать это предупреждение в следующий раз
Аҭагылазаашьа	Состояние
Иҭоу аҵакы	Тип
Аҵакы	Значение
Аилыхразы шәақәыӷа	Нажмите для сортировки
Шәақәыӷәа, аколонкақәа аарԥшаразы	Нажмите, чтобы выбрать колонки для отображения
ҿымҭра ала	по умолчанию
ахархәаҩ ишықәиргылаз	установлено пользователем
иаанкылоп	заблокировано
ацәаҳа	строка
еибго	целое
алогикатә	логическое
(%S) аҵакы ҿыц	Новое значение (%S)
Ашьақәыргыла ахьӡ ҭажәгал	Введите имя настройки
(%S) аҵакы ҭажәгал	Введите значение (%S)
Аҽаԥшьырҭа:	Порт:
Агхақәа рконсол	Консоль ошибок
Аӡхы:	Источник:
Ацәаҳәа:	Строка:
Асимвол:	Символ:
Агха:	Ошибка:
Агәыҽанҵара	Предупреждение:
Аӡхы: %S	Источник: %S
Ацәаҳәа: %S	Строка: %S
Ацәаҳәа: %S, асимвол %S	Строка %S, символ %S
Аӡхытә код:	Исходный код:
Асахьа еқәхархап	Сохранение изображения
Ишԥа еқәырхатәу	Сохранить как
Уеб-даҟьа, инҭырҳәацааны	Веб-страница, полностью
Уеб-даҟьа, HTML мацара	Веб-страница, только HTML
Уеб-даҟьа, XHTML мацара	Веб-страница, только XHTML
Уеб-даҟьа, SVG мацара	Веб-страница, только SVG
Уеб-даҟьа, ХML мацара	Веб-страница, только XML
Абызшәақәа	Языки
Иалышәх абызшәа авеб даҟьаҿ ижәбарц ишәҭаху	Выберите язык, предпочитаемый вами для отображения веб-страниц
Иҭоу // иагәылоу	Содержимое:
Амҩа:	Путь:
Ишьҭлатәуп … аан	Отправлять при:
Ахархәара аамҭа нҵәоит:	Срок действия истекает:
Аполитика:	Политика:
 cookie шеиқәырхоу ала арҵабыргра	Подтверждение сохранения cookie
иԥкаауа зегь аарԥштәуп	Показать подробности
... Ҵәахтәуп	Скрыть подробности
Асаит %S  cookie еиқәнархац аҭахуп.	Сайт %S хочет сохранить cookie.
Асаит %S аҩбатъи cookie еиқәнархарц агәы иҭоуп.	Сайт %S собирается сохранить второй cookie.
Асаит %S ийоу cookie а8сахырц а0ахуп.	Сайт %S хочет изменить существующий cookie.
Аилаҳара иазкәы адрырраҭа инашьҭыз	Отправленные сообщения о падениях
Адырраҭа аиндификатор	Идентификатор сообщения
Анашьҭраантәи арыцхә	Дата отправки
Аилаҳара иазкәы адрырраҭакгьи нашьҭымызт	Ни одного сообщения о падении отправлено не было.
Ари ацраԥшьы шьқәыргыламызт аиқәаҳара адыррҭа аарԥшраз . Апораметр <code>breakpad.reportURL</code> ықәаргылатәп.	Это приложение не было настроено на отображение сообщений о падениях. Необходимо установить параметр <code>breakpad.reportURL</code>.
Адырраҭа ықәаҳгап	Удалить сообщения
Агәраганы шәыҟома?	Вы уверены?
Ари адырраҭақәу зегь ықәнагоит архынҳәрагь аухаӡом.	Это удалит все сообщения и не может быть отменено.
Астилқәа рҭаӡҩырҭа %1$S ҭагаламызт, избанзар иара MIME-тип («%2$S») «text/css» акәыӡам.	Таблица стилей %1$S не была загружена, потому что её MIME-тип («%2$S») не «text/css».
Аҭаӡҩырҭақәа рыстил %1$S ҭагалан MIME-тип («%2$S»)  «text/css» шакумызгьи.	Таблица стилей %1$S была загружена, хотя её MIME-тип («%2$S») не «text/css».
%1$S аԥшаараан ҳазқәымгәӷәуаз аҵыхәтәы.	Неожиданный конец файла при поиске %1$S.
Ацәаҳәа абжажьқәа рыла еиҿкаауп, астил адескриптор еиԥш аинтерпритациа азыухоит.	Строка состоит из пробелов, и будет интерпретирована как дескриптор стиля.
Ицәыӡу аиҭарҿыцра.	Потерянное объявление.
Ибжьажьуп анеиҩстәи аиҭарҿыцра аҟынӡа.	Пропущено до следующего объявления.
«%1$S» еилкаам аҟазшьа.	Неизвестное свойство «%1$S».
«%1$S» аҟазшьа аҵакы анализ азыураантәи агха.	Ошибка при анализе значения свойства «%1$S».
Аҵакы аҟазшьа аҵыхәтәы ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался конец значения свойства, но найдено «%1$S».
Еилкаам at-ԥҟара аҵахәтәы	конец неопознанного at-правила
Елкаам at-ԥҟара ма «%1$S» анализ азыураантәи агха.	Неизвестное at-правило или ошибка при анализе «%1$S».
 @charset аԥҟараҿ ацәаҳәақәа ркодировка	кодировка строк в правиле @charset
Акодировкатә цәаҳәа ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалась строка кодировки, но найдено «%1$S».
@import ма @media аԥҟарраҿы медиа ахьӡанҵаҿы хыркәшоп	конец списка медиа в @import или @media правиле
Медиа ахьӡанҵаҿы «,»ҳазыԥшын, иаҳаԥшааз «%1$S».	Ожидалась «,» в списке медиа, но найдено «%1$S».
Медиа ахьӡынҵаҟнф аидентификатор ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался идентификатор в списке медиа, но найдено «%1$S».
@import аԥҟараҿ URI ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался URI в правиле @import, но найден «%1$S».
@import аҩныҵҟа ҳазқәымгәыӷәаз «%1$S» ԥшаауп.	Найдено неожиданное «%1$S» внутри @import.
 @media ма @-moz-document аԥҟара аҵыхәтәы	конец правила @media или @-moz-document
@-moz-document аԥҟарраҿ url(), url-prefix() ма domain()  ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидались url(), url-prefix() или domain() в правиле @-moz-document, но найдено «%1$S».
 @-moz-document адокумент аԥҟараҿы URI ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался URI в правиле @-moz-document, но найдено «%1$S».
@namespace аԥҟараҿы ахьӡқәа еиужьра апрефикс	префикс пространства имён в правиле @namespace
 @namespace аԥҟараҿы ахьӡқәа реиужьра URI	пространство имён URI в правиле @namespace
. @namespace аҩныҵҟа ҳазқәымгыӷыц адырга: «%1$S».	Неожиданный символ внутри @namespace: «%1$S».
аиҭарҿыцра } иазыркәа	закрывающая } объявления
ииашам аԥҟара } аркыга	закрывающая } неверного правила
Аселектор хьҽеим азы апҟара елагоу.	Правило проигнорировано из-за плохого селектора.
«,» ма «{»	«,» или «{»
«,» ма «{» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидались «,» или «{», но найдено «%1$S».
Аселектор ҳазыԥшуп.	Ожидается селектор.
Акласс ахьӡ	имя класса
Акласс аселектор азы аидентификатор ҳазыԥшын, амала иԥшаахаз «%1$S».	Ожидался идентификатор для селектора класса, но найдено «%1$S».
Аелимент атип	тип элемента
аелемент ахьӡ ма «*» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось имя элемента или «*», но найдено «%1$S».
Ахьӡқәа реиужьраҟны «%1$S» еилкаам апрефикс.	Неизвестный префикс пространства имён «%1$S».
Атрибуҭ ахьӡ	имя атрибута
Атрибут ахьӡ азы аидентификатор ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался идентификатор для имени атрибута, но найдено «%1$S».
Атрибут ма ахьӡқәа реиужьра ҳазыԥшын, амала иԥшаахаз «%1$S».	Ожидались имя атрибута или пространство имён, но найдено «%1$S».
«|» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось «|» , но найдено «%1$S».
аселектор атрибут ахәҭа	часть селектора атрибута
Аселектор атрибутаҿ игәанҽамыз адырга: «%1$S».	Неожиданный символ в атрибуте селектора : «%1$S».
атрибут аҵакы	значение атрибута
аселектор атрибут аҵыхәтәанынӡа «]»	«]» до конца атрибута селектора
Аселектор атрибут аҵыхәтәанынӡа «]» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось «]» до окончания атрибута селектора, но найдено «%1$S».
ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидались идентификатор или строка для значения атрибута селектора, но найдено «%1$S».
псевдо-класс ма апсевдо-елемент ахьӡ	имя псевдо-класса или псевдо-элемента
Аидентификатор апсевдо-класс ма апсевдо-ҽлемент азы ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался идентификатор для псевдо-класса или псевдо-элемента, но найдено «%1$S».
Апсевдо-елемет ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался псевдо-элемент, но найдено «%1$S».
Ари апсевдо-елемент ахы анархәароп «::» аформ: «%1$S».	Этот псевдо-элемент должен использовать «::» форму: «%1$S».
Аԥсевдо-елемент анаҩыс аркыгап дырга ԥшаауп, аселектор анҵәанҭатә хәҭакеиԥш иҟазароуп: «%1$S».	После псевдо-элемента найден закрывающий символ, который должен быть конечной частью селектора: «%1$S».
Ахарҭәаатә псевдо-елемент «%1$S».	Дополнительный псевдо-элемент «%1$S».
Еилкаам псевдо-класс ма псеудо-елемент «%1$S».	Неизвестный псевдо-класс или псевдо-элемент «%1$S».
селектор мап акра аҩныҵҟа	селектор внутри отрицания
Уаҩҵас еиҿкаам имариоу аселектор ....	Плохо сформированный простой селектор в качестве аргумента «%1$S» отрицающего псевдо-класса.
«)» «%1$S»	Потеряна закрывающая «)» в отрицающем псевдо-классе «%1$S».
Апсевдо-класс мапацәызкәа аргумент  «%1$S» ыӡуп. 	Потерян аргумент отрицающего псевдо-класса «%1$S».
Псевдо-класс аргумент аселектор	аргумент селектора псевдо-класса
Апсевдо-класс апараметр аидентификатор ҳазыԥшын, аха иԥшшаахаз «%1$S» ауп.	Ожидался идентификатор параметра псевдо-класса, но найдено «%1$S».
Апсевдо-класс аргумент ахәҭак ҳақәыгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалась часть аргумента псевдо-класса, но найдено «%1$S».
Апсевдо-классаҟны «)» азыркәа цәӡуп, иԥшшаахаз «%1$S» ауп.	Потеряна закрывающая «)» в псевдо-классе, найдена «%1$S».
Апсевдо-классаҿ «%1$S» аргумент ыӡуп.	Потерян аргумент в псевдо-классе «%1$S».
Адырраҭарақәа рыблок алагамҭаз «{» ҳазыԥшын, амала иԥшаахаз «%1$S».	Ожидалась «{» — начало блока объявления, но найдено «%1$S».
аԥшхәытәқәа	цвета
Аԥшхәтәы аилкаара ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось определение цвета, но найдено «%1$S».
аԥшхәтәы акомпанент	компоненты цвета
Апрцетә ҵакы ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось процентное значение, но найдено «%1$S».
Арыцхәыеибга ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось целочисленное значение, но найдено «%1$S».
Апроцентә ма арыцхәтә цакы ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось численное или процентное значение в rgb(), но найдено «%1$S».
«%2$S» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось «%2$S», но найдено «%1$S».
ацәаԥштәхәы	оттенок
«,» ҳазыԥшын, амала иԥшаахаз «%1$S».	Ожидалась «,» но найдено «%1$S».
аԥшхәтәы аҵакаҿы кеикеиым	непрозрачность в значении цвета
Анумер ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидался номер, но найдено «%1$S».
«)» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалась «)», но найдено «%1$S».
«;» ма «}» аҭарҿыцра аҵыхәтәазы	«;» или «}» для конца объявления
«:» Ҳазыԥшын, амала иаҳзымԥшааит «%1$S»	Ожидалось «:», но найдено «%1$S».
Адырраҭа ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалось объявление, но найдено «%1$S».
Адырраҭара аҵыхәтәы	конец объявления
ихадароуп	важно
«important» ҳазыԥшын, амала иԥшаахаз «%1$S».	Ожидалось «important», но найдено «%1$S».
Иазыркәа «;» ҳақәгыӷәан, аха иԥшшаахаз «%1$S» ауп.	Ожидалась «;» закрывающая объявление, но найдено «%1$S».
«;» ма «}» адырраҭара азыркәа азыԥшын, амала иԥшаахаз «%1$S».	Ожидались «;» или «}» закрывающие объявление, но найдено «%1$S».
Аҩныҵҟатәи аҟазшьа аҵакы аҭара сылшом.	Не могу задать значение внутреннего свойства.
Иаркым ацәаҳәа «%1$S» ԥшаауп.	Найдена незакрытая строка «%1$S».
Акодировкап шьақәылара	Настройка кодировки
Иактиву кодировкақәа:	Активные кодировки:
Иаԥыхтә&уп	&Удалить
Иҳанашьо акодировкақәа:	Доступные кодировки:
Аелиментқәа ацҵареи ақәгареи шәылшоит амыруыгақәа рпонелаҿ, аҳәынапала етаганы.	Вы можете добавлять или удалять элементы на панелях инструментов, перетаскивая их мышью.
Иааҳарԥшлап:	Показывать:
Атексти адыргақәеи	Значки и текст
Аҵакы мацара	Только значки
Атекст мацара	Только текст
