Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Ажәеиларкка аҭӡамц аҟнытә	Комментарий со стены
Ажәеиларккақәа аҭӡамц аҿы	Комментарии на стене
Аижәлантәқәеи ахьӡылацәеи	Однофамильцы и тёзки
Атемаҿы ацҳамҭақәа ыҟаӡам	В теме нет сообщений
Аҭаҭын ахара азыҟазаашьа:	Отношение к курению:
ахаҭабзиара азы адиреқтор	директор по качеству
Ианышәҵа азхьарԥш аҭыӡҭыԥ	Введите адрес ссылки
Уаанӡатәи анҵамҭақәа рахь	к предыдущим записям
Ари альбомаҟны макьана иҟаӡам аԥшранҵақәа	В этом альбоме ещё нет фотографий
Аилазааратә гәыԥ аԥшранҵа ахә ршьеит	Оценили фотографию сообщества
Шәара шәкамера аҿыхын аимадара ахаҭабзеира ахьылаҟәу иахьҟьаны	Ваша камера выключена из-за плохого качества связи
Агәаларшәара ҿыц аилацәажәараҿы	Новое упоминание в беседе
Аԥсабареи аԥсшьареи ақалақьнхыҵ	Природа и отдых загородом
Ари аҩыза ацыԥха уажәшьҭа иҟоуп	Такой ключ уже существует
Афотоҭыхымҭақәа аредакциа рзура	Редактирование фотографии
Адгаларақәа макьана иҟаӡам	Рекомендаций пока нет
Ажәамаӡа аиҭашьақәыргылара	Восстановление пароля
Ажәамаӡа ииашамкәа иарбоуп	Неверно указан пароль
Азҿлымҳара змоу анҵамҭақәа	Интересные публикации
Аилакра ахыԥхьаӡараҭҵаарҭа	Статистика сообщества
Аиҳабацәа рзы ахыҵхырҭақәа	Материал для взрослых
Ақьачақьқәа реизга аахәара	Купить набор стикеров
Ара макьана аӡәгьы дыҟаӡам	Здесь пока никого нет
Аҭакқәа ажәеиларккақәа рҿы	Ответы в комментариях
Аҭауарқәа рахь ажәеиларкка	Комментарии к товарам
Аҭитәы иманшәаланы иныхуп.	Товар успешно удалён.
Ахархәаҩ ихәмаррақәа зегьы	Все игры пользователя
Иашәырба аилацәажәара ахьӡ	Введите название чата
Иашәырбеит ииашам ажәамаӡа	Вы ввели неверный код
Ихарҭәаау ахьӡынҵа аарԥшра	Открыть полный список
Шәара ишәҩызцәазар рылшоит	Ваши возможные друзья
ВКонтакте ахь шәҭала, аиҿцәажәара шәалагарц азы	Войдите ВКонтакте, чтобы начать диалог
Абыжьқәа шәоурц азы, хыхь ианышҵаа 6-хыԥхьаӡаракла ишьақәгылоу акод.	Чтобы получить голоса, введите этот 6-значный код выше.
Ари ахархәага шәҭалартә еиԥш азин шәымаӡам	Доступ к данному ресурсу ограничен
Аилазааратә гәыԥ аҿы шәҩызцәа ыҟаӡам.	В сообществе нет ваших друзей.
Шәеиҿцәажәаҩ шәааԥхьара мап ацәикеит.	Ваш собеседник отклонил вызов.
Аилазараатә гәыԥ ахьӡынҵа еиқәаҵәа аҟны шәыҟоуп уи азы ишәылшаӡом азҵааранҵаҟны абжьыҭира.	Вы находитесь в чёрном списке сообщества и не можете голосовать в опросе.
Ҳара иаҳҭахуп аҩызцәагьы, однокурсникцәагьы, одноклассникцәагьы, агәылацәагьы, аколлегацәагьы иасымша аимадара рыбжьазарц.	Мы хотим, чтобы друзья, однокурсники, одноклассники, соседи и коллеги всегда оставались в контакте.
Аилакра аҭӡамц аҟны иану анҵамҭа	Запись на стене сообщества
Хаҭалатәи ацҳарақәа рахь анеирҭа	Доступ к личным сообщениям
Шәара шәеилазаараҿы макьана аҭитәқәа ыҟаӡам	В вашем сообществе пока нет товаров
Ажәабжьқәа рҟынтәи аҽаныхра	Отписаться от новостей
Ара алԥшаага макьана иҟаӡам	Здесь ещё нет подборок
Аҿаҵаҩҩра иаԥыхын уи аԥхьа.	Подписка уже отменена.
Украина Атәылахьчаҩцәа рымш	День защитника Украины
Ԥсыхәа амамкәа асессиақәа зегь арктәуп	Необходимо завершить все сессии
Аҵыхәтәантәи азгәаҭақәеи ахьарԥшқәеи аарԥшуп	Показаны последние упоминания ссылки
Сконтактқәа рымацара, абарҭ рыда.	только мои контакты, кроме.
Аилазааратә гәыԥ аиҿкааҩ иԥхьара.	Звать владельца сообщества.
Аилазааратә аилка ацҳамҭақәа рхиагақәа еиқәырхоуп.	Настройки сообщений сообщества сохранены.
Иаарласны ажәамаӡа аиҭашьақәыргылара ахь узынаӡом.	Быстрое восстановление пароля недоступно.
Азҿлымҳара змоу адаҟьақәа зегьы рырбара	Показать все интересные страницы
Аӡыргаратә ақциақәа аиҿкаара	Создать рекламную акцию
Аӡыргараҭаҩ иҟнытә аҭахҳәага	Заявка от рекламодателя
Ахыԥҽыҭрақәеи авиқторинақәеи	Головоломки и викторины
Ахьарԥшга ииашамкәа иарбоуп.	Неверно указана ссылка.
Ашықәс ҿыцтәи адныҳәаларақәа	Новогодние поздравления
Қәҿиарала ианыхын аҭоурыхқәа	Истории успешно удалены
Шәҽаҵашәыҩҩы абарҭ адаҟьақәа рыуакы, иаразнак ишәдырларцазы ВКонтакте аҿыцҭагаларақәеи ауснагӡатәқәеи иамоу ртәы:	Подпишитесь на одну из этих страниц, чтобы сразу узнавать о нововведениях и планах ВКонтакте:
Ажәытә ажәамаӡа ииашамкәан иарбоуп	Старый пароль указан неверно
Асалам шәҟәы аспам еиԥш азгәаҭоуп.	Сообщение помечено как спам.
Аилазааратә гәыԥқәа рахь ааԥхьара сызҭар зылшо	Кто может приглашать меня в сообщества
Аекономикеи афинансқәеи	Экономика и финансы
Аекстремалтә аиндаҭлара	Экстремальный спорт
Аилазааратә гәыԥ адаҟьа	Страница сообщества
Аилазааратә гәыԥ аҭыҵра	Покинуть сообщество
Аилацәажәарахь ааԥхьара	Пригласить в беседу
Аинтерес зҵоу адаҟьақәа	Интересные страницы
Алкаақәа рҟынтә ианыхуп	Удалено из закладок
Анҵамҭа ашьақәырӷәӷәара	Архивировать запись
Анҵамҭақәа зегь аныхуп.	Все записи удалены.
Анҵамҭақәа рхыԥхьаӡара:	Количество записей:
Аԥарашәаратә ашәаԥсанҵа	Платёжная квитанция
Атәылауаҩшәҟәы аԥшранҵа	Фотография паспорта
Аҭалара ашьақәырӷәӷәара	Подтверждение входа
Аҭитәқәа зегьы раарԥшра	Показать все товары
Аҵыхәтәантәи аԥсахрақәа	Последние изменения
ВКонтакте ала ацхыраара	Помощь по ВКонтакте
Еиҳа ахәмаррақәа арбара	Показать больше игр
Иҵегь анҵамҭақәа арбара	Показать ещё записи
Мыцхәы изаатәиуп арыцхә	Слишком ранняя дата
Сахьану авидеонҵамҭақәа	Видеозаписи со мной
Авидеонҵамҭақәа зегьы рырбара	Показать все видеозаписи
Ажәеиларкка еиҭашьақәыргылара	Восстановить комментарий
Ажәеиларкка еиҭашьақәыргылоуп	Комментарий восстановлен
Ажәеиларккақәа зегьы раарԥшра	Показать все комментарии
Аӡыргаратә ақциақәа реиҿкаара	Создание рекламной акции
Альбомқәа зегьы рҟнытә аныхра	Удалить из всех альбомов
Амузеи, агалереа, ацәыргақәҵа	Музей, галерея, выставка
аҩызцәеи аҩызцәа рҩызцәеи рзы	друзьям и друзьям друзей
Иҵегь абжьынҵамҭақәа раарԥшра	Показать ещё аудиозаписи
Ажәабжьқәа адаҟьақәа рҟынтәи арбара	Показывать новости от страниц
Абжьынҵамҭақәа зегьы қәҿиарала иҭагалоуп.	Все аудиозаписи успешно загружены.
Шәыгәлаҵақәа рҿы макьана иҟаӡам аусмҩаԥгатәқәа.	В ваших закладках пока нет мероприятий.
Шәдаҟьа аанкылоуп агәыԥқәа рахь ааԥхьарақәа шаны иахьашьҭуаз азы.	Аккаунт заблокирован за рассылку приглашений в группу.
Ицензурам алексика афильтра иалнакааует ипатудоу ажәақәа, насгьы ианнахоит ахҳәаақәа аилакрақәа рыҭӡамцқәа рҟны иахьану.	Этот фильтр удаляет со стены сообщества комментарии, которые содержат неприличные слова и выражения.
Шәара ииашаҵәҟьаны ишәҭахума шәҩызцәа рабжгьарақәа зегьы рыҵәахра?	Вы действительно хотите скрыть все рекомендации друзей?
Авидео аныхуп альбомқәа зегьы рҟнытә	Видео удалено из всех альбомов
Аԥсахрақәа рыхьӡанҵа англыз бызшәала	Список изменений на английском
Агәылаҵарақәа збо шәхала шәоуп	Закладки видны только вам
Аграффити адәахьтәи асаит аҟны	Граффити на внешнем сайте
азгәаҭақәа рҳәааҭыгара архиара	настроить экспорт заметок
Азгәаҭақәа рҳәааҭыгара архиара	Настроить экспорт заметок
Аиасра адәныҟатәи азхьарԥшлара	Переход по внешней ссылке
Аилазааратә гәыԥ ахь аҽаҵаҩҩра	Подписаться на сообщество
Аудионҵамҭа адырраҭареи ашьҭра	Отправка эпизода подкаста
Аҵәҵәа атранслиациа мҩаԥысуеит	Ведётся трансляция звонка
Аҩыза мамзаргьы ахьӡынҵа алхра	Добавить друга или список
Аветеринартә хәышәтәырҭа	Ветеринарная клиника
Ажәеиларккақәа аҿакқәоуп	Комментарии включены
Аилазааратә гәыԥ аԥшьқәа	Приложения сообществ
Аилазааратә гәыԥ ахҳәаа:	Описание сообщества:
Альбомқәа зегьы раарԥшра	Показать все альбомы
анапаҵаҩҩцәа аилазаараҿы	подписчиков в группе
аԥшрынҵақәа рахь анеирҭа	доступ к фотографиям
Аԥшрынҵақәа рахь анеирҭа	Доступ к фотографиям
Аҭалара ашьақәырӷәӷәара:	Подтверждение входа:
Аҳамҭақәа зегьы раарԥшра	Показать все подарки
Аҳәара иашәҭаз адкылоуп.	Ваша заявка принята.
Ацаԥха аиҭашьақәыргылара	Восстановление ключа
Аҩызцәа рыҭитәқәа заҵәык	Только товары друзей
видеонҵамҭакгьы шәымаӡам	ни одной видеозаписи
ВКонтакте атехнологиақәа	Технологии ВКонтакте
Еиԥшу ахәҭаҷқәа рыԥшаара	Найти похожие статьи
Иҟалап азҿлымҳара амазар	Может быть интересно
Шәтәылауаҩшәҟәы аԥшранҵа	фото вашего паспорта
Адаҟьа аанкылан ари еиԥш аинформациа за аҭагаларҭаҿы «Сара исызкны»:	Аккаунт заблокирован за такую информацию в поле «О себе»:
Ишәыдаҳныҳәалоит! Азхьарԥш аилазааратә гәыԥ адаҟьаҟны иҟалоит.	Поздравляем! Ссылка появится на странице сообщества.
Адыррақәа қәҿиарала идәықәҵоуп!	Данные успешно отправлены!
Иаанкылоуп аилазааратә гәыԥ аҿы	Заблокировано в сообществе
Аилазааратә гәыԥ алахәҩы.	Участника сообщества.
Аилазааратә гәыԥ аԥшранҵа	Фотография сообщества
Акомпиуторқәеи аинтернети	Компьютеры и Интернет
Амаҵзура ианалгаз ашықәс:	Год окончания службы:
Аԥшранҵақәа рҿы адыргақәа	Отметка на фотографии
Артиоми Олеги Ковалиовраа	Артём и Олег Ковалёвы
Ахьӡынҵеиҭаҳәага азнагара	Поделиться плейлистом
Еиԥшу анҵамҭақәа рыҵәахра	Скрыть похожие записи
Альбом аҟны макьана шәаудионҵамҭақәа ыҟаӡам.	В этом альбоме пока нет аудиозаписей.
Аҩызара ахь аҿахәҳәагақәа макьана ишәымаӡам.	У вас пока нет новых заявок в друзья.
Андреи Иаковенко насгьы Елена Савченко	Андрей Яковенко и Елена Савченко
Дарбан сҭоурыхқәа рҭак ҟаҵаны сзаашьҭра змоу алшара	Кто может отправлять мнения к моим историям
Уажәшьҭа алахәцәа азҵааранҵаҿы рыбжьы рҭиир алшоит.	Теперь участники могут голосовать в опросе.
Мыцхәы ирацәоуп абжьқәа. Ԥыҭрак ашьҭахь шәыбжьы шәҭиир шәылшоит.	Слишком много голосов. Попробуйте проголосовать позже.
аӡыргаратә кабинет ахь ахьарԥшга	ссылка на рекламный кабинет
Атранслиациа аҵәҵәа ахь азхьарԥш	Ссылка на трансляцию звонка
Ахәмарра ацҵоуп ахкы Аҿыцқәа ахь	Игра добавлена в блок Новые
Шәара иалшәымхит ишәзааигәоу аҩызцәа, убри аҟынтәи анҵамҭа ҵәаххоит зегьы рзы	Вы не выбрали близких друзей, поэтому запись будет скрыта от всех
Ажәеиларкка азгәаҭоуп аспам еиԥш нас ианыхуп.	Комментарий отмечен как спам и удалён.
Ари ахархәаҩи шәареи ишәымаӡам еицышәзеиԥшу аҩызҵәа.	У вас нет общих друзей с этим пользователем.
Агәыԥ анапхгаҩцәеи аредақторцәеи мацара	Только редакторы и администраторы
Алкаахықәкы рхыԥхьаӡара агәыԥ адаҟьаҟны	Количество тем на странице группы
Аҩызцәа рҳәааҭагалара Одноклассники ала	Импорт друзей через Одноклассники
Агәацԥыҳәарақәа рхыҵхырҭа:	Источники вдохновения:
Ажәеиларккақәа рахь аиасра	Перейти к комментариям
Аилазааратә гәыԥ - аиҿкааҩ	Сообщество-организатор
аилазааратә гәыԥ анаԥхгара	управление сообществом
Акультуратә аусмҩаԥгатәқәа	Культурные мероприятия
Амобилтә абжьылдақәа зегьы	Все мобильные телефоны
Иашәырба шәыбжьылда аномер	Введите номер телефона
Аилазааратә гәыԥқәа рахь ахынҳәра	Вернуться в список сообществ
Егьырҭ аплеилистқәа рҟынтәи алхра	Выбрать из других плейлистов
Иазышьҭоуп ииашам ахашәаҵашәақәа.	Переданы неверные параметры.
ианышәҵа шәашьа ма шәаҳәшьа рыхьӡ	введите имя брата или сестры
Изааныркылои аилазааратә гәыԥқәа?	За что блокируют сообщества?
Астикерқәа рыҵаҳәара аҭагалара ацәаҳәаҿы	Подсказывать стикеры в полях ввода
Ахәмарра шәеилазаарақәа рхыԥхьаӡараҭҵаарҭа абом	Игре доступна статистика ваших сообществ
Ақәҿыҭрақәа рҟынтә аҽаныхра	Не уведомлять о записях
Ахархаҩ иҿахәҳәагақәа зегьы	Все заявки пользователя
Ахьӡанҵа еиқәаҵәала аԥшаара	Поиск по чёрному списку
Ишәыдаҳныҳәалоит! Анҵамҭа аилазааратә гәыԥ адаҟьаҟны иҟалоит.	Поздравляем! Запись появится на странице сообщества.
Ажәеиларкка аспам еиԥш иазгәаҭоуп.	Комментарий отмечен как спам.
Бонаире, Синт-Естатиус насгьы Саба	Бонайре, Синт-Эстатиус и Саба
Шьҭа алимитдатә музыка адунеи аҿы шәыҟоуп!	Теперь вы в мире безлимитной музыки!
Азгәаҭа аиқәырхара насгьы адҳәалара	Сохранить и прикрепить заметку
Аӡыргаратә ҭоурых азҿлымҳара амаӡам	Рекламная история не интересна
Ааԥхьара аилазааратә гәыԥахь	Приглашение в сообщество
Аблог аҟынтәи анҵамҭа ашьҭра	Отправка записи из блога
Авидео альбом аҟнытә ианыхуп	Видео удалено из альбома
Азхьарԥшра қәҿиарала иацҵоуп	Ссылка успешно добавлена
Аӡыргаратә алаҳәарақәа зегьы	Все рекламные объявления
Аԥшранҵа ҿыцқәа сара сахьану	Новые фотографии со мной
Иреиӷьу акомпиутертә хәмарра	Лучшая компьютерная игра
Иҵегь авидеонҵамҭақәа арбара	Показать ещё видеозаписи
Сҵараиурҭа ахьӡынҵаҿы иҟаӡам	Я не могу найти свой вуз
Уажәы аҭел ишәзасуеит аробот 6-хыԥхаьаӡаракла ишьақәгылоу акод шәазҳәо.	На ваш телефон сейчас позвонит робот и сообщит 6-значный код.
Изылшода аҭоурыхқәа рҟны сара исызку адныҳәаларақәа рбара	Кто может видеть поздравления для меня в историях
Агха ҟалеит ажәеиларкка аиҭашьақәыргылараан	Ошибка при восстановлении комментария
Ишәыдаҳныҳәалоит! Авидео қәҿиарала иацҵоуп.	Поздравляем! Видео успешно добавлено.
Шәара ишәҩызцәазар рылшоит ВКонтакте	Ваши возможные друзья ВКонтакте
Аилазааратә гәыԥаҿы акьыԥхьра	Опубликовать в сообществе
Аконсалтинг, абизнес-амаҵзура	Консалтинг, бизнес-услуги
Анҵамҭа ныхуп аԥшаара аҟнытә.	Запись удалена из поиска.
Аԥошьҭатә шәындәыҟәра аԥсахра	Изменение почтового ящика
Ииашам ақалақь ма аҳәынҭқарра	Неверный город или страна
Ишиашо ицо аефир асра аҟаҵара	Создать трансляцию звонка
Изҟынтә аҳәарақәа аҩызара ацҵаразы иааиуа ацҳарақәа	О каких заявках в друзья приходят оповещения
Аиҭаҵ аҟынтә ақәыԥшыла аныхраан агха ҟалеит.	Ошибка при удалении шаблона из движка.
Инарҭбааны ианышәҵа ара ахәшәашьа аԥсыхәқәа.	Подробно опишите здесь способы оплаты.
Агәлаҵа аҟынтәи аныхра	Удалить из закладок
Ажәамаӡа даара иԥсыҽуп	Очень слабый пароль
Ажәамаӡақәа еиқәшәаӡом	Пароли не совпадают
Азхьарԥш ала аиасрақәа	Переходы по ссылкам
Аиҿцәажәарахь ахынҳәра	Вернуться к диалогу
Акод аҿырԥштәы: 059378	Пример кода: 059378
Аԥсахрақәа реиқәырхара	Сохранить изменения
Аԥҵаҩы иҵәахит аҭоурых	Автор скрыл историю
Ари сара сдаҟьа акәӡам	Это не моя страница
Архиагақәа рахь аиасра	Перейти в настройки
Атәылауаҩра ҭаацәароуп	В гражданском браке
Ахәԥса ашәара хыркәшам	Оплата не завершена
Ашықәс ҿыцтәи ажәаҭара	Новогоднее обещание
Иҵегь атарифқәа арбара	Показать ещё тарифы
ҳазҭоу абраузер аҟынтә	с текущего браузера
Ашәҟәы асервер аҟны аиқәырхара залыршахом. Ҳшәыҳәоит шәдаҟьа шәырҿыц, нас ҽазнык шәҽазышәшәа аҭагалара.	Не удалось сохранить файл на сервере. Пожалуйста, обновите страницу и попробуйте ещё раз.
аудит аҳасабеилыргарҭа абухучет аутсорсинг аусеилыргара аделопроизводство абжьгара аконсультациа	аудит бухгалтерия бухучёт аутсорсинг делопроизводство консультирование консультация
Аилазааратә гәыԥ алахәцәа зегьы ирылшоит рыцҳамҭақәа ааныжьра ари атемаҿы.	Все участники сообщества смогут оставлять сообщения в этой теме.
Амаӡажәа аԥсахразы азхьарԥш ажәхьеит.	Ссылка на смену пароля устарела.
Абӷьыц ахь узынаӡам ма ианыхуп	Файл недоступен или удалён
