Иласуп	Быстрый
Агалереиаҿы аҭаҩра	Сохранить в галерею
Азаацҳага ҿыц	Создать канал
Аилак ҿыц	Создать группу
Аиҿцәажәа маӡа ҿыц	Создать секретный чат
Аицәажәара маӡа аԥыхуп	Секретный чат отменён
Аиҿцәажәа маӡа	Секретные чаты
Еиқәшәоуп	Готово
Ардырга	Уведомления
Амаӡара	Конфиденциальность
Aзҵаара аҭира	Задать вопрос
Telegram иазку азҵаарақәа	Вопросы о Telegram
Ашәақәа	Музыка
дҭан	Последняя активность
Aгәыԥқәа	Группы и каналы
Ихыркәшатәума?	Завершить этот сеанс?
Реззегьы	Все
Аӡәгьы	Никто
Адырдырратә рдырга	Вибрация
Аиҭардыргақәа	Повторные уведомления
Ацҵара	Добавить
Амхра	Открепить сообщение
Еиҭамҵуа аҵҳамҭа	Закреплённое сообщение
un1 иади(лы)ркылт «%1$s»	%1$s закрепил(а) «%2$s»
un1 иади(лы)ркылт %1$s	%1$s закрепил(а) %2$s
un1 абжьынҵа ади(лы)ркылт	%1$s закрепил(а) **аудиофайл**
un1 авидео ади(лы)ркылт	%1$s закрепил(а) **видео**
un1 авидеонҵамҭа ади(лы)ркылт	%1$s закрепил(а) **видеосообщение**
un1 абжьынҵа ади(лы)ркылт	%1$s закрепил(а) **голосовое сообщение**
Ари ахьӡ аӡәы и(л)тәуп.	Такое имя пользователя занято.
У(б)еимадага аҷыдаԥхьаӡа	Ваш телефон
Еицышәзеиԥшу аилакқәа	Общие группы
Аус аанкыланы алҵра	Удалить и остановить
Иацы	Вчера
Аилак	Группа
Аҟаԥшь	Красная
Ахықәцә адыркылара	Закрепить
Адхра	Открепить
Адыррақәеи агәынкылақәеи	Данные и память
Иаԥхьаӡоит...	Подсчёт…
Еизакны	Всего
Ишьҭуп	Отправлено
Иаашьҭуп	Получено
Еснагь	Всегда
Иухатәны аҟаҵара	Настроить
Ардырга арцәара	Отключить уведомления
Ардырга ҷыдақәа	Особые уведомления
Ашьҭра	Отправить
Aиҿцәажәа маӡа алагара	Начать секретный чат
%1$s аилак далау(б)ҵома?	Добавить %1$s в группу?
Аҭак	Ответить
Дҭаӡам	Нет сети
Аиԥшьра	Подключение
%1$s Уажәшьҭа телеграм дҭоуп!	%1$s теперь в Telegram!
Авидеонҵамҭа	Видеосообщение
Аҩызцәа рааԥхьара	Пригласить друзей
Aԥыжәара	Приоритет
Аицәажәара анышәхар шәҭахыҵәҟоума?	Вы точно хотите удалить этот чат?
Aзашшра	Пожаловаться
Aзашшра	Пожаловаться на %1$s
Аиаҵәа	Зелёная
Аканал анапхгара	Управление каналом
Агәыԥ анапхгара	Управление группой
Иҭацәуп	Нет
Иaлкаау	Избранное
ԥхьаҟа	Продолжить
Аҟынтә	Начало
Аҟынӡа	Конец
Алашардырга	Светодиод
Аҩажь	Желтый
Аиаҵәа	Зелёный
Аҟаԥшь	Красный
Ашкәакәа	Белый
Адаҟьа ацҵара	Добавить аккаунт
дыҩуеит...	печатает
%1$s дыҩуеит...	%1$s печатает
%1$s иркьыԥхьуеит…	%1$s печатают
изтәу	владелец
Ацхыраара	Помощь
Ацлара	Присоединиться
Алахәылацәа	Участники
Сақәшаҳаҭуп	ОК
Aзҵаара ҿыц	Новый опрос
Алҵшәақәа	Результаты
Идырым	Неизвестен
Ардыргa	Уведомления
Изтәу	Владелец
%d аҽалархәҩы	%d участник
%d аҽалархәыҩцәа	%d участников
%d aнапаҵаҩ	%d подписчик
%d aнапаҵаҩцәа	%d подписчиков
Анашьҭра	Переслать
Aбжьы ацҵара	Включить уведомления
Ардыргеи абжьи	Уведомления и звук
Telegram иазку азҵаарақәа	Telegram FAQ
aимадара хазыԥшуеит	ожидание сети
Aзҵаара	Опрос
Аиҿцәажәа маӡа аиҿкаара	Создать секретный чат
Иу(б)зааҳацҳаоит %d:%@ аамышьҭахь	Telegram отправит Вам SMS через %d:%@
Ари ахьӡ аӡәы и(л)тәуп.	Это имя пользователя уже занято.
aнапхгаҩы	администратор
АМАӠАРА	КОНФИДЕНЦИАЛЬНОСТЬ
Арыцқьара аҭоурых	Очистить историю
Арӷәӷәара	Закрепить
иҩуеит	печатает
%@ дыҩуеит...	%@ печатает
Еснагь	Никогда не удалять
Аиҿцәажәа маӡа:	Секретные чаты:
Аиҿцәажәа маӡа	Секретный чат
Ишәзеиԥшу аилакқәа	Общие группы
Ари ауаҩы даныу(б)хара у(б)ҭахыҵәҟоума?	Удалить контакт?
Бзанҵа	Никогда
Аԥсышәала	Продолжить на русском
Анашьҭра...	Переслать...
Аацҳамҭа...	Сообщение...
Акод	Код
%@, %d аҽалархәҩы	%@, %d участник
%@, %d аҽалархәыҩцәа	%@, %d участников
Xаҭалатәи аиҿцәажәақәа	Личные чаты
Аилак еицәажәарақәа	Группы
Еиҳау адырра	Подробнее
aҩны	домашний
Аҭел	мобильный
Ахада	основной
урысшәала	на русском языке
Агәыԥқәа	группы
Аканалқәа	каналы
АИҾЦӘАЖӘАҚӘА РҞЫНТӘИ АРДЫРГАҚӘА	ПОКАЗЫВАТЬ УВЕДОМЛЕНИЯ
Алахәылаҩ иԥшаара	Поиск участников
Зегьы	Все
Агәыԥқәа	Группы
Аканалқәа	Каналы
Аҿыцқәа	Новые
АРДЫРГА	УВЕДОМЛЕНИЯ
{count} аҽалархәҩы	{count} участник
{count} аҽалархәыҩцәа	{count} участников
{count} aнапаҵаҩ	{count} подписчик
{count} aнапаҵаҩцәа	{count} подписчика
Ҳалагап	НАЧАТЬ ОБЩЕНИЕ
У(б)тәыла алх	Выберите страну
У(бы)хьӡи у(бы)жәлеи нҵа	Укажите свои имя и фамилию.
Аиҿцәажәақәа рҟынтәи ардыргақәа	Показывать уведомления
Аиҿцәажәақәа рырхиага	Настройки чатов
Aимада(ра) аԥсахра	Изменить профиль
Ацлара	Подписаться
Агәыԥ алалара	Присоединиться к группе
aнапхгаҩы	админ
Aбжьынҵа	Аудиофайл
Еиҳау адырра »	Подробнее »
Аацҳамҭа...	Написать сообщение...
Абжьы агырхара	Откл. уведомления
АБЖЬЫ АЦҴАРА	Вкл. уведомления
{user} дыҩуеит...	{user} печатает
Аҭак аҟаҵара	Ответить
Аицәажәара маӡа аԥыхуп	Секретный чат отменен
Aацҳамҭа ҿыц	Написать сообщение
Аимадарақәа	Контакты
Агха ҟалеит	Произошла ошибка.
Аҩызцәа рааԥхьара	Пригласить
Аацҳамҭа...	Сообщение…
дыҩуеит	печатает
Аԥсахра	Изменить
Абжьы агырхара	Убрать звук
Aбжьы ацҵара	Вкл. звук
Аԥшаара	Поиск
Иахьыҟоу аҭыԥ	Геопозиция
Аиҿцәажәа маӡа:	Секретные чаты — это:
Минуҭк 	1 минуту
Сааҭк	1 час
Авидео	Видео
Афаил	Файл
Агха ҟалеит	Произошла ошибка
Агха ҟалеит 	Произошла ошибка.
Мап	Нет
Мышкы	1 дн.
Мчыбжьык	1 нед.
Аҭел	телефон
Алагара	Начать
Иҿакуп	Вкл.
Аҿакы	Включить
Иаанкыл	Остановить
Абжьы	Звук
%@ аҽалархәҩы	%@ участник
%@ аҽалархәыҩцәа	%@ участников
Аимадара	Контакты
Ардыргеи абжьи	Уведомления и звуки
Aцхыраара	Помощь
Ари ахьӡ аӡәы и(л)тәуп.	К сожалению, это имя уже занято.
Ахьӡ %@ у(б)хы иау(бы)рхәар ҟалоит.	Имя %@ доступно.
Арыцқьара	Очистить
АФОТОГРАФИА	ФОТО
АВИДЕО	ВИДЕО
Акод	Код проверки
Архиара	Настройки
Азхьарԥш ахкьыԥхьаара	Скопировать ссылку
Ацхраара	Помощь
Аканал	канал
Аканал	Канал
Афотографиа	Фотография
\nАшәақәа	Музыка
Арыцкьара	Очистить
Иҭацәуп	Пусто
Саҭамзааит	Сожалеем
Амхра	Открепить
Ауаа	Люди
Агәыԥ алалара	Вступить в группу
Аимадарақәа	КОНТАКТЫ
Акажьра	Сбросить
Аԥсахра	Редактировать
Ақалақь	Город
Атәыла	Страна
Ахьӡ	Имя
Аҭел	Телефон
Адкылара	Принять
Азхьарԥшқәа	Ссылки
Аурыс бызшәа	Русский
У(б)бызшәа алх	Выберите язык
Ицәуп	Выключено
%@ aнапаҵаҩ	%@ подписчик
%@ aнапаҵаҩцәа	%@ подписчиков
Анапаҵаҩцәа	Подписчики
%@ рҟынӡа	до %@
АИМАДАРАҚӘА	КОНТАКТЫ
Aмаӡара аполитика	Политика конфиденциальности
Анаҩстәи	Дальше
Ажәла	Фамилия
Ахада	главный
Аанкыл 	Остановить
Анагӡара	Продолжить
Аҿакpa	Включить
Аиасра	Переключиться
Аимадарақәа	контакты
Ицәуп	выключена
Аҭыҵра	Выйти
Ардырга ада аицәажәарақәа	Чаты без уведомлений
Алас	Быстрая
%@ аҽалархәҩы	%@ участник 
%@ аҽалархәыҩцәа	%@ участников 
Аимадара	контакт
aканалқәа	канал
Ақьаадтрақәа	Папки
Иу(б)зааҳацҳоит %d:%.2d аамышьҭахь	Telegram отправит Вам SMS через %d:%.2d
Иу(б)зааҳацҳаоит %1$d:%2$02d аамышьҭахь	Мы отправим Вам SMS через %1$d:%2$02d
Ҳау(б)засоит...	Звоним вам...
Азхьарԥш иашамзар ма иажәхьазар ҟалап.	Ссылка неверна или устарела.
У(бы)хьӡ	Ваше имя
Ахьӡ (ихарҭәаатәу)	Имя (обязательно)
Ажәла (ихарҭәаатәым)	Фамилия (необязательно)
Аицәажәара ҿыц	Новая беседа
Ауаа	Контакты
Иацы	вчера
Бзиала у(б)аабеит!	Добро пожаловать
Аацҳара аҩра азы,ҵаҟа арыӷьараҿы аҩыга дырга у(б)агәҭас.	Чтобы написать сообщение, нажмите на значок карандаша в правом нижнем углу.
Аацҳара аҩра азы,ҵаҟа арыӷьараҿы аҩыга дырга у(б)агәҭас.	Чтобы начать переписку, нажмите на один из контактов ниже.
Аимадара хазыԥшуеит...	Ожидание сети...
Аимадара...	Соединение...
 %s аицәажәара маӡа уа(ба)лиҵит.	Теперь Вы и %s в секретном чате. 
Аицәажәара маӡа уа(ба)цлеит.	Вы присоединились к секретному чату.
Аҭоурых рыцқьоуп	История очищена.
Аицәажәара ныхуп	Чат удалён
Аилак ныхуп	Группа удалена.
Азаацҳага ныхуп	Канал удалён.
АԤЫХРА	ОТМЕНА
Зегь ныхны аҭыҵра	Удалить и выйти
Аицәажәара аныхра	Удалить чат
Аицәажәара алх	Выберите чат
Аацҳарақәа	Сообщения
%1$s ирцәазааит	Отключить на %1$s
Аҭоурых рыцқьоуп	История очищена
ԥхьаҟа	ПРОДОЛЖИТЬ
Шәҩызцәа Telegram аҿы	Ваши контакты в Telegram
un1 иади(лы)ркылт «%1$s»	un1 закрепил(а) «%1$s»
un1 авидео ади(лы)ркылт	un1 закрепил(а) видео
un1 абжьынҵа ади(лы)ркылт	un1 закрепил(а) голосовое сообщение
un1 авидеонҵамҭа ади(лы)ркылт	un1 закрепил(а) видеосообщение
un1 иади(лы)ркылт %1$s	un1 закрепил(а) %1$s
un1 абжьынҵа ади(лы)ркылт	un1 закрепил(а) аудиофайл
Азаацҳага асахьа ныхуп	Фото канала удалено
дыҩуеит...	печатает...
%1$s дыҩуеит...	%1$s печатает...
%1$s иркьыԥхьуеит…	%1$s печатают...
Аацҳара ҿыц шәзааит	У вас новое сообщение
дҭан	был(а)
Адырдырратә рдырга	Вибросигнал
Ауаа	контакты
Аиҭардыргақәа	Повтор уведомлений
Ахархәаҩ ихьӡ	Логин
Абжьы агырхара	Выкл. звук
Сақәшаҳаҭуп	OK
Ишәарҭам	Безопасный
Иӷәӷәоуп	Мощный
**Telegram** ацәгьархәыцыҩцәа шәеицәажәарақәа иацәахьчоит.	**Telegram** не ограничивает размер\n Ваших медиафайлов и чатов.
Аиԥшьра	Соединение
Дҭаӡам	Не в сети
Абжьы агырхара	Выключить микрофон
Aбжьы ацҵара	Включить микрофон
Еиҭамҵуа аҵҳамҭа	%1$d закрепленное сообщение

