russianEDM	Электроника
russianДо 26 декабря 2019 ВКонтакте проводит конкурс для разработчиков мини-приложений на платформе VK Mini Apps с призовым фондом 2 000 000 рублей	До 26 декабря 2019 ВКонтакте проводит конкурс для разработчиков мини-приложений на платформе VK Mini Apps с призовым фондом 2 000 000 рублей
russianПриём заявок до 21 декабря 2019	Приём заявок до 21 декабря 2019
russianПопулярные песни 2019	Популярные песни 2019
russianПопулярные альбомы 2019	Популярные альбомы 2019
russianСлушать	Слушать
russianДля того чтобы начать оформление подписки, пожалуйста, перейдите по ссылке, используя мобильное приложение ВКонтакте:	Для того чтобы начать оформление подписки, пожалуйста, перейдите по ссылке, используя мобильное приложение ВКонтакте:
russianПодписка даёт возможность слушать музыку без аудиорекламы на компьютере и в мобильных устройствах, а также сохранять аудиозаписи в приложении BOOM и слушать их без подключения к интернету.	Подписка даёт возможность слушать музыку без аудиорекламы на компьютере и в мобильных устройствах, а также сохранять аудиозаписи в приложении BOOM и слушать их без подключения к интернету.
russianСамые популярные артисты года	Самые популярные музыканты года
russianСамые новогодние игры!	Самые новогодние игры!
russianСкидки до 70% c 24 декабря по 8 января	Скидки до 70% c 24 декабря по 8 января
russianЖелаем в новом году оставаться самым быстрым и упорным! И самым стикерообеспеченным!	Желаем в новом году оставаться самым быстрым и упорным! И самым стикерообеспеченным!
russianСлушать	Слушать
russianАртист года 2018	Артист года 2018
russianПодборка главных игр, запущенных	Подборка главных игр, запущенных
russianна платформе ВКонтакте в 2018 году	на платформе ВКонтакте в 2018 году
russianМузыкальные итоги года	Музыкальные итоги года
russianУзнайте рейтинг самых популярных треков и альбомов 2018.	Узнайте рейтинг самых популярных треков и альбомов 2018.
russianМузыкальные итоги	Музыкальные итоги
russianСлушайте музыку на смартфоне без ограничений, рекламы и расходов на интернет.	Слушайте музыку на смартфоне без ограничений, рекламы и расходов на интернет.
russianБезлимитный ВК, 100 минут, 100 ГБ по промокодам и эксклюзивные стикеры за 399 ₽	Безлимитный ВК, 100 минут, 100 ГБ по промокодам и эксклюзивные стикеры за 399 ₽
russianв месяц.	в месяц.
russian60-я церемония «Грэмми»	60-я церемония «Грэмми»
russianСимка VK Mobile с безлимитной музыкой	Симка VK Mobile с безлимитной музыкой
russianМузыкальная премия ВКонтакте	Музыкальная премия ВКонтакте
russianПройдите тест и попадите на мероприятие	Пройдите тест и попадите на мероприятие
russianМузыкальная премия ВКонтакте	Музыкальная премия ВКонтакте
russianПобедитель VK Music Awards	Победитель VK Music Awards
russianПобедитель	Победитель
russianПрямая трансляция: группа Seether в студии радио MAXIMUM	Прямая трансляция: группа Seether в студии радио MAXIMUM
russianБрунеи-Даруссалам	Бруней
russianЦентрально-Африканскаиа Республика	Центральноафриканская Республика
russianКот д’Ивуар	Кот-д'Ивуар
russianКонго, адемократиатә республика	Конго, демократическая республика
russian%s Ваш друг уже купил подписку/%s Ваших друга уже купили подписку/%s Ваших друзей уже купили подписку	%s ваш друг уже купил подписку/%s ваших друга уже купили подписку/%s ваших друзей уже купили подписку
russianСтатья	Статья
russianТрансляция приостановлена	Трансляция приостановлена
russianВы уверены, что хотите удалить эту видеозапись?	Вы уверены, что хотите удалить эту видеозапись?
russianОтметки и комментарии будет не восстановить.	Отметки и комментарии будет не восстановить.
russianДля показа панорамного баннера необходимо загрузить 5 изображений. При меньшем количестве загруженных изображений будет показан Большой баннер для блока «Выбор редакции».	Для показа панорамного баннера необходимо загрузить 5 изображений. При меньшем количестве загруженных изображений будет показан Большой баннер для блока «Выбор редакции».
russianЧемпионат мира по хоккею 2017	Чемпионат мира по хоккею 2017
russianС 7 по 10 мая в каталоге будет размещаться подборка, посвященная Дню Победы.	С 7 по 10 мая в каталоге будет размещаться подборка, посвященная Дню Победы.
russianЗаявки на размещение в подборку {tagToggle}уже принимаются...{/tagToggle}	Заявки на размещение в подборку {tagToggle}уже принимаются...{/tagToggle}
russianЧтобы попасть в подборку, нужно до 4 мая подготовить обновленную обложку (добавить тематику праздника) и тематические обновления в приложении. Предпочтение будет отдаваться приложениям, ранее не участвовавшим в подборках, а также приложениям, наиболее соответствующим празднику.	Чтобы попасть в подборку, нужно до 4 мая подготовить обновленную обложку (добавить тематику праздника) и тематические обновления в приложении. Предпочтение будет отдаваться приложениям, ранее не участвовавшим в подборках, а также приложениям, наиболее соответствующим празднику.
russianДля размещения нужно {linkSupport}создать новый вопрос от приложения{/linkSupport} в поддержку с темой «Подборка День победы». В вопросе необходимо описать, какие изменения планируются.	Для размещения нужно {linkSupport}создать новый вопрос от приложения{/linkSupport} в поддержку с темой «Подборка День победы». В вопросе необходимо описать, какие изменения планируются.
russianБлаготворительность ВКонтакте	Благотворительность ВКонтакте
russianВакансия ВКонтакте	Вакансия ВКонтакте
russianРекомендованная запись	Рекомендованная запись
russianС 10 по 13 апреля в каталоге будет размещаться подборка, посвящённая Дню космонавтики.	С 10 по 13 апреля в каталоге будет размещаться подборка, посвященная Дню космонавтики.
russianЗаявки на размещение в подборку {tagToggle}уже принимаются...{/tagToggle}	Заявки на размещение в подборку {tagToggle}уже принимаются...{/tagToggle}
russianЧтобы попасть в подборку, нужно до 8 апреля подготовить обновленную обложку (добавить тематику праздника) и тематические обновления в приложении. Предпочтение будет отдаваться приложениям, ранее не участвовавшим в подборках, а также приложениям, наиболее соответствующим празднику.	Чтобы попасть в подборку, нужно до 8 апреля подготовить обновленную обложку (добавить тематику праздника) и тематические обновления в приложении. Предпочтение будет отдаваться приложениям, ранее не участвовавшим в подборках, а также приложениям, наиболее соответствующим празднику.
russianДля размещения нужно {linkSupport}создать новый вопрос от приложения{/linkSupport} в поддержку с темой «Подборка День космонавтики». В вопросе необходимо описать, какие изменения планируются.	Для размещения нужно {linkSupport}создать новый вопрос от приложения{/linkSupport} в поддержку с темой «Подборка День космонавтики». В вопросе необходимо описать, какие изменения планируются.
russianРецепты, еда и напитки	Рецепты, еда и напитки
russianХобби и поделки	Хобби и поделки
russianКарты и настольные	Карты и настольные
russianГонки и авиасимуляторы	Гонки и авиасимуляторы
russianПлатформеры	Платформеры
russianШутеры	Шутеры
russianПерсонализация	Персонализация
russianПазл	Пазл
russianЛюбопытная мелочь	Любопытная мелочь
russianВнимание! Напоминаем, что с 15 марта 2013 года изменяются правила размещения рекламных блоков в приложениях ВКонтакте.	Внимание! Напоминаем, что с 15 марта 2013 года изменяются правила размещения рекламных блоков в приложениях ВКонтакте.
russian{link}Подробнее о переходе на новые рекламные форматы »{/link}	{link}Подробнее о переходе на новые рекламные форматы »{/link}
russianДля абонентов тарифного плана «3D-общение» Северо-Западного филиала ОАО «МегаФон», подключивших опцию «Безлимитный ВКонтакте», отображение карт будет тарифицироваться в соответствии с вашим тарифным планом.	Для абонентов тарифного плана «3D-общение» Северо-Западного филиала ОАО «МегаФон», подключивших опцию «Безлимитный ВКонтакте», отображение карт будет тарифицироваться в соответствии с вашим тарифным планом.
russianДля абонентов тарифного плана «3D-общение» Северо-Западного филиала ОАО «МегаФон», подключивших опцию «Безлимитный ВКонтакте», отображение карт будет тарифицироваться в соответствии с вашим тарифным планом.	Для абонентов тарифного плана «3D-общение» Северо-Западного филиала ОАО «МегаФон», подключивших опцию «Безлимитный ВКонтакте», отображение карт будет тарифицироваться в соответствии с вашим тарифным планом.
russianОбратите внимание: отображение карт тарифицируется как обычное использование мобильного интернета.	Обратите внимание: отображение карт тарифицируется как обычное использование мобильного интернета.
russianОбратите внимание: отображение карт тарифицируется как обычное использование мобильного интернета.	Обратите внимание: отображение карт тарифицируется как обычное использование мобильного интернета.
russianИнструменты ВКонтакте для удалённой работы	Инструменты ВКонтакте для удалённой работы
russianКак сделать так, чтобы бизнес на карантине не пострадал: рассказываем, что поможет правильно наладить процессы.	Как сделать так, чтобы бизнес на карантине не пострадал: рассказываем, что поможет правильно наладить процессы.
russianНадеемся, тебе понравилась трансляция. Держи стикер из набора VK Fest!	Надеемся, тебе понравилась трансляция. Держи стикер из набора VK Fest!
russianСледи за новостями и собирай всю коллекцию: vk.com/fest	Следи за новостями и собирай всю коллекцию: vk.com/fest
russianВы выбрали бесплатный подарок от Сбербанка и можете отправить его %s другу. Отправляя этот подарок, вы соглашаетесь на получение сообщения от сообщества Сбербанк./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, вы соглашаетесь на получение сообщения от сообщества Сбербанк./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, вы соглашаетесь на получение сообщения от сообщества Сбербанк.	Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s другу. Отправляя этот подарок, вы соглашаетесь на получение сообщения от сообщества Сбербанк./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, вы соглашаетесь на получение сообщения от сообщества Сбербанк./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, вы соглашаетесь на получение сообщения от сообщества Сбербанк.
russianДобавлю собственную фотографию – так и друзьям меня будет проще найти, и страницу восстановить смогу без проблем в случае чего.	Добавлю собственную фотографию – так и друзьям меня будет проще найти, и страницу восстановить смогу без проблем в случае чего.
russianВы выбрали бесплатный подарок от Сбербанка и можете отправить его %s другу. Отправляя этот подарок, Вы соглашаетесь на получение сообщения от сообщества Сбербанк с предложением поделиться обещанием на 2020 год./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, Вы соглашаетесь на получение сообщения от сообщества Сбербанк с предложением поделиться обещанием на 2020 год./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, Вы соглашаетесь на получение сообщения от сообщества Сбербанк с предложением поделиться обещанием на 2020 год.	Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s другу. Отправляя этот подарок, Вы соглашаетесь на получение сообщения от сообщества Сбербанк с предложением поделиться обещанием на 2020 год./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, Вы соглашаетесь на получение сообщения от сообщества Сбербанк с предложением поделиться обещанием на 2020 год./Вы выбрали бесплатный подарок от Сбербанка и можете отправить его %s друзьям. Отправляя этот подарок, Вы соглашаетесь на получение сообщения от сообщества Сбербанк с предложением поделиться обещанием на 2020 год.
russianБлагодарим за просмотр церемонии открытия BlizzCon 2019! Поделитесь радостью от мероприятия, отправив три бесплатных подарка своим друзьям.	Благодарим за просмотр церемонии открытия BlizzCon 2019! Поделитесь радостью от мероприятия, отправив три бесплатных подарка своим друзьям.
russianВы пали жертвой щелчка Таноса	Вы пали жертвой щелчка Таноса
russian{user_name}, Вы обратились в прах после щелчка Таноса. Ваша страница была заморожена на 15 минут	{user_name}, Вы обратились в прах после щелчка Таноса. Ваша страница была заморожена на 15 минут
russian{user}, Ваша страница обратилась в прах после щелчка Таноса и была заморожена на 15 минут.	{user}, Ваша страница обратилась в прах после щелчка Таноса и была заморожена на 15 минут.
russianРазморозка станет доступна через {minutes}:{seconds}.	Разморозка станет доступна через {minutes}:{seconds}.
russianВаша страница превратилась в прах после щелчка Таноса на 15 минут	Ваша страница превратилась в прах после щелчка Таноса на 15 минут
russianВКонтакте исполнилось 12 лет! Вы можете бесплатно отправить %s подарок другу./ВКонтакте исполнилось 12 лет! Вы можете бесплатно отправить %s подарка друзьям и близким./ВКонтакте исполнилось 12 лет! Вы можете бесплатно отправить %s подарков друзьям и близким.	ВКонтакте исполнилось 12 лет! Вы можете бесплатно отправить %s подарок другу./ВКонтакте исполнилось 12 лет! Вы можете бесплатно отправить %s подарка друзьям и близким./ВКонтакте исполнилось 12 лет! Вы можете бесплатно отправить %s подарков друзьям и близким.
russianЭто благотворительный подарок. Все средства от его покупки будут перечислены в три благотворительных фонда — фонд «Дети-бабочки», «Вера» и «Арифметика добра».	Это благотворительный подарок. Все средства от его покупки будут перечислены в три благотворительных фонда — фонд «Дети-бабочки», «Вера» и «Арифметика добра».
russianВы можете подтверждать важные действия (смену короткого имени, создание приложений и т. д.) с помощью push-уведомлений на официальных мобильных клиентах, а не вводить коды из SMS.	Вы можете подтверждать важные действия (смену короткого имени, создание приложений и т. д.) с помощью push-уведомлений на официальных мобильных клиентах, а не вводить коды из SMS.
russianВы выбрали бесплатный подарок от Чемпионат.com, посвященный Чемпионату мира по футболу, и можете отправить его %s друзьям.	Вы выбрали бесплатный подарок от Чемпионат.com, посвященный Чемпионату мира по футболу, и можете отправить его %s друзьям.
russianОшибка: домен разработчика, на котором Вы сейчас находитесь, не привязан к аккаунту ВКонтакте. Если Вы владелец этого домена, добавьте себя в массив в методе adminGetDeveloperIdFromDomain().	Ошибка: домен разработчика, на котором вы сейчас находитесь, не привязан к аккаунту ВКонтакте. Если вы владелец этого домена, добавьте себя в массив в методе adminGetDeveloperIdFromDomain().
russianVK Admin поможет не пропускать сообщения в Ваших сообществах, отвечать с мобильных устройств, следить за статистикой и управлять рекламным кабинетом.	VK Admin поможет не пропускать сообщения в ваших сообществах, отвечать с мобильных устройств, следить за статистикой и управлять рекламным кабинетом.
russianСобытия в прокомментированных отчётах	События в прокомментированных отчётах
russianПереход по данной ссылке ограничен в связи с требованием представителя правообладателей (Российская антипиратская организация по защите прав на аудиовизуальные произведения).	Переход по данной ссылке ограничен в связи с требованием представителя правообладателей (Российская антипиратская организация по защите прав на аудиовизуальные произведения).
russianСекция	Секция
russianОбновление	Обновление
russianРазмер	Размер
russianПо умолчанию	По умолчанию
russianНа модерации	На модерации
russianВы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его другу. Вы узнаете, что внутри коробки, отправив подарок другу./Вы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его %s друзьям. Вы узнаете, что внутри коробки, отправив подарок другу./Вы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его %s друзьям. Вы узнаете, что внутри коробки, отправив подарок другу.	Вы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его другу. Вы узнаете, что внутри коробки, отправив подарок другу./Вы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его %s друзьям. Вы узнаете, что внутри коробки, отправив подарок другу./Вы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его %s друзьям. Вы узнаете, что внутри коробки, отправив подарок другу.
russianВы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его нескольким друзьям. Вы узнаете, что внутри коробки, отправив подарок другу.	Вы выбрали бесплатный подарок с сюрпризом от Coca-Cola и можете отправить его нескольким друзьям. Вы узнаете, что внутри коробки, отправив подарок другу.
russianЕсли включить эту настройку, другие пользователи смогут отвечать на Ваши записи только на своих страницах, упоминая Вас. При желании Вы сможете следить за такими ответами через раздел {link}Уведомления{/link}.	Если включить эту настройку, другие пользователи смогут отвечать на ваши записи только на своих страницах, упоминая вас. При желании вы сможете следить за такими ответами через раздел {link}Уведомления{/link}.
russianПодходит для знаменитостей и публичных персон, которые поддерживают контакт с обширной аудиторией, но не имеют возможности постоянно модерировать комментарии.	Подходит для знаменитостей и публичных персон, которые поддерживают контакт с обширной аудиторией, но не имеют возможности постоянно модерировать комментарии.
russianВы пытаетесь зайти на сайт ВКонтакте с ссылки на постороннем ресурсе. Весьма вероятно, что Вы ввели Ваш пароль на ресурсе, не относящемся к ВКонтакте. Это может быть мошеннический сайт, мимикрирующий ВКонтакте (например, vkontakle.ru или vkontakte.w0rk.ru). Цель создания таких сайтов — воровство паролей.	Вы пытаетесь зайти на сайт ВКонтакте с ссылки на постороннем ресурсе. Весьма вероятно, что вы ввели ваш пароль на ресурсе, не относящемся к ВКонтакте. Это может быть мошеннический сайт, мимикрирующий ВКонтакте (например, vkontakle.ru или vkontakte.w0rk.ru). Цель создания таких сайтов — воровство паролей.
russianВаш пароль также мог быть украден, и мы рекомендуем Вам сменить его. Кроме того, мы рекомендуем очистить историю адресной строки браузера, чтобы в будущем Вы не могли случайно попасть на поддельный сайт.	Ваш пароль также мог быть украден, и мы рекомендуем вам сменить его. Кроме того, мы рекомендуем очистить историю адресной строки браузера, чтобы в будущем вы не могли случайно попасть на поддельный сайт.
russianЗаявка на смену номера принята.	Заявка на смену номера принята.
russianНа Ваш email и старый номер телефона были отправлены уведомления.	На ваш email и старый номер телефона были отправлены уведомления.
russianВ целях безопасности, номер будет изменён через %s день./Заявка на смену номера принята.	В целях безопасности, номер будет изменён через %s день./Заявка на смену номера принята.
russianНа Ваш email и старый номер телефона были отправлены уведомления.	На ваш email и старый номер телефона были отправлены уведомления.
russianВ целях безопасности, номер будет изменён через %s дня./Заявка на смену номера принята.	В целях безопасности, номер будет изменён через %s дня./Заявка на смену номера принята.
russianНа Ваш email и старый номер телефона были отправлены уведомления.	На ваш email и старый номер телефона были отправлены уведомления.
russianВ целях безопасности, номер будет изменён через %s дней.	В целях безопасности, номер будет изменён через %s дней.
russianПриложение для управления сообществами на {link_ios}iOS{/link_ios} и {link_android}Android{/link_android}.	Приложение для управления сообществами на {link_ios}iOS{/link_ios} и {link_android}Android{/link_android}.
russianСообщество стало победителем первого в мире {link}киберреалити-шоу{/link}.	Сообщество стало победителем первого в мире {link}киберреалити-шоу{/link}.
russianВы можете бесплатно отправить подарок %s другу. Премьера сериала «Любимцы» 28 августа на ПЯТНИЦЕ!/Вы можете бесплатно отправить подарок %s друзьям. Премьера сериала «Любимцы» 28 августа на ПЯТНИЦЕ!/Вы можете бесплатно отправить подарок %s друзьям. Премьера сериала «Любимцы» 28 августа на ПЯТНИЦЕ!	Вы можете бесплатно отправить подарок %s другу. Премьера сериала «Любимцы» 28 августа на ПЯТНИЦЕ!/Вы можете бесплатно отправить подарок %s друзьям. Премьера сериала «Любимцы» 28 августа на ПЯТНИЦЕ!/Вы можете бесплатно отправить подарок %s друзьям. Премьера сериала «Любимцы» 28 августа на ПЯТНИЦЕ!
russianЗаявка отклонена. Заявка уже существует либо содержит неприличные или запрещённые нашими модераторами слова.	Заявка отклонена. Заявка уже существует либо содержит неприличные или запрещённые нашими модераторами слова.
russianНа открытой стене могут писать сообщения и оставлять комментарии все пользователи.	На открытой стене могут писать сообщения и оставлять комментарии все пользователи.
russianНа ограниченной стене можно писать только от имени мероприятия, комментировать записи могут все пользователи.	На ограниченной стене можно писать только от имени мероприятия, комментировать записи могут все пользователи.
russianНа закрытой стене можно писать только от имени мероприятия, комментарии отключены.	На закрытой стене можно писать только от имени мероприятия, комментарии отключены.
