Апланета адгьыл паротиа,	ПЛАНЕТА ЗЕМЛя
Ма аҽацә хәыҷы уаҳа алымшакәа иаангылоит, ма километрак анаҩс абга наҟ иацрыҵуеит.	Либо оленёнок оступится, либо через километр волк прекратит погоню.
Тундра аԥхын агәазоуп, амрагьы ҭашәаӡом шьҭа.	В тундре середина лета и солнце уже не заходит.
Ари ацәаҳәаҿы амра амч азхаӡом аҵлақәа гыларц азы.	На этих широтах энергии солнечных лучей недостаточно для роста деревьев.
Аҵлақәа ирызҳауа иалагоит аашә километр ахьыбжьоу, алада лбааҟа.	Деревья начинают расти только в восьмистах километрах к югу.
Арҭ ачықь хәыҷқәа рнаҩс арктикатәи абна гылоит.	Эти низкорослые кустарники обозначают границу, за которой начинается арктический лес.
Атаига.	Тайга.
Аԥстәқәа аԥсаҵлақәа ргәырбыӷьқәа рфаӡом аҟнытә ара имаҷуп зынӡа.	Иголки хвойных деревьев практически несъедобны, поэтому здесь обитает очень мало животных.
Ҭынчроуп, асгьы шьҭа ҳәа акгьы анӡам.	Здесь цариттишина, а на снегу нет ничьих следов.
Арктикатәи аӡынраан адгьыл ҟәашӡа сы-уарҳалла ихҟьоуп.	Во время арктической зимы снег покрывает землю сплошным одеялом.
Аха аладантә иаауа ааԥын маҷ-маҷ ари асы арӡыҭуа иалагоит.	Но наступающая с юга весна постепенно стягивает белый покров.
Адгьыл иаакәыршаны игылоу атаига бна иамоуп апланетаҿы иааҟоу аҵлақәа зегьы хыџьара ишаны хәҭак. Ари абна иахылҵуа акислород атмосфера аилазаара ианыԥшуеит, иаԥсахуеит.	Таёжный лес, опоясывающий земной шар, содержиттреть всех деревьев на планете, и производит столько кислорода, что меняет этим состав атмосферы.
Амра аладаҟа инаскьацыԥхьаӡа еиҳа-еиҳа иӷьхоит, Арҭ аҭыԥқәа рҿы аԥсабара шьаҭанкыла аҽаԥсахуеит.	По мере продвижения на юг, влияние солнца становится сильнее, и на широте пятидесяти градусов картина кардинально меняется.
Ара аԥхынра аууп аҟнытә аԥсара анаҩс аҵла быӷьҟьаҟьақәа цәырҵуеит. Абыӷьҟьаҟьақәа рыфареи рырсареи еиҳа имариоуп аҟнытә аԥстәқәа рыфатә иалаланы, ирықәнагоу аҟара амра амч роууеит.	Летний период здесь весьма продолжителен, поэтому хвойный лес сменяется широколиственным. Широкие листья гораздо легче есть и переваривать, поэтому здесь животные могут получить свою долю солнечной энергии, переработанной растениями.
Уажәы ԥхынроуп азы арҭ абнақәа рыҟны аԥсҭазаара еилашуеит.	сейчас лето, и в этих лесах кипит бурная жизнь.
Аха аамҭа бзиақәа рыҿҳәара зынӡа икьаҿуп.	Но хорошие времена продлятся недолго.
Аӡынра анааилак абыӷьҟьаҟьақәа каԥсар акәхоит аҵаа рԥырхагамхарц азы.	На зиму широкие листья приходится сбрасывать, чтобы они не пострадали от мороза.
Бӷьыда абнара ҭацәуп, аԥстәқәагьы ирфо ыҟаӡам.	Без листьев в лесу становится пусто, и животным нечего есть.
Аԥстәқәа ма иқәҵны ицар акәхоит, ма ицәоит, мамзаргьы мызла имлашьлароуп.	Животные вынуждены мигрировать, впадать в спячку или голодать несколько месяцев.
Харамрагыларатәи алеопард – апланетаҿы зегь раасҭа зыхкы маҷу цгәуп.	Дальневосточный леопард - самая редкая кошка на планете.
Урыстәыла Хара мрагыларатәи абнақәа рҿы аӡын ашәарыцара мариам, избанзар хашәалагьы уоууам, уҽахьуҵәахыша ҵиаагьы ыҟам.	В лиственных лесах Дальнего востока России зимой охотиться очень трудно, добычи мало и нет растительности, в которой можно спрятаться.
Ари шықәсык ауп иахыҵуа, ан иаҵоуп макьана.	Этот годовалый детёныш ещё зависит от матери.
Аӡынра аныӷәӷәоу абынҽа маҷымкәа иҭахоит, алеопардқәагьы аԥсхаԥсжьы хәынгаршьаӡом.	В суровые годы погибает много оленей, и леопарды не брезгуют падалью.
Африкатәи алеопардқәа ара ианаалом.	Африканские леопарды не смогли бы здесь выжить.
Аха аурыс леопардқәа ахьҭа иазмыркуа ирықәу рхәоуп, уи иахьчоит.	Но русских леопардов защищает от холода густая шерсть.
Адунеи аҿы харамрагыларатәи алеопардқәа инханы иҟоу зынӡа 40 роуп, уи ахыԥхьаӡарагьы агхара иаҿуп.	В мире осталось всего 40 дальневосточных леопардов, их становится ещё меньше.
Хара мрагыларатәи алеопард аԥсабара шуашәшәырахаз атәы ҳанаҳәоит.	Как и многие животные, они оказались на грани вымирания в результате браконьерства и уничтожения среды их обитания.
Ари аԥстәы хкы ԥхьаҟа ԥеиԥш амазарц азы абри ацгәаԥсеиԥш даҽа ԥыҭк иеиқәхароуп.	Дальневосточный леопард символизирует хрупкость нашего природного наследия. Будущее целого вида зависит от выживания нескольких особей, таких, как эта самка.
Аԥстәқәа зегьы рыԥсҭазаара , зеиуа хкы маҷугьы, ҳзышьцылоугьы уахь инадкыланы Амра иахьыԥшуп.	Жизнь всех животных, и редких, и обычных, в конечном счёте, зависит от солнца.
Иапониа ааԥынра шааиз злардыруа аца анышәҭы ауп.	В японии о приходе весны возвещают цветущие вишни.
Амра ашәахәақәа аԥсабара шәыга хкыла еибырҭоит.	солнечная энергия расцвечивает ландшафт яркими красками.
Есышықәса Адгьыл Амра иакәшо ихынаау иара агәыцә ианахагьежьуа, Абри ахынаара иабзоураны аамҭақәа рҽеиҭаркуеит.	совершая ежегодное путешествие вокруг солнца, Земля вращается вокруг своей наклонной оси, этот наклон и вызывает смену времён года.
Ашықәс аамҭақәа иааиԥмырҟьаӡакәа аԥсабара рыԥсахуеит.	Времена года постоянно изменяют природу.
Аҩада амра аныԥсыҽхалак Аҩадатәи Америка абнақәа рбыӷьқәа карыԥсо иалагоит, аӡын мза хьшәашәақәа, аӡын мза еиқәарақәа рҽырзыҟарҵаразы.	Когда на севере влияние солнца ослабевает, лиственные леса северной Америки начинают сбрасывать листву, готовясь к холодным и тёмным зимним месяцам.
Ашықәс аамҭак даҽа аамҭак инамнадоит.	Одно время года передаёт эстафету другому.
Аԥсабара иахылҵыз џьоукы ҭагалан ишәҭуеит, аха урҭ реиҳарак ари аамҭа аӡыни, Мрада иҟоу аԥсҭазаареи рҽаздырхиаразы рхы иадырхәоит.	Некоторые организмы процветают осенью, но большинство используют это время для подготовки к зиме и к жизни без солнца.
Афатәи аԥхарреи ирышьҭаланы ԥсаатә хкқәак акыр инахараны ицоит.	Целые популяции некоторых видов вынуждены перемещаться на большие расстояния в поисках пищи и тепла.
300 нызықь инарзынаԥшуа ахырхыр кәатақәа сибратәи аӡын рхы ацәырыхьчаразы алада, Кореаҟа иеиҭаҵуеит.	300 тысяч чирков-клоктунов спасаются от сибирской зимы, они мигрируют на юг, в Корею.
Ари џьаушьаратәы иҟоуп, адунеи аҿы иҟоу аԥсаатә хкқәа зегьы џьарак рҽеидыркылеит.	Поразительно, вся мировая популяция в одной стае.
Аха апланетаҿы ҭыԥқәак рҿы ашықәс аамҭақәа ыҟаӡам.	Но на планете есть места, где нет времён года.
Атропикқәа рҿы амра ашәахәақәа ишиашоу иқәыԥхоит, убри аҟнытә урҭ ашықәс зегьы иӷьуп.	В тропиках солнечные лучи падают почти под прямым углом, их интенсивность остаётся постоянной круглый год.
Ари иабзоураны джунглиа абнақәа лассы игылоит, насгьы ҵҩа змам аԥстәы хкқәа акрырҿарҵоит.	Именно поэтому джунгли растут так быстро и кормят огромное множество самых разных животных.
Ари абна Адгьыл зегь аҿы х-процентк роуп иааннакыло, аха апланетаҿы иааҟоу аԥстәқәеи аԥсаатәқәеи рыбжеиҳарак ара илоуп.	Этот лес занимает всего 3% поверхности Земли, но в нём обитает больше половины всех растений и животных планеты.
Еиҳарак ирацәоуп урҭ абна ахыхь.	Особенно много их в верхних ярусах леса.
Ара инхоит амаамынқәа, аԥсаатәқәа, ахәаҷа-маҷа хкқәа миллионла, зхыԥхьаӡара макьана иеилкаам.	Здесь живут обезьяны, птицы и миллионы видов насекомых, никто даже не пытался их подсчитать.
Аладаҟа абна аҟазшьа аҽаԥсахуеит, ара иагьылашьцоуп, ацәаакырагьы ыҟоуп, иҟоу аҵиаақәеи аԥстәқәеи зынӡа даҽакӡоуп.	В нижних ярусах характер леса меняется, здесь темно и сыро, и совсем другая флора и фауна.
Амра алашара ҩ-процентк роуп адгьыл аҟынӡа иааӡо, аха иара абраҟагьы аҵиаақәеи аԥстәы хкқәеи реиуеиԥшымзаара џьашьахәуп.	Лишь 2% солнечного света достигает земли, но даже здесь обитает невероятное разнообразие видов.
Адгьылбжьаха ду Гвинеиа Ҿыц аҿы иҟоуп џьанаҭ ԥсаатәқәа ҳәа изышьҭоу 42 хкы.	На громадном острове Новая гвинея обитает 42 вида райских птиц.
Ак аҵкыс егьи џьашьахәны.	Одна причудливей другой.
Ари абнаҿы афатә даара ирацәоуп аҟнытә аԥшаара уадаҩӡам.	В этом лесутак много пищи, что насытиться можно очень быстро.
Убри аҟнытә џьанаҭ ҵыс, паротиа захьӡу егьырҭ аусқәа ирыхьӡаратәы аамҭа рацәаны иамоуп.	Благодаря этому у самца шестипёрой райской птицы паротии остаётся время на другие дела, например, уборку площадки для демонстрации.
Иаҳҳәап, арцына анааиуа азы аҽеилнаргоит.	Всё должно быть безупречно.
Ак агны иҟалоума?! Шьҭа зегьы хиоуп. Уамашәа иубаратәы иҟоуп.	Воттеперь всё готово. Впечатляет.
Аха избо ҳәа уаҩ дыҟам.	Только никто не смотрит.
Ари арбаӷь арцына иаԥхьоит. Уи еиҳа разҟы аман.	самец чудной райской птицы призывает самку. Ему везёт больше.
Иааит.	Она появилась.
Аха иагәаԥхаразы иҟанаҵо аабап.Азныказы аҽыԥхьанакуеит нас гәҭакыс иамоу аанарԥшырц азы.	Но что он сделает, чтобы произвести на неё впечатление?
Згәы камҳауа дарбану уџьабаа ахә аназырымшьа.	Она удаляется для вынесения своего вердикта. Любой опустит руки, когда все старания оказываются напрасными.
Амра адгьыл аҿеиԥш аокеан аҿтәи аԥсҭазаарагьы анырра анаҭоит.	солнце влияет на всю жизнь, как на суше, так и в океане.
Зегь раасҭа аӡқәа беиоуп ҳәа иԥхьаӡоуп ацәқәырԥақәа афатә ахьнарго аӡыҷчарақәа рҿы .	самые богатые воды там, где волны и течения выносят питательные вещества на мелководье, хорошо прогреваемое солнцем.
Избанзар ара Амра ашәахәақәа ибзианы ирықәыԥхоит.	Моря, омывающие мыс Доброй надежды в Южной Африке имеют этот волшебный рецепт и кишат живностью.
Алада Африка иҟоу ашыцра иҿықәсыло амшынқәа рыӡқәагьы абри аҟнытә фатәыла ибеиоуп. Аԥхын – абарақьаҭреи амшын цыгәқәеи алымқәеи рыҿиара иаамҭоуп.	Лето - время изобилия и сезон размножения морских львов и котиков.
Акула шкәакәа ажәылара еимгеимцаракны имҩаԥысуеит, уи аласра 40-нтәы иагырханы уахәаԥшыр, аагыгшәыг ахымҩаԥгашьеи уи иалоу амч дуи убоит.	Атака большой белой акулы длится одно мгновение, при замедлении воспроизведения в 40 раз можно разглядеть технику и страшную силу огромного хищника.
Аха ари ажәылара лыҵшәадахар, ашьҭашәарыцарахь ииасуеит.	Если эффект неожиданности не срабатывает, начинается погоня.
Акула шиашоу иаҳа лассы иӡсоит амшын ҳәа аасҭа, уи еиԥш иаахҵәаны изыгьежьӡом. Аласреи амчи иеинаалом.	По прямой акула плывёт быстрее, чем тюлень, но она не может поворачивать так же резко, как он. Проворство против силы.
Амшынҳәақәа рыҿиара аамҭа аниаслак акула дуқәа даҽа ҭыԥқәак рахь ииасуеит.	Кактолько утюленей закончится сезон размножения, гигантские акулы уплывут.
Акула шккәакәақәа зықь километр аокеанқәа ирхысны ицоит иӡсаны еиуеиԥшым амшынқәа рыҟны иҟоу абарақьаҭра иашьҭаланы.	Известно, что большие белые акулы мигрируют за тысячи километров и переплывают океаны ради сезонного изобилия в разных морях.
Амра иарԥхо арҭ атропикатә ӡқәа роуп адунеи зегьы аҿы аҳауа шьақәзыргыло.	солнце, нагревающее эти тропические воды, формирует климат всего земного шара.
Иԥхаз аокеан аӡы ахылҩа-ԥсылҩа ажәҩанаҿы иӡлачу ԥсҭҳәақәахоит.	Под действием тепла вода испаряется с поверхности океана и превращается в грозовые облака.
Амшын иахылҵыз аԥша адгьыл ахь иасуеит, аконтинетқәа ирықәлоит.	Ветры, рождённые в море, устремляются на сушу, и проносятся над континентами.
Сахара асакарақәа ирықәсуа афырҭын, аԥслымӡ фырҭын шьҭнахуеит, уи аԥслымӡ адгьыл агьи аганахь иаанагоит, Амазонка абнаршәырақәа рҟынӡагьы инаганы иқәнаԥсоит.	Над пустыней сахарой ураганные ветры вызывают сильнейшие песчаные бури и переносят песок на другой край земли, где он оседает даже в Амазонских джунглях.
Индиатәи аокеан иқәсуа аԥшақәа ацәаакыра еизганы ҩадаҟа, Гималаи ашьхақәа рышҟа ихаргалоит.	Ветры, дующие над Индийским океаном, собирают влагу и несут её на север, к гималаям.
Ара аҳауа хьшәашәоит.	Поднимаясь, воздух охлаждается.
Аӡы иалоу ԥсҭҳәахоит, анаҩс аԥсабаразы иԥсҭаҵагоу амуссонтә қәаны илеиуеит.	Влага, которая в нём содержится, превращается в облака, а затем выпадает в виде живительных муссонных дождей.
Амра ашәахәақәа анрылаԥхалак ицәааку аҳауа аконтинент ахь ииасуеит.	Под действием солнца воздушные течения переносят влажный воздух на континент.
Ӡыда ԥсҭазаара ыҟам, аха адгьыл зегьы иазеиҟараны иахьыгӡам.	Без воды не может быть жизни, но она распределена по земле крайне неравномерно.
Адгьыл хыџьара ишаны хәҭак асакарақәа ирыҵаркуеит.	Пустыни покрываюттреть земной поверхности, и с каждым годом их площадь увеличивается.
Есышықәсагьы рымҽхак дырҭбаауеит Аладатәи Африка иҟоу адәысакара Калахари.	Пустыня Калахари в Южной Африке.
Уажәы аарҩароуп. Зқьыла иӡышо асланқәа аӡы иашьҭаланы рҿынархоит.	сейчас сезон засухи, и тысячи мучимых жаждой слонов отправились на поиски воды.
Аладатәи Африка зегьы иқәу аԥстәқәа абри азы амҩа иқәлоит.	Во всей Южной Африке животные отправляются в путь по той же причине.
Кафртәи акамбашьқәа ари аныҟәара ду рҽаладырхәуеит.	Кафрские буйволы присоединяются к великому походу.
Адунеи аҿы даҽаџьара абри аҟара аԥстәы еицны, рызегьы зышьҭоу ӡуп.	Нигде больше в мире не увидишь такое количество животных, идущих с одной целью - найти воду.
Рызегьы рхы ахьхо Окаванго аӡбаарақәа рахь ауп. Аӡыршьҭра ҭбаақәа рыҩныҵҟа иҟоу.	Все они направляются в болота Окаванго, расположенные в широкой внутренней дельте.
Уажәы Окаванго ҭабаны иҟоуп, аха шьҭа аӡгьы ааигәахеит.	сейчас Окаванго пересохла, но вода уже близко.
Иеицу аԥстәқәа рныҟәашәа зыруадаҩуа асаба фырҭын ауп.	Движение путников затрудняют пыльные бури.
Анацәа рыхшареи дареи агәыԥ иацәхҟьар рылшоит.	самки с детёнышами могут отбиться от стада.
Аслан хәыҷы ани иареи ааигәа иҟоу бна хәыҷык аҿы рҽырҵәахырц иақәыркит, аха иахьнеиша инеиаанӡа аангылашьа рымам.	Мать со слонёнком пытается укрыться в лесном массиве, до которого осталось несколько километров, им нельзя останавливаться, пока они не дойдуттуда.
Агәыԥ аиҳарак маншәаланы аҭыԥ аҿы инеит.	Основное стадо уже благополучно добралось.
Аҵыхәтәаны, шьҭахьҟа инхаз асланқәагьы асаба иаалҵны иаарыдгылеит.	Наконец, из облака пыли появляются отставшие слоны.
Ари аслан хәыҷы аԥслымӡ ала ихыԥсалан,акыр иаргәамҵит.	Песок залепил глаза измученному слонёнку.
Ан излалшоз ала иацхраарц иаҿуп.	Мать делает всё возможное, чтобы помочь ему.
Афырҭын хнаго иалагеит.	Буря стихает.
Аха асланқәа зегьы разҟыла иеиԥшым, изымаазгьы ыҟоуп. Аслан хәыҷыкгьы ыӡит.	Но не всем слонам посчастливилось дойти. Один детёныш потерялся.
Ишҿажәкуаз, амч каԥсан, ан ашьҭа ихыланы иаауеит, аха рыцҳарас иҟалаз Даҽа хырхарҭак ала ацара иаҿуп.	Мучимый жаждой и обессиленный, он идёт по следам своей матери, но, к несчастью, в противоположном направлении.
Аарҩара ашыкьымҭаз Калахари Окаванго аӡыршьҭра иҭаланы аӡы аҿаанахоит.	В разгар засухи в Калахари в дельту Окаванго прибывает вода.
Уи қәаны илеит арантә зықь километраки бжаки ахьыбжьоу Ангола ашьхақәа рҿы, аранӡа аарагьы хәымызҟа иадхалеит.	Она выпала дождем в горах Анголы, в полутора тысячах километрах отсюда, и добиралась сюда почти 5 месяцев.
Аӡқәа адгьыл еиҟәыԥԥарсҭақәа рыҟнытә ибжьыӡәӡәааны иаарго ахәаҷа-маҷақәа иаразнак аҭҩыармамқәа ирфоит.	Воды вымывает из трещин в почве насекомых, которыхтут же склёвывают проворные ржанки.
Аӡы иацны иаауеит аԥсыӡқәа, урҭгьы аԥсаатә ирцәынхаз ахәаҷа-маҷа еидырыҟәшәалоит.	Рыбы зубатки приплывают вместе с потоком воды, они собирают насекомых, которых пропустили птицы.
Раԥхьа иԥырны иаауеит хыԥхьаӡара рацәала аԥсааатә.	Первыми прилетают многочисленные птицы.
Алымҳарыҩпҟақәа ргәыԥ.	стая серёжчатых журавлей.
Анаҩс ашьапызаҵә еиқәаҵәақәа.	Затем чёрные аисты.
Аԥсаатә ирышьҭагыланы рҿаархоит акамбашьқәа, Арҭ мчыбжьыла амҩа иқәуп, иааит шьҭа.	Вслед за птицами приходят буйволы, их поход, длившийся несколько недель, подходит к концу.
Окаванго аӡышьҭра аӡы анҭалалак Калахари ацәҳәыра аиҳарак дгьылчашәраны иҟалоит.	Когда в дельту Окаванго прибывает вода, значительная часть пустыни Калахари превращается в плодородный рай.
Адунеи аҿы абраҟеиԥш лабҿаба даҽаџьара иубарҭаӡам иԥсҭаҵагоу аӡы амч.	Нигде на планете не увидишь столь наглядной демонстрации живительной силы воды.
Окавандо аӡышьҭра агәахьы инеиуа адассақәа реиԥш иалдоуп арахь иаауа аԥстәқәа знысуа амҩахәасҭақәа.	Как капиллярами, долина Окаванго испещрена тропами животных, идущих к её сердцу.
Урҭ есааира иҿыцу амҩахәасҭақәа ылыргоит, аӡқәа рҭалоит, еиҳа-еиҳа аӡбаарақәа рымҽхак ырҭбаауа.	Они прокладывают всё новые артерии, по которым бежит вода, ещё больше увеличивая площадь разлива.
Ас еиԥш Африка, шамахамзар иубаӡом. Уи ӡыжьмацараны иҟалоит.	Такой Африку увидишь редко, настоящий озёрный край.
Ԥстәқәак ари аҭыԥ цәгьала ианаалоит.	Некоторые животные чувствуют себя здесь как дома.
