1 АПЛАНЕТА АДГЬЫЛ	ПЛАНЕТА ЗЕМЛя
44 Абас еиԥш иҟоу ацаҟьақәа ирышьҭаланы Аконтинент агәахьы ицогьы убап.	Некоторые в поискахтаких оазисов отправляются вглубь континента.
45 Ари нунатаки ҳәа изышьҭоу – асыԥса иагәылагылоу, цаҟьаны иҩагоу 46 ашьха аика акьышәкьышәрақәа роуп.	Это - нунатаки - изолированные скалистые пики горных хребтов, которые выступают над поверхностью ледника.
47 Иҿаҳа-дагәоу аҭынчра еилазгоны иҟоу ааԥынроуп.	Зловещая тишина нарушается только весной.
48 Асыҭәҳәа цҳаражәҳәаҩцәа ԥырны иааит, 49 ҳаҭыреиқәҵара аамҭа ааит.	снежные буревестники прилетели, у них начался сезон ухаживаний.
50 Антарктикатәи асыҭҳәа цҳаражәҳәаҩцәа 51 адунеи аҿы зегь раасҭа алада илбааны аҭыԥ нызыкыло ԥсаатәуп.	Антарктические буревестники образуют самую южную колонию птиц в мире.
52 Арҭ аԥсаатәқәа 500 км агьакымкәа иԥырны, 53 рыҭрақәа рҟынӡа иааит.	Эти птицы пролетели почти 500 километров, чтобы добраться до своих гнездовий.
Иҵааршәу адунеи 54 Аҵыс ԥшқақәа анхыҵлак, Иҵааршәу адунеи 55 урҭ уажәы аасҭа ҩынтә еиҳаны иԥырны ицалароуп	Кактолько из яиц вылупятся птенцы, они будут вынуждены преодолевать вдвое большие расстояния, летая за пищей в море, туда и обратно.
56 амшын аҿы афатә иашьҭаланы 57 Аха раԥхьа даҽакы ааины иахымларц азы закәанла иааныркылаз аҭыԥқәа хьчат Аҵыс уп.	Но сначала нужно защитить законно занятые места от вторжения.
58 Рыкәтаӷьқәа нышьҭаҵаны, асыҭәҳәа цҳаражәҳәаҩцәа ибзиаӡаны рхәы дрыцқьоит.	щтложив яйца, буревестники тщательно чистят оперение.
59 Антарктикатәи поморникаимҵәаҩ бааԥс.	Антарктический поморник - грозный хищник.
60 Аха поморникқәа машәырла акәӡам асыҭәҳәа цҳаражәҳаҩцәа рышҟа иԥырны изааз.	Но поморники не случайно прилетели к буревестникам.
61 Даргьы рзыԥшын ара.	Они их ждали.
62 Арҭ аԥсаатәқәа рыфатә аокеан аҟнытә иааргаӡом.	Этим птицам не нужно добывать пищу в океане.
63 Поморникқәа асыҭәҳәа цҳаражәҳаҩцәа рыҭрақәа ацаҟьа цәҳәқәа иахьадҟарҵало рхы иархәаны, 64 Антарктика аԥсаатқәа зегь раасҭа еиҳа лбаа инхоит.	Поморники живут южнее всех остальных хищников Антарктики, пользуясь тем, что буревестникам нужно гнездиться на голых скалах.
65 Аԥхынра ашыкьымҭазы 66 Антарктида зегь аҟнытә иқәҵуа асыԥса/анаҟәоу 3% роуп. .	Даже в самый разгар лета ото льда освобождается меньше 3% поверхности Антарктиды.
67 Шамахамзар, ацаҟьақәа зегьы џьарак рҽеидкыланы иҟоуп. 68 Антарктикатәи адгьылбжьахаҿы.	И почти все скалы сосредоточены в одном месте. На Антарктическом полуострове.
69 Цәаҳәак иқәгыланы аҩадаҟа иҩаскьоит, 70 Убри аҟнытә ара аматерик аҟны аасҭа ааԥынра еиҳа заа иаауеит.	Он тянется узкой полоской на север, поэтому здесь весна наступает раньше, чем на материке.
71 Асыԥса/анаҟәоу аҟнытә маҷ-маҷ ахы иақәиҭхоит аӡыбжьахалақәа	щто льда постепенно освобождаются защищённые бухты.
72 Ара аладатәи аокеан ацәқәырԥа леишәацәгьақәа уҽырцәухьчар ҟалоит.	Здесь можно укрыться от яростных волн южного океана.
73 Аокеан аҩныҵҟа еилаҩеиласроуп 74	В глубинах океана какое-то движение.
Ааи, ари акит-бӷаџьыҟәқәа роуп,	Да, это - киты-горбачи,
75 Урҭ 8 нызқь километр инареиҳаны иӡсаны иааит 76 абарҭ аӡқәа рҟынӡа иааӡарц азы.	они проделали расстояние свыше 8 тысяч километров, чтобы добраться до этих вод.
77 Абас акитқәа асыԥсақәа аныӡыҭлак ашьҭахь 78 арҭ аӡқәа ирымоу адыӷаҷа ссақәа еизыргоит.	Так киты собирают криль - мелких рачков, которыми после схода льдов кишат эти воды.
79 Акитқәа уамашәа иеинааланы аӡы иҭаҳәамлысуеит./иӡсоит/.	Киты действуют необычайно слаженно.
80 Џьоукы адыӷаҷа ссақәа ҳәыԥкны иахьыҟоу илбаауеит, 81 ашьшьыҳәа иеикәшоит. 82	Несколько китов ныряют в самую гущу рачков и медленно вращаются вокруг своей оси.
Анаҩс иааҳәны, рҟарҟҷыда аҳауа ҭдырҟьоит, 83 ахашәала ироуз хыхьҟа идәықәырҵоит.	Затем они разворачиваются, выдувают воздух из дыхал и выталкивают добычу к поверхности.
84 Афатә хыхьҟа ианҩеи мацәазҵас, 85 аҳауа еимхәыц аакәыршаны иеидыркылоит.	Криль сбивается в плотный шар, опутанный сетью из воздушных пузырьков.
86 Акитқәа еинааланы ихандеиуеит Уахгьы-ҽынгьы, 87 Абарақьаҭра аамҭа лассы инҵәоит, аԥхынра ыиасуеит.	Команда китов работает круглые сутки, время изобилия коротко, лето уже идёт на спад, и скоро, с возвращением зимы, горбачам придётся уплыть на север.
88 Хара имгакәа, аӡынра шааиз, абӷаџьыҟәқәа аҩадаҟа иӡсаны ицар акәхоит. 89 Амра амчқ кәадахоит, аокеан еиҭа иҵаауа иалагоит.	Влияние солнца ослабевает, и океан снова начинает замерзать.
90 Даҽа аамҭанык иеиԥшымкәа ҳапланетаҿы иаалырҟьаны ашықәс аамҭақәа рҽеиҭаркуеит.	Происходит самая резкая смена времён года на нашей планете.
91 Уаҩы ишимбац ала лассы иазҳауеит анаҟәоу, 92 мышкы ԥшь-километрак ахҵаалара иахьӡаны.	Ледяной покров растёт необычайно быстро, со скоростью 4 километра в день.
93 Ҩ- мчыбжьҟа рышьҭахь аматерик ҩынтә иеиҳахоит.	Через пару недель площадь материка увеличится почти вдвое.
94 Псы зхоу зегьы Антарктика иқәҵны ицоит.	Всё живое бежит из Антарктики.
95 Аха мап, руакы уажәоуп арахь иӡсаны ианаа, 96 аконтинент агәахьы инаскьоит.	Но нет, кое-кто наоборот только приплыл сюда и уходит вглубь континента.
97 Ес-ӡынра 98 Аимператортә пингвинқәа аокеан аҿы ишәарҭам аҭыпқәа ааныжьны 99 Иџьашьахәу аныҟәарақәа ирылагоит.	Каждую зиму императорские пингвины покидают безопасные глубины океана и отправляются в удивительное путешествие.
100 Урҭ ахьыҿиаша аҭыԥқәа рахь ицоит, 101 амшын аԥшаҳәа 150 км инацәыхараны.	Они идут к местам размножения, которые находятся в 150 километрах от берега моря.
102 Аҵыхәтәаны, апингвинқәа дара рхаҭақәа адәы иахьықәлаз аҭыԥқәа рҿы инеиуеит.	В конце концов, пингвины приходят туда, где сами появились на свет.
103 Ари иҵааршәырахаз аргыларақәа /рыла ихьчоу/ ирыхьчаз ихҵаалаз аокеан хәҭақәоуп.	Это - защищённые айсбергами участки замёрзшего океана.
104 Урҭ ара ихтәалараны иҟоуп, 105 Аха раԥхьа дасу аҩыза аԥшаароуп.	Здесь они будут высиживать своё потомство, но сначала каждый должен найти себе пару.
106 Арбаӷьқәа абзиабара ашәақәа рҳәара иалагоит, 107 уи иақәҿызҭыз ҩызас ишьҭнахуеит, 108 асахьа ианушәагьы рҽаадырҭнчуеит.	самцы начинают петь серенады, и если какая-нибудь самка откликается, то они образуют пару и замирают в картинных позах.
109 Бзиа иеибабаз иаразнак еилшәарада иеидҳәалахоит.	Между влюблёнными быстро устанавливаются крепкие узы.
110 Урҭ рыкәша-мыкәша иҟоу аӷьал-пал рымбо иҟалоит.	Они словно не замечают шумной толпы вокруг себя.
111 Ари аҭаацәа хымбгаларц азы арбаӷь аҩыза “алашарахь ицәырнагоит”.	Чтобы скрепить этот союз, самец выводит свою даму в свет.
112 Ҳаҭыреиқәҵара ианаамҭаз ыҟан, шьҭа атәаха змада.	Период ухаживаний закончился, теперь нельзя терять ни минуты.
113 Аиндаҭлара ӷәӷәа ахьыҟоу 114 Аҭаацәара ахада иарбанзаалак аҵыхәтәанӡа иқәԥалоит.	В условиях жёсткой конкуренции любой самец будет сражаться до последнего.
115 Мчыбжьқәак рышьҭахь аҭаацәарақәа реиҳарак рҿы аԥшқақәа хыҵуеит.	Через несколько недель у большинства пар появляются яйца.
116 Аха акәтаӷьхыхра ус мариам – алшара ду аҭахуп аҟнытә 117 ахтәалара акәытқәа рымч аназымха 118	Но производство яиц - очень энергоёмкая задача, и у самок не остаётся сил на их высиживание.
урҭ ирымырдаразы инеиуеит арбаӷьқәа.	И на вахту заступают самцы.
119 Аҳауа 20 градус ихьшәашәоуп аҟнытә, акәтаӷь ирласны иеиҭагатәуп, 120 мап анакәха иҵаауеит.	Температура воздуха минус 20, поэтому яйцо нужно передать быстро, иначе оно замёрзнет.
121 Ацаҟьақәа ара иҟаӡам аҟнытә арбаӷь акәтаӷь амгәа инаҵакны ирҽу 122 ацәа ихәыҵанаҵоит.	скал здесь нет, поэтому самец кладёт яйцо под специальную складку кожи на брюшке, где оно надёжно защищено.
Уа акгьы ахьраны иҟаӡам. 123 Ари апроцесс ангьы абгьы еиқәшәаны имҩаԥыргароуп.	Этот процесс требует слаженных действий обоих родителей.
124 Зымч каԥсаз анацәа аокеан ашҟа ихынҳәуеит, 125 мызкы аԥхьа арбаӷьқәеи дареи еицны 126 изнысыз аҭоурых мҩа иеиҭеицаныларц азы.	Ослабевшие голодные самки возвращаются в океан, повторяя эпическое путешествие, которое всего месяц назад они совершили вместе с самцами.
127 Амра, шамахамзар, ихалаӡом.	солнце почти не поднимается над горизонтом.
128 Амшқәа ирыгхо иалагоит, аконтинент аԥхарра шықәҵра иқәҵуеит.	Дни становятся короче, и тепло окончательно уходит с континента.
129 Ицаз рышьҭахь аколониаҿы џьашьатәқәак мҩаԥысуеит.	После ухода самок в колонии происходят странные перемены.
130 Арбаӷьқәа гәыԥкны рҽеидыркылоит, 131 Аха акәтаӷьқәа ршьапқәа рҿы ишыркыц иркуп.	самцы сбиваются в группы, но, по-прежнему, держат яйца на ногах.
132 Рыҽдырԥхарц азы иахьынӡауа рҽеидырӷәӷәаланы игылоуп.	Они прижимаются друг к другу как можно плотнее, чтобы согреться.
133 Иубартә иҟоуп аԥсаатә есааира ишеиҭаҵуа, 134 апингвинқәа еизыԥшны, аӡәаӡәала агәҭахьы инаскьоит, 135 еиҳа иахьыԥхарроу.	При ускоренном воспроизведении видно, стая в постоянном движении, пингвины по очереди продвигаются в середину группы, туда, где теплее.
136 Абас иахьеигәҭасуагьы аԥсаатә уамашәа иубаратәы, ҳаҭыр еиқәырҵоит, башагьы акәым, 137 Кылаара хәыҷык анааҟала, изыхӡыӡаауа аԥхарра рыцәцеит ауп.	В такой давке птицы на редкость доброжелательны, и не зря, если возникнет хоть малейшая брешь, драгоценное тепло улетучится.
138 Излауала арбаӷьқәа лассы-лассы иҳәыԥкны рҽеидыркылалароуп 139 аӡәк еиԥш иагьеидгылароуп, 140	самцам нужно собираться в кучи как можно быстрее и действовать как один,
Избанзар дара роуп ԥсабаратә рыцҳарак ҟалар аҿагылара зылшо, 141 акәтаӷьқәагьы зыхьчо.	ведь только так они смогут противостоять стихиям и защитить яйца.
142 Аха еиҳа ихьанҭоу аусқәа раԥхьаҟа ишьҭоуп.	Но главное испытание ждёт их впереди.
143 Аӡынра ааиуеит.	Наступает зима.
144 Анаатә/асыҭәҳәа аҳауа хьшәашәа ацны иааиуеит.	Метели сопровождаются резким понижением температуры.
145 Аҳауашәага 60 градус ахьшәашәара унарбоит.	столбиктермометра показывает минус 60.
146 Агәыԥ адәахьала иадгылоу аԥсаатә роуп 147 сааҭк аҩныҵҟала 150 километр иасуа аԥша хьшәашәа заахо.	Птицы, которые стоят на внешней стороне группы, принимают на себя удары ветров со скоростью 150 километров в час.
148 Абасала, урҭ агәыԥ аҩныҵҟа уажәы аҽырԥхара зтәу рыхьчоит.	Тем самым они защищаюттех, чья очередь греться внутри группы.
149 Аимператортә пингвинқәа хтәалоит 150 зегь раасҭа Адгьыл аҿы ихьшәашәоу, иеиқәароу аӡынразы.	самцы императорских пингвинов высиживают яйца в условиях самой холодной и тёмной зимы на Земле.
151 Аҩадатәи аполиус аҿы мызқәак рыҩныҵҟала 152 раԥхьаӡа акәны Амра ҩаҵхахоит 153 даҽа сыԥса/анаҟәоу дунеик аарлашоит.	А на северном полюсе планеты впервые за несколько месяцев над горизонтом встаёт солнце и освещает совсем другой ледяной мир.
154 Антарктида аматерик иадкыланы 155 Арктика –иҵааршәу океан дууп. 156 иаакәыршаны адгьыл шьҭоуп.	В отличие от материка Антарктиды, Арктика - это обширный ледовитый океан, окружённый сушей.
157 Ара аӡынра нҵәоит, 158 аха игәыԥҵәагоу ари ацәҳәыра асыԥсақәа/анаҟәоуқәа иҳәынҷаны ирымоуп.	Здесь зима заканчивается, но эта унылая пустыня остаётся во власти льдов.
159 Акәата дуқәа аҭынчра еиларгоит.	Крупные утки, гаги, нарушают тишину.
160 Урҭ егьырҭ аԥсаатәқәа реиԥш аладаҟа иԥырны ицаӡом, аҩадатәи алӡынра зегьы 161 ара ирхыргоит.	Они не улетают на юг, как другие птицы, а всю долгую северную зиму проводят здесь.
162 Асы цәҳәырақәа ирхысны ицоит аԥсаатә 163 хыԥхьаӡарала 40 нызықь инарзынаԥшуа.	Над снежной пустыней проносятся стаи численностью до 40 тысяч особей.
164 Дара зегьы гәҭакык ауп ирымоу165 аокеан еиҭаҵра иабзоураны 166 аӡынра зегьы иахьыӡсаша имҵаауа аӡы иашьҭоуп.	У всех у них одна цель - полынья - незамерзающий участок воды, в котором можно плавать всю зиму, благодаря океаническим течениям.
167 Абас еиԥш иҟоу аӡҭачы акәатақәа уахынла рҽырӡоит,/хыхьчарҭас ирымоуп	Такой необычный пруд ночью даёт уткам убежище,
168 шарԥазы афатә ԥшаара даара иманшәалоуп.	а на рассвете - редкий шанс покормиться.
169 Изыманшәалои? Уажәы иеилышәкаап.	Почему редкий? сейчас поймёте.
170 Ара аҵаулара 10м ыҟоуп, 171 амшын аҵа амидии мыдаӷьцәа ауарҳалла ихҟьоуп,	Глубина здесь 10 метров, морское дно покрыто густым ковром раковин мидий,
172 Урҭ рҟынӡа унаӡар улшоит 173 аокеан еиҭаҵра ԥыҭраамҭак еиҳа ианыԥсыҽхо аамҭазы.	до них можно добраться только тогда, когда течение ненадолго ослабевает.
174 Ара аӡы ажәылареи ахьаҵреи мҩаԥысуеит, зны иааскьоит, зны инаскьоит,	Ведь здесь идёт приливноотливное течение, то туда, то сюда,
175 Аӡы жәылара ахьаҵра ианаамнада, 176 урҭ аҵаҟнытә амидии аагара иахьӡоит.	и только когда прилив сменяется отливом, они успевают достать мидии со дна.
177 Аамҭа зынӡа имаҷуп, аӡеиҭаҵра еиҳа-еиҳа амч иацло ианалага нахыс, 178 хыхьҟа ихалатәхоит,	Времени очень мало, и кактолько течение начинает набирать силу, приходится всплывать,
179 мап анакәха аҵаа иаҵанагалоит.	иначе унесёт под лёд.
180 Абас имҵаауа аӡқәа акәатақәа алӡынрак 181 Фатәыла иеиқәдыршәоит.	Такие незамерзающие полыньи предоставляют гагам пищу в течение всей зимы.
182 Зыԥшқақәа крырҿазҵо аԥсаатә егьырҭ аԥстәқәа рышьҭаланы иаауеит,	Кормящиеся птицы привлекают других животных.
183 Ара имаар алшома абгахәыҷы, аимҵәаҩ.	И, конечно, хищника, песца.
183 Арктика иҭаԥҽыз асыԥса кәылӡы 184 ԥсеиқәырхагас иҟалар алшоит.	В Арктике любая брешь в ледяном щите может стать единственным шансом на выживание.
185 Ауасацә дуқәа рылахь иану иақәгәыӷӡом, 186 арҭ адомбеиқәа рылшара дууп,	Могучие овцебыки не полагаются на судьбу, эти гиганты обладают сокрушительной силой,
187 урҭ аҵаа кылаԥҽны иҟоу аҳаскьын хәыҷ рфоит.	они пробивают ледяную корку и поедают скудную растительность.
188 Ауасацәқәа акранырфо иӡысуа егьырҭ аԥстәқәагьы ирыхәоит.	Кормящиеся овцебыки создают возможности для других зимовщиков.
189 атундра каԥкаԥауасацәқәа рхы здыркалазгьы уамашәа иубартә иҟоуп.	Тундряные куропатки - странная компания для овцебыков.
190 Аха урҭ ирхьыԥшны иаауа рхыпхьаӡара есааира иазҳауеит.	Но их свита становится с каждым днём всё больше.
191 Арҭ ирыцлоит ажьа шкәакәагьы.	сюда же присоединяется и заяц-беляк.
192 Ауасацәқәа анышә ахьыржыз Афатә аԥшаара еиҳа имариоуп.	Там, где рылись овцебыки, легче найти пищу.
193 Аха ас авегетарианеццәа лассы-лассы 194 Иеизалаӡом аҟнытә гәамҭашьа ыҟаӡам.	Но такое необычное сборище вегетарианцев не остаётся незамеченным.
195 Абгахәыҷы аҽӡаны иааиуеит.	Песец подкрадывается.
196 Ауасацәқәа аҳәарақәа рхылҵит.	У овцебыков появилось потомство,
197 Абгахәыҷы ажьабаа афаразы ари ҭагылазаашьа бзиоуп.	для песца это - шанс полакомиться падалью.
198 Аха тоннабжак иҟоу ран Ус ишабалак уазныҟәар ҟалом.	Но с разъярённой мамашей весом в полтонны шутки плохи.
199 Ауасацә хәыҷқәа ааԥынтәи асыӡыҭра акыр шагу ииуеит. 200 Убри аҟнытә	Детёныши рождаются задолго до весенней оттепели, это даёт им преимущество, и когда наступает лето, они уже весело бегают.
201 аԥхынра анааилак еибарыҩуа адәы инықәлоит.	Он должен привыкнуть к своему новому ледяному миру,
2002 Иашьцылароуп зны игәыбзыӷу, зны ишәарҭоу 203 Иҵааршәыроу ари адунеи ҿыц .	то милостивому, то смертельно опасному.
204 Ааԥынразгьы иҵааршәыроу аԥша убаҩқәа рҟынӡа иулсуеит.	Даже весной ледяной ветер может пронизывать до костей.
205 Аҳәыс ан ахьцалак иацзароуп, 206 агәаҽанӡамкәа иаацәырҵыз асыҭәҳәа иаламӡразы.	Телёнок должен держаться рядом с матерью, чтобы не потеряться в неожиданно налетевшей вьюге.
207 Арахь абгақәагьы ҭаха рырҭом.	А тут ещё полярные волки.
208 Ари асыҭәҳәа шкәакәа уалыԥшны шәарҭарак аныҟоугьы иубараны иҟаӡам.	В этой белой мгле заметить опасность почти невозможно,
209 Аха ауасацәқәа рцәа иадырит аҟнытә аҩада иҩаскьоит	но овцебыки инстинктивно отходят на возвышенность.
210 Адуқәа рыхшара рыхьчаразы иаарыкәшаны амацәаз иҭаркуеит,	Взрослые смыкают оборонительное кольцо вокруг своих детёнышей,
211 Абаррикада ҟарҵоит, уи ахырбгалара “ашәарыцацәа” зегьы ирылшаӡом.	образуют баррикаду, пробить которую под силу немногим охотникам.
212 Аха абгақәа иахьа иманшәалахеит.	Но сегодня волкам не нужно рисковать.
213 Ауасацәқәа руакы шәаҟьаны, аҩызцәа ирыцәхҟьазаап.	Оказалось, что в панике один детёныш отбился от стада.
214 Арктика амра есҽны еиҳа-еиҳа аҩадаҟа иҩаскьоит.	с каждым днём солнце поднимается над Арктикой всё выше.
215 Ааԥынра аауеит, уи иацны иааиуеит аԥсҭазаара ҿыц.	Наступает весна, а с ней приходит новая жизнь.
216 Амышәҳәарақәа, амшә шкәакәа аԥацәа аҭыҩра иҭыҵуеит,	Медвежата, детёныши белого медведя, вылезают из берлоги,
217 Урҭ ара ажьырныҳәа мзазы иит.	в которой они родились ещё в январе.
218 Ран хәымызтәи ацәа анаҩс, аҽарххоит, ашьапқәа еиҵнахуеит 219 аӡынтәи ацәа иалҵразы.	Их мать разминает лапы после 5 месяцев зимней спячки, точнее, зимнего сна.
220 Аԥацәа 2-3-мзы роуп ирхыҵуа, 221 Ран дырны иашьҭаланы ицоит.	Детёнышам всего 2-3 месяца от роду, и они инстинктивно следуют за матерью.
222 Лбаарҟьасҭоуп – аҭыҩразы иеиӷьу ҭыԥ абаҟоу, аха ара раԥхьатәи 223 ашьаҿақәа рыҟаҵара мариам.	Крутой склон - идеальное место для берлоги, но на нём трудно делать первые шаги.
224 Ари баша хәмарроушәа убар ҟалоит азныказы,	Это может показаться забавой,
225 Аха, раԥхьаҟа ирзыԥшу аԥышәаразы Зыҟаҵара бзиоуп, 226 Ахәқәа рҿы афатә абаҟоу,	но это - серьёзная подготовка к предстоящему испытанию, ведь на склонах пищи нет, и семейству придётся совершить переход
227 Ран ахш амҵәаанӡа ари аҭаацәа ихҵаалаз амшын 228 иқәсны ицароуп.	по замёрзшему морю, пока у матери не кончилось молоко.
229 Ҩымчыбжьа рыла урҭ ацара иазхиахоит.	Через две недели они готовы к переходу.
230 Иҵааршәырахаз амшын аҿы амшә Атиуленқәа ирышьҭашәарыцар алшоит.	На морских льдах медведица может охотиться на тюленей,
231 Амышәҳәарақәа ран иамоу аԥышәа зегьы уажәы ахы ианархәароуп 232 амышәҳәара хәҷқәа иҵааршәыроу адунеи иацу ашәарҭарақәа ирыцәнахьчаразы.	но ей понадобится весь её материнский опыт, чтобы защитить медвежат от опасностей ледяного мира.
233 Есышықәсеиԥш аси аҵааи аӡыҭра иалагеит.	Началось ежегодное таяние снегов и льдов,
235 Амшә аҭаацәаразы ари аамҭа хьанҭоуп.	это - тяжёлое время для медвежьего семейства.
236 Аԥхьатәи ашықәс азы амшәҳәарақәа акы ныбжьажьны даҽакы аҵаа иқәыԥсуеит.	Каждый второй детёныш погибает в первом году жизни на льдинах.
237 Амра есааира аҽарӷәӷәоит, амшын ҿаҳәаны измоу аҵаагьы ҿыхоит.	Влияние солнца усиливается, и сковывающие море льды оживают.
238 Асыԥсақәа ирыҵыҵны иаауа ацыхаӡы амшын ӡы иалалоит, уи 239 аҵаа аӡыҭра иацхраауеит.	Талая вода, текущая с ледников, смешивается с морской и ускоряеттаяние.
240 Амшын аҿы аҵаа ԥыҽҽуа иалагоит, 241 Аԥшеи амшын иалало аӡи ирыхҟьаны Аҵаа еиҭаҵуеит, иныҟәо иалагоит.	Лёд на море ломается и под действием ветра и течений приходит в движение.
242 Амшын иху аҵаа мыцхәу Иҵаӷахоит аҟнытә шьҭа 243 амшәҳәыс шкәакәа азынкылаӡом.	Ледяной покров становится слишком тонким и уже не может выдержать самца белого медведя.
244 Иааҟәараҟәанҽоит аҽыннакыларазы 245 Аха аӡын инызкылоз аҵаа уажәы иццакӡаны аӡыҭра иаҿуп.	Он пытается распределить свой вес, но лёд, который выдерживал его зимой, стремительно тает.
246 Аԥсабараҿы иҟалаз аԥхарра ду иахҟьаны Арктиа есышықәса 247 Аҵаа еиҳа-еиҳа имаҷхо иалагеит.	В результате глобального потепления, каждый год в Арктике образуется всё меньше льда.
248 Амшә шкәакәақәа рзы ари рыцҳара дууп.	Для белых медведей это - катастрофа.
249 Аҵаа ӷәӷәамзар атиуленқәа рзыԥшааӡом.	Без крепкого ледяного покрова они не смогут охотиться на тюленей,
250 Урҭ рыдагьы амла иаганы иԥсуеит.	которые нужны им для выживания.
251 Шәазхәыц, арҭ аԥстәы ссирқәа ԥеиԥшс ирымоу, 252 закә рыцҳароу раԥхьаҟа ирзыԥшу.	Подумайте, какое неопределённое и, может быть, трагическое будущее ждёт этих великолепных животных.
