RU1	ПЛАНЕТА
RU805	мало.
RU806	Огромные
RU807	уши
RU808	африканской
RU809	лисички
RU810	фенека
RU811	участвуют
RU812	в
RU813	процессе
RU814	теплообмена,
RU815	но
RU816	у
RU817	этих
RU818	животных
RU819	есть
RU820	ещё
RU821	один
RU822	способ
RU823	охлаждения.
RU824	Просто
RU825	весь
RU826	день
RU827	они
RU828	проводят
RU829	под
RU830	землёй
RU831	и
RU832	вылезают
RU833	на
RU834	закате.
RU835	Ночная
RU836	темнота
RU837	приносит
RU838	огромные
RU839	перемены,
RU840	в
RU841	сахаре
RU842	ночная
RU843	температура
RU844	ниже
RU845	дневной
RU846	на
RU847	30
RU848	градусов,
RU849	то
RU850	есть
RU851	достаточно
RU852	прохладно,
RU853	чтобы
RU854	детёныши
RU855	могли
RU856	поиграть.
RU857	Всевозможные
RU858	существа
RU859	вылезают
RU860	из
RU861	своих
RU862	убежищ,
RU863	в
RU864	том
RU865	числе
RU866	весьма
RU867	необычные.
RU868	Кожа
RU869	у
RU870	жаб
RU871	водопроницаемая,
RU872	и
RU873	в
RU874	полуденный
RU875	зной
RU876	им
RU877	грозит
RU878	смерть
RU879	от
RU880	обезвоживания,
RU881	лишь
RU882	ночью
RU883	они
RU884	могут
RU885	покинуть
RU886	свои
RU887	убежища.
RU888	Тоже
RU889	относится
RU890	и
RU891	к
RU892	скорпионам,
RU893	хотя
RU894	их
RU895	панцирь
RU896	и
RU897	кажется
RU898	водонепроницаемым.
RU899	На
RU900	самом
RU901	деле,
RU902	большинство
RU903	обитающих
RU904	здесь
RU905	животных
RU906	ведёт
RU907	ночной
RU908	образ
RU909	жизни,
RU910	поэтомутолько
RU911	ночью
RU912	можно
RU913	по-настоящему
RU914	оценить
RU915	богатство
RU916	животного
RU917	мира
RU918	пустыни.
RU919	Но
RU920	потеря
RU921	влаги
RU922	даже
RU923	ночью
RU924	должна
RU925	каким-то
RU926	образом
RU927	восполняться,
RU928	и
RU929	это
RU930	-
RU931	главная
RU932	проблема
RU933	в
RU934	жизни
RU935	всех
RU936	обитателей
RU937	пустынь.
RU938	Атакама
RU939	-
RU940	чилийская
RU941	пустыня
RU942	-
RU943	самая
RU944	сухая
RU945	пустыня
RU946	в
RU947	мире.
RU948	В
RU949	некоторых
RU950	её
RU951	областях
RU952	дождей
RU953	не
RU954	бывает
RU955	по
RU956	50
RU957	лет,
RU958	и,
RU959	зная
RU960	об
RU961	этом,
RU962	ожидаешь
RU963	увидеть
RU964	безжизненные
RU965	пески.
RU966	Но
RU967	это
RU968	не
RU969	так.
RU970	Южноамериканские
RU971	безгорбые
RU972	верблюды
RU973	гуанако.
RU974	Они
RU975	умеют
RU976	сохранять
RU977	влагу
RU978	в
RU979	организме,
RU980	и
RU981	всё
RU982	же
RU983	им
RU984	необходим
RU985	постоянный
RU986	запас
RU987	воды.
RU988	Гуанако
RU989	извлекают
RU990	воду
RU991	из
RU992	цветов
RU993	кактусов,
RU994	но
RU995	такое
RU996	объяснение
RU997	вызывает
RU998	другой
RU999	вопрос,
RU1000	а
RU1001	как
RU1002	же
RU1003	кактусы
RU1004	выживают
RU1005	без
RU1006	дождей?
RU1007	Горячие
RU1008	ветры
RU1009	полностью
RU1010	высушивают
RU1011	поверхность
RU1012	пустыни.
RU1013	Вероятно,
RU1014	здесь
RU1015	есть
RU1016	ещё
RU1017	что-то,
RU1018	что
RU1019	заменяет
RU1020	дождь.
RU1021	секрет
RU1022	в
RU1023	холодном
RU1024	морском
RU1025	течении,
RU1026	которое
RU1027	проходит
RU1028	параллельно
RU1029	суше.
RU1030	Течении
RU1031	Гумбольдта.
RU1032	Влажный
RU1033	тёплый
RU1034	воздух
RU1035	над
RU1036	океаном
RU1037	охлаждается,
RU1038	и
RU1039	в
RU1040	результате
RU1041	образуется
RU1042	туман.
RU1043	Ветер,
RU1044	дующий
RU1045	с
RU1046	моря,
RU1047	сносит
RU1048	туман
RU1049	вглубь
RU1050	суши.
RU1051	И
RU1052	очень
RU1053	скоро
RU1054	кактусы
RU1055	покрываются
RU1056	капельками
RU1057	росы.
RU1058	Туман
RU1059	образуется
RU1060	настолько
RU1061	регулярно,
RU1062	что
RU1063	на
RU1064	кактусах
RU1065	образуются
RU1066	влаголюбивые
RU1067	лишайники,
RU1068	они
RU1069	поглощают
RU1070	влагу
RU1071	как
RU1072	губки.
RU1073	Недаром
RU1074	Атакаму
RU1075	называют
RU1076	пустыней
RU1077	туманов,
RU1078	на
RU1079	земле,
RU1080	где
RU1081	почти
RU1082	нет
RU1083	дождей,
RU1084	эти
RU1085	бесценные
RU1086	капли
RU1087	спасают
RU1088	жизнь
RU1089	многим
RU1090	видам
RU1091	животных.
RU1092	В
RU1093	удалённых
RU1094	от
RU1095	моря
RU1096	районах
RU1097	воздух
RU1098	остаётся
RU1099	настолько
RU1100	сухим,
RU1101	что
RU1102	влага
RU1103	из
RU1104	него
RU1105	не
RU1106	конденсируется,
RU1107	поэтому
RU1108	узкий
RU1109	отрезок
RU1110	побережья
RU1111	-
RU1112	единственное
RU1113	место
RU1114	в
RU1115	Атакаме,
RU1116	где
RU1117	процветает
RU1118	жизнь.
RU1119	Без
RU1120	туманов
RU1121	здесь
RU1122	тоже
RU1123	была
RU1124	бы
RU1125	мёртвая
RU1126	пустыня.
RU1127	Гуанако
RU1128	тоже
RU1129	активно
RU1130	собирают
RU1131	росу,
RU1132	скоро
RU1133	её
RU1134	не
RU1135	станет,
RU1136	через
RU1137	час-другой
RU1138	солнце
RU1139	высушит
RU1140	кактусы,
RU1141	и
RU1142	роса
RU1143	испарится.
RU1144	Пустыня
RU1145	санора
RU1146	в
RU1147	Аризоне
RU1148	не
RU1149	такая
RU1150	засушливая
RU1151	как
RU1152	Атакама,
RU1153	дожди
RU1154	здесь
RU1155	иногда
RU1156	бывают,
RU1157	но
RU1158	очень
RU1159	нерегулярно,
RU1160	и
RU1161	когда
RU1162	они
RU1163	приходят,
RU1164	животные
RU1165	и
RU1166	растения
RU1167	должны
RU1168	быть
RU1169	готовы
RU1170	использовать
RU1171	влагу
RU1172	до
RU1173	конца.
RU1174	И
RU1175	вот
RU1176	дождь
RU1177	приходит.
RU1178	В
RU1179	период
RU1180	летних
RU1181	муссонов
RU1182	гигантские
RU1183	кактусы
RU1184	сагуаро,
RU1185	одни
RU1186	из
RU1187	самых
RU1188	больших
RU1189	в
RU1190	мире,
RU1191	с
RU1192	готовностью
RU1193	принимают
RU1194	потоки
RU1195	живительной
RU1196	влаги.
RU1197	После
RU1198	ливня
RU1199	разветвлённая
RU1200	корневая
RU1201	система
RU1202	сагуаро,
RU1203	расположенная
RU1204	у
RU1205	самой
RU1206	поверхности
RU1207	земли,
RU1208	высасывает
RU1209	всю
RU1210	влагу,
RU1211	и
RU1212	стволы
RU1213	растений,
RU1214	благодаря
RU1215	складкам,
RU1216	раздуваются.
RU1217	ствол
RU1218	одного
RU1219	сагуаро
RU1220	способен
RU1221	вместить
RU1222	5
RU1223	тонн
RU1224	воды,
RU1225	этого
RU1226	вполне
RU1227	достаточно,
RU1228	чтобы
RU1229	пережить
RU1230	многомесячную
RU1231	засуху.
RU1232	В
RU1233	стволах
RU1234	гигантских
RU1235	кактусов
RU1236	делают
RU1237	свои
RU1238	дупла
RU1239	пустынные
RU1240	дятлы.
RU1241	Но
RU1242	не
RU1243	только
RU1244	птицы
RU1245	извлекают
RU1246	выгоду
RU1247	из
RU1248	соседства
RU1249	с
RU1250	кактусами.
RU1251	сагуаро
RU1252	цветут
RU1253	летом
RU1254	на
RU1255	протяжении
RU1256	четырёх
RU1257	недель
RU1258	и
RU1259	привлекают
RU1260	многих
RU1261	опылителей
RU1262	по
RU1263	ночам.
RU1264	среди
RU1265	них
RU1266	летучие
RU1267	мыши.
RU1268	Пыльца
RU1269	и
RU1270	нектар,
RU1271	которыми
RU1272	полны
RU1273	эти
RU1274	цветы,
RU1275	привлекают
RU1276	листоносов
RU1277	и
RU1278	мексиканских
RU1279	длинноносов.
RU1280	Несколько
RU1281	дней
RU1282	назад,
RU1283	спасаясь
RU1284	от
RU1285	летней
RU1286	жары,
RU1287	эти
RU1288	мыши
RU1289	покинули
RU1290	Мексику
RU1291	и
RU1292	сейчас
RU1293	летят
RU1294	на
RU1295	север,
RU1296	в
RU1297	южные
RU1298	штаты
RU1299	сША.
RU1300	На
RU1301	пути
RU1302	им
RU1303	нужно
RU1304	пересечь
RU1305	пустыню
RU1306	санору.
RU1307	Но
RU1308	пустыня
RU1309	так
RU1310	велика,
RU1311	что
RU1312	в
RU1313	другое
RU1314	время
RU1315	года
RU1316	пересечь
RU1317	её
RU1318	этим
RU1319	рукокрылым
RU1320	не
RU1321	под
RU1322	силу,
RU1323	только
RU1324	сейчас,
RU1325	когда
RU1326	цветут
RU1327	сагуаро,
RU1328	они
RU1329	могут
RU1330	сделать
RU1331	остановку
RU1332	и
RU1333	подкрепиться.
RU1334	Так
RU1335	что
RU1336	способность
RU1337	сагуаро
RU1338	запасать
RU1339	воду
RU1340	имеет
RU1341	решающее
RU1342	значение
RU1343	для
RU1344	животных,
RU1345	которые
RU1346	живут
RU1347	в
RU1348	пустыне
RU1349	или
RU1350	просто
RU1351	пересекают
RU1352	её.
RU1353	Кактус
RU1354	сагуаро,
RU1355	облик
RU1356	этого
RU1357	символа
RU1358	пустыни
RU1359	сформировался
RU1360	вследствии
RU1361	нехватки
RU1362	влаги,
RU1363	но
RU1364	облик
RU1365	пустыни
RU1366	сформировали
RU1367	не
RU1368	только
RU1369	ветры,
RU1370	но
RU1371	и
RU1372	вода,
RU1373	как
RU1374	бы
RU1375	мало
RU1376	её
RU1377	не
RU1378	было.
RU1379	В
RU1380	пустынях
RU1381	Юты
RU1382	древние
RU1383	реки,
RU1384	которые
RU1385	текли
RU1386	среди
RU1387	песчаников,
RU1388	постепенно
RU1389	расширяли
RU1390	каньоны,
RU1391	пока
RU1392	от
RU1393	них
RU1394	не
RU1395	остались
RU1396	лишь
RU1397	шпили
RU1398	и
RU1399	остроконечные
RU1400	скалы.
RU1401	На
RU1402	поверхности
RU1403	скальных
RU1404	пород
RU1405	нет
RU1406	почвы,
RU1407	которая
RU1408	бы
RU1409	удерживала
RU1410	влагу,
RU1411	поэтому
RU1412	жизни
RU1413	здесь
RU1414	очень
RU1415	мало.
RU1416	А
RU1417	когда
RU1418	возможности
RU1419	ограничены,
RU1420	всегда
RU1421	возникает
RU1422	конфликт.
RU1423	северная
RU1424	Африка,
RU1425	нубийская
RU1426	пустыня.
RU1427	Нубийские
RU1428	горные
RU1429	козлы
RU1430	готовятся
RU1431	к
RU1432	поединку.
RU1433	Умный
RU1434	козёл
RU1435	всегда
RU1436	знает:
RU1437	когда
RU1438	пахнет
RU1439	неприятностями,
RU1440	лучший
RU1441	способ
RU1442	-
RU1443	забраться
RU1444	повыше.
RU1445	Все
RU1446	эти
RU1447	самцы
RU1448	занимают
RU1449	в
RU1450	группе
RU1451	примерно
RU1452	одинаковое
RU1453	положение.
RU1454	Драки
RU1455	их
RU1456	очень
RU1457	серьёзны,
RU1458	стоит
RU1459	один
RU1460	раз
RU1461	проиграть
RU1462	и
RU1463	можно
RU1464	навсегда
RU1465	потерять
RU1466	своё
RU1467	право
RU1468	на
RU1469	размножение.
RU1470	Когда
RU1471	силы
RU1472	соперников
RU1473	равны,
RU1474	как
RU1475	сейчас,
RU1476	поединок
RU1477	может
RU1478	продолжаться
RU1479	более
RU1480	часа.
RU1481	На
RU1482	такой
RU1483	жаре
RU1484	драться
RU1485	очень
RU1486	тяжело.
RU1487	Но
RU1488	победа
RU1489	доставит
RU1490	самцу
RU1491	важные
RU1492	очки
RU1493	для
RU1494	продвижения
RU1495	наверх
RU1496	иерархической
RU1497	лестницы
RU1498	и
RU1499	для
RU1500	возможности
RU1501	продолжения
RU1502	рода.
RU1503	На
RU1504	карту
RU1505	поставлено
RU1506	так
RU1507	много,
RU1508	что
RU1509	не
RU1510	все
RU1511	дерутся
RU1512	честно,
RU1513	ну,
RU1514	сзади
RU1515	нападать
RU1516	нельзя.
RU1517	Однако
RU1518	победитель
RU1519	этого
RU1520	поединка
RU1521	определён,
RU1522	вот
RU1523	он.
RU1524	Но
RU1525	главный
RU1526	приз
RU1527	ему
RU1528	не
RU1529	достаётся.
RU1530	Пока.
RU1531	В
RU1532	настоящий
RU1533	момент
RU1534	он
RU1535	принадлежит
RU1536	главному
RU1537	самцу.
RU1538	Высокий
RU1539	статус
RU1540	гарантирует
RU1541	ему
RU1542	верность
RU1543	гарема
RU1544	самок,
RU1545	которые
RU1546	следуют
RU1547	за
RU1548	ним
RU1549	по
RU1550	пустыне,
RU1551	пока
RU1552	он
RU1553	занят
RU1554	поисками
RU1555	пищи
RU1556	и
RU1557	воды.
RU1558	Ему
RU1559	не
RU1560	надо
RU1561	терять
RU1562	времени
RU1563	на
RU1564	поиск
RU1565	партнёрш,
RU1566	они
RU1567	всегда
RU1568	рядом
RU1569	с
RU1570	ним,
RU1571	поэтому
RU1572	он
RU1573	с
RU1574	их
RU1575	помощью
RU1576	может
RU1577	сосредоточиться
RU1578	на
RU1579	обеспечении
RU1580	стада
RU1581	всем
RU1582	необходимым.
RU1583	ящерицы
RU1584	-
RU1585	исконные
RU1586	обитатели
RU1587	пустынь.
RU1588	Но
RU1589	вот
RU1590	в
RU1591	этом
RU1592	месте
RU1593	их
RU1594	численность
RU1595	особенно
RU1596	велика.
RU1597	В
RU1598	расщелинах
RU1599	скал
RU1600	южной
RU1601	Африки
RU1602	сформировалась
RU1603	особенно
RU1604	высокая
RU1605	концентрация
RU1606	ящериц.
RU1607	ящерки-платизавры.
RU1608	У
RU1609	них
RU1610	уплощённое
RU1611	тело
RU1612	и
RU1613	разноцветное
RU1614	брюшко
RU1615	у
RU1616	самцов,
RU1617	они
RU1618	выставляют
RU1619	его
RU1620	напоказ
RU1621	во
RU1622	время
RU1623	территориальных
RU1624	споров.
RU1625	Он
RU1626	сказал
RU1627	всё,
RU1628	что
RU1629	хотел,
RU1630	теперь
RU1631	пора
RU1632	позаботиться
RU1633	о
RU1634	еде.
RU1635	По
RU1636	мере
RU1637	прогревания
RU1638	воздуха,
RU1639	ящерицы
RU1640	покидают
RU1641	свои
RU1642	расщелины
RU1643	и
RU1644	спускаются
RU1645	на
RU1646	дно
RU1647	ущелья.
RU1648	Их
RU1649	цель
RU1650	-
RU1651	это
RU1652	река.
RU1653	На
RU1654	берегу
RU1655	пищи
RU1656	нет,
RU1657	но
RU1658	у
RU1659	этой
RU1660	реки
RU1661	есть
RU1662	свой
RU1663	секрет.
RU1664	Каждый
RU1665	день
RU1666	из
RU1667	бурного
RU1668	течения
RU1669	реки
RU1670	в
RU1671	воздух
RU1672	поднимаются
RU1673	мошки.
RU1674	Ради
RU1675	них
RU1676	и
RU1677	приходят
RU1678	сюда
RU1679	ящерицы.
RU1680	Эти
RU1681	крошечные
RU1682	подёнки
RU1683	никогда
RU1684	не
RU1685	садятся
RU1686	на
RU1687	землю,
RU1688	поэтому
RU1689	ящерице
RU1690	приходится
RU1691	ловить
RU1692	еду
RU1693	в
RU1694	прыжке.
RU1695	За
RU1696	день
RU1697	каждая
RU1698	из
RU1699	этих
RU1700	маленьких
RU1701	проворных
RU1702	ящерок
RU1703	может
