АПЛАНЕТА АДГЬЫЛ	% ПЛАНЕТА ЗЕМЛя
Аха уигьы ахыхьчаразы рацәак иманшәалам.	Однако это не очень хорошее убежище.
Агыгшәыгқәа рызгьы имариам ихту акаршәрақәа рҿы ахшара ааӡара	Хищникам тоже нелегко растить потомство на открытых пространствах степей.
Аҵлақәа ахьыҟам иахҟьаны ашьауардынқәа рыҭрақәа адгьыл аҿы иҟарҵоит.	Из-за отсутствия деревьев, орлам приходится гнездиться на земле.
Акаршәрақәа ирықәу арҭ аԥстәқәа зегьы аԥсабара арыцҳарақәа ирцәыхьчаӡам.	Все обитатели равнин беззащитны перед стихией.
Амца аԥстәқәа ашәара ду рыланаҵоит.	Пожар вызывает в стаде панику.
Аӡеренқәа аҩра иазшоуп. Ихәыҷӡақәоугьы амца иаԥысыр рылшоит. амала адуқәа ршьапы иаҵамшәароуп.	Дзерены рождены для бега, и даже самые маленькие легко обгоняют пламя, главное - не попасть под копыта взрослых.
Амца аанызкыло ҳәа акгьы ыҟаӡам. Изацәымцаз зегьы ықәнахуеит.	Ничто не преграждает путь огню, и он уничтожает всё, что не может убежать.
Хәы змоу шаҟа фатәы, шаҟа ҳаскьын ықәыблаан иагазеи?	А сколько погибло драгоценной пищи, травы.
Иҭахоит, ҳәарада, иажәу, иԥсыҽу аԥстәқәа.	И, конечно, погибают старые и слабые.
Аӡеренқәа амца иқәнаблааз адгьылқәа ааныжьны аҳәырҭа ҿыцқәа рахь ицоит.	Дзерены оставляют уничтоженные огнём земли и уходят на новые пастбища.
Аццышә иахылҵуеит феникс ҳәа изышьҭоу аҳаскьын, ԥсра зқәым аҵиаа.	А из пепла возрождается феникс, трава, непобедимое растение.
Аҳаскьын ҿа аҵиаа иҵәаху агәыцә ашьаҭа иахылҿиаауеит.	Новые травинки растут из защищённой части в основании стебля.
Уи иабзоураны ари аҳаскьын хкы, шамахамзар, акгьы амыхьӡакәа иеиқәхоит.	Это делаеттраву практически неуязвимой.
Ара еиҳа ирацәоуп злаки.	В основном здесь злаки.
Лассы иеиҭа гылоит аҟнытә урҭ даҽа ҵиаақәак раасҭа аҭыԥ рацәаны иааныркылоит.	Благодаря своей способности быстро восстанавливаться, злаки покрывают больше площади, чем любые другие растения,
егьырҭ аҵиаақәа раасҭагьы аԥстәқәа фатәыс ирымоуп.	и кормят больше животных, чем все остальные растения мира.
Африкатәи асаваннақәа ирхаԥыруеит Миллионки бжаки раҟара ас еиԥш иҟоу аԥсаатә.	Над африканскими саваннами летают полтора миллиарда таких птиц
Арҭ аԥынҵаҟаԥшьқәа роуп.	Это - красноклювые ткачики или квелии.
Ари адгьыл аҿы иааҟоу аԥсаатә хкқәа зегьы раасҭа хыԥхьаӡарала иеиҳауп.	Этот вид - самый многочисленный вид птиц на всей земле.
Аԥынҵаҟаԥшьқәа ргәыԥқәак убриаҟара идууп Урҭ хыҵны ианцо амҩа хәбаҟа сааҭ иқәхоит.	Некоторые стаи красноклювых ткачиков так велики, что пролёт одной такой стаи занимает 5 часов.
Злаки роуп ас аԥсаатә рацәа акрырҿазҵо.	Только злаки могут прокормить такие огромные стаи.
Амла иакыз ари аԥсаатә аҵиаа ажәла хырфаауеит.	Голодные орды птиц поглощают семена.
Антилопақәа рацәаны ианеицу абыӷьқәеи ахәҵәқәеи хырҟәыҿааны ирфоит.	Листья и стебли объедают большие стада антилоп.
Мрагыларатәи Африка асаваннақәа ирықәуп ҩ-нызықь инарзынаԥшуа антилопақәа, гну ҳәа изышьҭоу.	В саваннах восточной Африки обитает почти 2 миллиона антилоп гну.
урҭ рышьҭахь акгьы аанмыжьӡакәа аҳаскьын ашьаҭаҟынӡа ихырфаауеит.	Они общипываюттраву до самых корней, почти ничего не оставляя после себя,
аха мышқәак рнаҩс аҵиаа аԥсы ҭалоит, хыԥхьаӡара рацәала Апланета иқәу аԥстәқәа зегьы. еиҭа фатәыс ишьҭырхуеит.	но через несколько дней растение оправится и снова станет пищей для самых многочисленных стад на планете.
Аҵиаа иахьазҳауа атропикқәа мацарақәа рҿы акәӡам. Арҭ (злаки) ахьҭа цәгьа ахьыҟоу Арктикагьы ирызҳауеит.	Травы произрастают не только в тропиках. Эти злаки умудряются расти даже в суровых условиях Арктики.
Абнақәа ахьаанҵәо, урҭ рнаҩс ҳапланета ккаӡа иҭацәуп, ҵааршәыралагьы иҿаҳәоуп. Аӡын ари - Адгьыл аҵыхәан иҵааршәыроу цәҳәыраны ишьҭоуп.	За крайним пределом лесов наша планета пустынна и скована льдом, зимой это - ледяная пустошь на краю Земли.
Аха есышықәса иауу аполиартә ӡны аамҭа кьаҿк, еиҳа иԥсыҽхоит.	Но каждый год на короткое время долгая полярная зима ослабляет свою хватку.
Аҳауа еиҳа иԥхаррахоит, аӡын аҵаа иаҵаҵәахны иамаз аҳаскьынгьы еиҭа агылара иалагоит.	Температура повышается, и трава, дремавшая подо льдом зимой снова пускается в рост.
Арктикаҟа аиаҵәара хынҳәуеит	В Арктику возвращается зелёный цвет.
Ихьаҵуа аҵаа ихнатуеит Австралиа иаҟароу акаршәра ду.	щтступающий лёд обнажает огромную равнину, размером с Австралию,
Аха ари арктикатәи атундроуп.	но это - арктическая тундра.
Азныказы ԥсы зхоу ахьықәым , иҿаҳа-дагәоу цәҳәыроушәа убоит.	По-началу, кажется, необитаемая, безмолвная пустыня,
Аха иаарласны ара зегьы аҽаԥсахуеит.	но очень скоро всё изменится.
Арктикатәи аҟыз шкәакәақәа.	Арктические белые гуси.
Урҭ аӡынра Мексикатәи аӡыбжьахалаҿы ирхыргоит.	Они зимуют на берегах Мексиканского залива и
Ааԥынра Аҩадатәи Америка зегьы Иахысны ицоит атундраҿы инаӡарц азы.	весной летят через всю северную Америку, чтобы попасть в тундру.
Есышықәса 5 миллионк рҟынӡа аԥсаатә хыҵны ицоит.	Ежегодно это путешествие совершают 5 миллионов птиц.
Улаԥшҳәаа ахьынаӡо иҟоу аҟыз шкәакәақәа роуп.	До горизонта одни белые гуси.
Урҭ 5 нызықь километра ихҵәаны ицоит. Хымызҟагьыамҩа иқәхоит.	Протяжённость их марафонской миграции составляет почти 5 тысяч километров, и длится она 3 месяца.
аҵыхәтәан, икарахаз аԥсаатә, уаҳа нарылымшо аполиартә еикәшара анҭыҵ инатәоит.	В конце концов, обессилевшие птицы приземляются за полярным кругом, в своихтрадиционных местах размножения.
Дара уаанӡа иахьыҿиоз аҭыԥқәа рҿы. Аҟыз шкәакәа иалнахыз аҩыза ахааназы иалнахуеит.	Белые гуси образуют пары на всю жизнь,
иԥырны иааз аҭаацәара иаразнак аҭра ахьыҟанаҵаша, иманшәалахашаз аҭыԥ ылхра инашьҭалоит.	прилетающие пары сразу заявляют свои права на подходящий для гнездования участок земли.
Зегь рыла ибзиоу аҭыпқәа маҷуп азы аигәылацәа рыбжьара лассы-лассы аимак цәырҵуеит.	Идеальных мест мало, и между соседями часто возникают ссоры.
Зны-зынла рыгәқәагьы нибархоит. Аҳауаҿы еибашьуеит уҳәап..	Иногда дело доходит и до драки. Прямо воздушный бой.
Аҳы, шьҭа аҭыԥ ылнахит.	Но вот участок отвоёван.
Атундра ахьыҟоу хароуп.	Тундра находится очень далеко,
Аха аамҭа кьаҿк азы ари, ҭыԥ ссируп аҳаскьын зфо рзы.	но на короткий период это - идеальное место для травоядных.
Аԥхынра кьаҿуп, аха аҳаскьын лассы иазҳауеит.	Во время короткого, но интенсивного лета, трава растёт очень бурно,
Насгьы ара аладатәи араионқәа рҿы аасҭа агыгшәыг акырӡа иеиҵоуп.	и здесь гораздо меньше хищников, чем в южных районах.
Ара, адгьыл аҿы аҟызқәа имшәа-имырҳа рыҭрақәа ҟарҵар рылшоит.	Здесь гуси могут относительно безопасно гнездиться на земле.
Аха убас шакәугьы, ари аҟыз хы-мчыбжьа ихтәалазаауеит, Ари аамҭа зегьы ахыхьчара ацәуадаҩхоит.	Тем не менее, эта самка будет сидеть на яйцахтри недели, и всё это время будет очень уязвима.
Аԥсаатә ирышьҭашәарыцоит аҩадатәи абгахәыҷы.	За птичьей колонией наблюдает песец, полярная лиса.
Ари аҟыз рцына аҟызқәа алӡынрак ирзыԥшын.	Эта самка ждала гусей всю зиму.
Ҳәарада, игәарымҭакәа рааигәа неишьа амаӡам. Аха имшәаз насыԥ ицуп рҳәоит.	Конечно, незаметно подкрасться не удаётся. Но говорят, счастье сопутствует храбрым.
Аколониа бзианы ихьчоуп. Ус иаарласны хашәаалак аиура мариам.	Колония хорошо защищена, на лёгкую добычу не приходится рассчитывать.
Имлаго агыгшәыг ахьнеилак иԥхарцоит.	Голодного хищника прогоняют от каждого гнезда,
Аха амлакра иааннакылом, Еиҭа, еиҭа аҽыԥнашәоит. Иагеит, иамгар амуит.	но голод заставляет её пытаться снова и снова. Унесла, всё-таки унесла.
Аколониаҿы иҟоу акәтаӷь, иара иазыфо аасҭа иеиҳауп.	В колонии больше яиц, чем она может съесть,
аха ахтәалара аамҭа кьаҿуп аҟнытә, афатә аҭаҵәахразы иеизнагароуп уажәы, аҟызқәа анықәҵлак ашьҭахь иафаразы.	но период гнездования короток, и она прячет поживу про запас, чтобы съесть, когда гуси уже улетят.
Саԥхьаҟа ҳәа ихәыцуеит.	Вот это предусмотрительно.
Аладаҟа, атундра ифҩысуа иқәуп еиҳа идуу агыгшәыгқәа. Аполиартә бгақәа.	А южнее по тундре рыщут более крупные хищники. Полярные волки.
Урҭ акаршәрақәа рыҟны афатә ԥшаара еиҳагьы ирцәуадаҩуп. рыфатәгьы аамҭалоуп ишыҟоу, аԥшаарагьы мариам.	Им добывать пищу на равнинах ещё труднее, их добыча носит сезонный характер и найти её трудно.
Ԥсшьамҩа рымаӡам, аха макьана зегьы лҵшәадоуп. Рыфатә ара ааигәа џьара, ҵыхәаԥҵәара змам адәқәа ишрықәу рдыруеит	Многодневные поиски пока так и не принесли результата.
Абар иара.	Но они знают, их добыча бродит где-то здесь, на этих бескрайних просторах. Вот она.
Аҩадатәи абынҽа, карибл.	северный олень, карибу.
Мышкы 50 километр иныҟәаны, аԥхынра иалагӡаны абынҽақәа х-нызықь километр инареиҳаны ицоит.	Проходя по 50 километров в день, за лето олени способны проделать более трёхтысяч километров.
Абгақәа абынҽа анырԥыхьамшәа, амла иаганы иԥсуеит ауп.	Если волки не найдут оленей, они могут просто умереть с голода.
Амҵ бааԥсқәа ирышьҭаланы, аҳәырҭа ҿыцқәеи ирышьҭаланы ԥхьаҟа инаскьалароуп.	Но найти добычу, которая никогда не останавливается, это - трудная задача. Укусы мошкары и поиски новых пастбищ заставляют их постоянно двигаться вперёд.
Аҵыхәтәан, абга ашьҭа иақәшәеит. Абнҽақәа ааигәоуп шьҭа.	Наконец, волк взял след. Олени уже близко.
Иҵуазеи иашьҭеижьҭеи. Ма абыржәы, ма ахаангьы.	Долгожданный шанс.
Ашәарыцара иалагеит.	Охота началась.
Абга ааира аԥстәқәа ашәара ду рыланаҵеит.	Появление волка вызывает в стаде панику,
Иԥсыҽу, иқәыԥшу аԥстәқәа Ирылҵны хазы ицоит.	и слабые и молодые отделяются от стада.
Аԥшқақәа руакы ан иацәхҟьеит.	А один из детёнышей отбился от матери.
Ари арыцҳа шьҭа иалшараны иҟои?	Теперь несчастному не спастись.
Аха абгагьы акрыфара аҭахуп Иҟауҵои?!	Ну, волку же тоже нужно есть. Что поделаешь.
Аҟызқәа рколониаҿы аԥхынра иашыкьымҭоуп, аҟызԥшқақәагьы хыҵуеит.	В колонии гусей разгар лета, и из яиц вылупляются птенцы.
Аԥшқақәа зегьы ҩымш рыҩныҵҟала иеицхыҵуеит,.	Все птенцы появляются на свет одновременно, в течение двух дней.
Шьҭа аколониақәа рҿы аҟызқәа рхыԥхьаӡара миллионк рҟынӡа иазҳаит.	Теперь численность колонии увеличилась на миллион гусят.
Абгахәыҷы афатә еизгара ишаҿыц иаҿуп.	А песец по-прежнему запасается пищей.
Зны-зынла иара ҿык шазымхо убаратәы иҟоуп.	Иногда ему одного рта явно не хватает.
Даҽа ҟыз ԥшқакгьы аҿыҵаӡар аҭахуп.	Хочется взять больше одного птенца.
Аха ари аҭаацәа ацуп. Ашьауардын саангылоит ҳәа агәы иҭам.	Но тут родители.
Аха уажәазы акы азнархароуп. Иаԥшааз афатә зегьы азыҵәахӡом, ахәҭак абыржәы иафароуп	Хищник настойчив. Но на этот раз одного птенца должно хватить.
Ари аҟыз рцына иаҵоу аԥшқақәа рыбыжьбагьы амла иакуеит. Есааира рыкрыфара иацлоит.	Не вся еда откладывается про запас, какую-то часть нужно употребить прямо сейчас.
Ран тәамҩахә амаӡамкәа, аԥшқақәа рзы афатә иашьҭазароуп.	У самки семеро голодных детёнышей. Их аппетиты растут, и матери приходится без устали добывать для них пищу.
Ааӡара бзиа змоу аԥшқақәа роуп Арктикатәи аӡынра аӷыҵысра зылшо.	Только упитанные, здоровые детёныши смогут пережить арктическую зиму.
Абри аколониа ду аҿы аҟызқәа реиҳарак еибгоуп.	В такой огромной колонии большинство гусят целы и невредимы.
Аныҟәара рылшо ишыҟалаз агәра анырга, Аҭаацәа аӡахьы ирыманы идәықәлоит.	Убедившись, что они достаточно окрепли для путешествия, родители ведут их к воде.
Абгахәыҷқәа рзы абарақьаҭра аамҭа цеит.	А для песцов время изобилия закончилось,
аха ан иалшоз зегьы ҟанаҵеит ԥхьаҟа аԥсҭазаара иазхиазарц азы.	но мать сделала всё возможное, чтобы обеспечить своим детёнышам преимущество в дальнейшей жизни.
Аҟызқәа атундраҿы рхы ныҟәыргоит аԥхынра ыиасаанӡа, аӡынра анааилак аладаҟа иԥырны ицоит.	Гуси будут кормиться в тундре до конца лета, на зиму улетят на юг.
Аха шьҭа урҭ еиҳарак аӡы ихуп.	Но теперь они в основном на воде.
Арҭ аҭыԥқәа рҿы амра ԥсыҽуп, аҳаскьынгьы шықәсык аҩныҵҟа мызқәак роуп ианазҳауа.	На этих широтах солнце светит слабо, и трава может расти лишь несколько месяцев в году.
Алада аԥхын еиҳа иаууп, Аҳаскьынгьы еиҳа ибзиоуп.	Южнее лето длится дольше, и травы буйно разрастаются.
Аҩадатәи Америка адәҳәыԥшқәа- арҭ аҳәырҭа беиақәа.	Другое травянистое сообщество - прерии северной Америки.
зны Апланетаҿы иҟоу хыԥхьаӡара рацәала аԥстәқәа акрырҿарҵон.	Эти богатые пастбища когда-то кормили самые многочисленные стада на планете.
Колумб Америка ааиртаанӡа арҭ адәҳәыԥшқәа ирықәын 60 миллион инарзынаԥшуа абизонқәа,	До открытия Америки Колумбом в этих прериях обитало 60 миллионов бизонов,
Аха иарбан ԥстәызаалак ара имҩаԥысуа ашәарыцара дуи, имҩаԥысуа аԥсабара арыцҳарақәа изыриааиуам аҟнытә шәышықәса раԥхьа абизонқәа рхыԥхьаӡара шәарҭахартә аҟынӡа илаҟәит.	Но ни одно животное не способно противостоять интенсивной охоте или разрушению среды обитания. И сто лет назад численность бизонов сократилась до критического уровня.
Арҭ аԥстәы хкқәа рахьтә инхаз рхыԥхьаӡара зқьы рҟынӡоуп иҟоу.	Осталась всего одна тысяча особей.
Иахьа арҭ аԥстәқәа рыхьчаразы имҩаԥырго аусхкқәа ирыбзоураны Урҭ рхыԥхьаӡара есааира иазҳауа иалагеит.	сегодня, благодаря строгим охранным мерам, численность этого вида постепенно восстанавливается.
Аҳаскьын акыраамҭа иқәҵӡом аҟнытә Аԥстәқәа алшықәсанык фатәыла иеиқәшәоуп.	Утравы долгий вегетационный период, поэтому она обеспечивает стада пищей круглый год.
Абизон аб акапан тоннак аҟынӡа иҟоуп.	Вес самца бизона достигаеттонны.
Аԥхынра ашыкьымҭазы урҭ аҳәырҭа беиақәа рҿы акыр иԥсылахоит.	В разгар лета самцы тучнеют на богатых пастбищах,
Иагьыӷәӷәахоит.	и находятся в хорошей форме,
Аха ари ахылҵшьҭра аизырҳара зегьы ирылшаӡом. Лассы, уи зылшогьы еилкаахоит.	но продолжить свой род удастся лишь немногим. И вскоре должно решиться, кому.
Аҳауабжьаратә зона цәаҳәаҿы акаршәрақәа рыҟны аԥхын – аизҳареи аҿиареи ираамҭоуп.	На равнинах умеренного пояса лето - это время роста и размножения.
Аҳаскьын ашәҭра иалагоит. Абас ишәҭуеит азлакқәа.	Травы начинают цвести. Воттак цветут злаки.
Арҭ рааигәара аҳаскьынхкы шәҭуеит. Акаршәрақәа шәыга ҿыцла ихҟьоуп.	А рядом цветёт разнотравье. Равнины расцвечиваются новыми красками.
Аҳаскьынхкы шәҭуеит аҩадатәии аладатәии адгьылбжараҿы.	Цветение разнотравий происходит и в северном, и в южном полушарии,
Аха Аладатәи Африка аӡхықәа рҿеиԥш Ари аҟара шәыга хкы даҽаџьара иуԥылаӡом.	но нигде оно не бываеттаким ярким, как в дельтах Южной Африки.
Арҭ аҭыԥқәа рыҟны антилопақәеи астраусқәеи рзы. афатә рацәоуп	А в этих дельтах - обилие корма и для антилоп, и для страусов.
Аҳаскьынхкы ара еиҳа ирацәоуп Азлакқәа раасҭа	Разнотравье здесь преобладает над злаками.
Аҳауабжьаратә зонаҿтәи адәкаршәрақәа зегьы аԥхын ас ибеиаӡам.	Но не все равнины умеренного пояса бывают летом такими богатыми и пёстрыми.
Абас иҟоуп адунеи аҿы зегьы раасҭа иҳаракны ишьҭоу тибеттәи ахәы	Воттак выглядит летом тибетское нагорье - самая высокогорная равнина в мире.
Ара аҳауа шыбааԥсугьы	Несмотря на суровые условия,
адгьыл аҿы иааҟоу аҳаскьын зфо аԥстәқәа инархыкны иҵегьы аҩадаҟа ихало аиакқәа ирызхаша аҟара азҳауеит.	трава растёт здесь в достаточном количестве для прокорма животных, обитающих выше всехтравоядных на земле, для диких яков.
Аԥхынгьы ара анхара уадаҩуп. Аҳауа ноль иахысны аҩада, шамахамзар, ихалаӡом.	Даже летом жить здесь трудно. Температура редко поднимается выше нуля,
Насгьы аҳауа ацәаакыра агуп,	а воздух разрежен.
Уи зыхҟьогьы Гималаи ашьхақәа роуп.	Ктому же воздух очень сухой по одной очень существенной причине.
Гималаи ашьхаҳаракырақәа.	Гималаи. Высокогорье Гималаев
Ари шьхатәыла дуӡӡоуп.	- это огромная горная система,
Уи аладантә иаауа аԥсҭҳәақәа аанызкыло ҭӡыҵас иҟоуп.	она действует как барьер, задерживающий облака, идущие с юга.
Гималаи ашьхақәа аԥҭақәа ԥхьарцоит азы Тибет ақәа леиӡом.	Гималаи отбрасывают гигантскую, так называемую дождевую тень, которая лишает Тибет каких-либо дождей.
Аха аҳаскьын аԥсҭазаара Иахьынҳалоит.	Но трава цепляется за жизнь,
Зегьы зырҩо аԥшақәа адгьыл аҿы иҟоу ацәаакыра хәыҷгьы алцәцәааны иргоит.	даже когда иссушающие ветры забирают из почвы остатки влаги.
Аҳаскьын ыҟанаҵы аԥстәқәагьы рыԥсы ҭоуп.	Пока жива трава, живы и травоядные.
Куланқәа ҳәа изышьҭоу аҽқәа.	Куланы.
Аҽҵарақәа аҭыԥ еимаркуеит.	Жеребцы дерутся за территорию.
Иреиӷьу аҭыԥқәа аҽанқәа иааныркылоит.	Обладатели лучших участков более предпочтительны для кобылиц.
Иаиааиуеит еиҳа иласу, реиҳа иӷәӷәоу. Ари аиааииҵәҟьеитт.	Побеждают самые резвые и самые сильные. Победа защитана,
Аха аҽанқәа макьана имааиӡац.	но на появление самок рассчитывать пока не приходится.
Акулан ҽанқәа уамашәа ишоуп.	самки куланов - загадочные существа.
Урҭ ианырҭаху иааиуеит ицоит рхымҩаԥгашьа атәы ззымдыруа ирзеилымкаар алшоит.	Они приходят и уходят, когда захотят, и непосвящённым их поведение может показаться непонятным,
Маӡаны инхаргьы ҟалоит.	даже непостижимым.
Аҽанқәа есқьынгьы ахәқәа ирықәуп, лассы-лассы аоазисқәа ирышьҭаланы	Кобылицы постоянно кочуют по нагорью, и нередко в поисках оазисов
Ԥсҭазаара ахьыҟам акаршәрақәа ирхысны акыр хара ицоит.	проходят по этим безжизненным равнинам огромные расстояния.
Аха ас еиԥш иҟоу џьанаҭ дгьыл анырыԥшаагьы сааҭқәак роуп уа иахьынгыло,	Однако, найдя такой райский уголок, они задерживаются в нём всего на несколько часов,
аӡы рыжәразы, ԥсымышьҭыгак рфаразы.	чтобы утолить голод и жажду,
анаҩс еиҭа исабаха иҟоу адәқәа ирықәланы рҿынархоит изыхҟьо узымдыруа.	затем вновь отправляются на пыльные просторы без видимой причины.
Акуланқәа – арҭ акаршәра ҳаракырақәа рҿы зегь реиҳа иубарҭоуп.	Куланы - самые заметные обитатели этих высокогорных равнин.
Аха зегь раасҭа хыԥхьаӡарала еиҳау Тибеттәи аԥстәқәа Еиҳарак адгьыл аҵоуп нхарҭас ирымоу.	Но самые многочисленные травоядные Тибета обитают в основном под землёй.
Ари пишьуха ҳәа иашьҭоуп.	Пищуха.
Ажьеи акролики ирхылҵшьҭроуп.	Это - дальний родич зайца и кролика.
Иаргьы ҳаскьынуп фатәыс иамоу.	Пищуха тоже питается травой.
Иаарту акаршәрақәа рҿы урҭ рыҭрақәа ааныжьны хара ицараны иҟаӡам.	На открытом плато пищухи никогда не удаляются от своих нор.
Аха зегь акоуп еимҟьарсҭак анааҟала атәым ԥстәқәа урҭ рынхарҭа ҭыԥқәа ирзыҩуеит.	Но всё равно, при малейшей возможности чужаки готовы захватить их жилище.
Каменки, ҳәа изышьҭоу аԥсаатә даара бзиа рбоит ажьақәа рыҭра.	Птицы каменки очень любят гнездиться в норах пищух.
Аҷынҷа хәыҷқәа ара аҭыԥ дырҭшәоит, аха иучҳароуп, Шәарҭарак анааҟала заа угәуҽанырҵоит.	Мелкие воробьиные, гнездящиеся в норах, создают неудобство, но их стоит и потерпеть, ведь птицы служат надёжной системой раннего предупреждения.
Тибеттәи ажьа – Ажьақәа раӷацәгьа.	Тибетская лисица - злейший враг пищух.
афатә иазкылыԥшуа абгахәыҷы аладаҟа илбааны, улаԥш иахьыҵамшәо џьара аҽӡаны итәоит.	Подстерегая добычу, лисица держится ниже линии горизонта, этому способствует как бы уплощенная форма туловища.
Уамашәа иубаша, ахгьы ԥшьыркцашәа иҟоуп.	При этом у неё почему-то квадратная голова.
Ихыҳәырдыдыраха иҟоу анышәзбы баша иажӡом.	Оказывается, и каменистую почву рыть не бесполезно.
Аԥхын тибеттәи ахәы аладантә аҳауа ԥха ықәсуеит. иагьарԥхоит.	Летом на тибетское нагорье попадаеттёплый воздух с юга и прогревает его.
Ақәа шыҟам иҟам.	Дожди так и не приходят.
Гималаи ашьха еибаркырақәа инарыдсыланы, аҳауа цәаакы хыхьҟа ихалоит, . . ақәа злыҵуа аԥсҭҳәа дуқәаны иҟалоит	Наталкиваясь на Гималаи, влажный воздух поднимается вверх по склонам и превращается в огромные дождевые облака.
Арҭ аԥсҭҳәақәа рцәаакыра Гималаи азқәа аладхьтәи аган инықәҳауеит.	Эти облака изливают свою влагу на южной стороне хребта Гималаев,
Гималаи ақәцәқәа роуп Тибет ашҟа ацәаакыра аазмышьҭуа.	те же вершины, которые лишают Тибет влаги,
Урҭ роуп алада илеиуа амуссон қәа азыруагьы Индиа ашәҭра анымҩаԥысуа аамҭазы.	отвечают за муссонные дожди, выпадающие на юге, и за период цветения в Индии.
Ара Гималаи ашьха еибаркырақәа рылахыс алада,. атропикатәи амра ца аҵаҟеи ақәаршыҩқәеи ирыбзоураны аҳаскьын агигантә форма аанахәоит	Здесь, к югу от Гималаев, под жарким тропическим солнцем и обильными дождями трава достигает гигантских размеров.
Аслан әаскьын - адунеи аҿы зегь раасҭа идухо злакуп.	слоновая трава - один из самых высоких злаков в мире.
Аслан ҳаскьын иахьазҳауа аслан аҽаҵәахыртә иҟоуп. Ҳәарада, аслан аҽаҵәахыртә иахьыҟоу имаҷым илоу аџьашьахәқәагьы	Даже слон может укрыться в зарослях слоновой травы.
Аслан ҳаскьын иахьазҳауа Иара асланҵәҟьа аҽаҵәахыртә иҟоуп. Ҳәарада, аслан аҽаҵәахыртә иахьыҟоу аҳаскьын иаҵаҵәыху амаӡақәа маҷым .	И, конечно, такая трава, где может спрятаться слон, скрывает множество сюрпризов.
