Урҭ аӡы ццакқәа ианрыцла, рымч яәяәахоит аҟнытә, аԥынгылақәа аԥырҵоит.	Потоки, бегущие с горных вершин, отличаются бурным течением. Они сливаются в быстрые реки, набирают силу и образуют пороги.
Ашьха рҩашқәа рҿы аӡы хьшәашәоуп, хырҳага фатәысҳәагьы уамак акгьы рҭаӡам, Аха ҵәыҵәрила ибеиоуп.	Вода в горных реках холодная, она бедна питательными веществами, зато насыщена кислородом.
Ари аӡяьыра иҭоу, зхыԥхьаӡара маҷу аԥстәқәа аԥсҭазаара иахьынҳалаҵәҟьоит. Ашьха ҳаракқәа рырҩашқәа рҿы еиҳарак абяа змам аԥстәқәа роуп иҭоу. Урҭ рхәамц аазҟьаҟьаны, аҽырххара, ахьышьарххара рцәуадаҩуп, ргыгцәақәа рыла аӡы аҵаҿы рҽышьақәдырӡәӡәоит.	Немногочисленным животным, которые живут на этой стремнине, приходится в буквальном смысле цепляться за жизнь.
Ахәаҷақәа ргәы рҽануп аҵәаҳәқәа амҟьаргьы, инызкыло абызкаҭаҳа амоуп.	В высокогорных реках преобладают беспозвоночные. У них плоское тело, уменьшающее сопротивление, и щетинки, которыми они закрепляются на дне.
Аӡяьырақәа рҿы аԥсҭазаара еиҳа ԥыжәара зламоугьы ыҟоуп.	Если вдруг крючья отцепятся, у личинки есть страховочная паутина.
Акалам креветкақәа ҭынч аӡаҵаҿы итәаны аӡы драӡоит аҳаргь ԥшра змоу ашьапқәа рыла	Жизнь в быстром потоке имеет свои преимущества. Бамбуковые креветки спокойно сидят на дне и процеживают воду через похожие на веера клешни.
Абжььаԥны, ашьха рҩашқәа рыҟны иҭоу афатә аԥстә хәыҷқәа рызхара аҟароуп	Обычно пищи в горных речках достаточно только для выживания мелких животных,
Аха, ара Иапониа, аӡаҵаҟа аҭыҩрақәа ирҭоу џьашьахәқәак ацәа иалҵуеит.	но здесь, в японии, с весенним таянием снегов, в своих подводных норах просыпаются чудовища.
Асаламндра доумбеиқәа. Адунеи аҿы адәыӡтәи ԥстәқәа зегьы иреиҳау ԥстәқәоуп. Урҭ ҩ-метрак раҟара инаӡоит раура.	Исполинские саламандры - самые крупные земноводные в мире, они достигают длины почти 2 метра.
Ара, аӡҵааршәырақәа рҿы гыгшәыг дус иҭоугьы, дара роуп.	Они - единственные крупные хищники в этих ледяных водах.
Уахынлоуп ианышәарыцо.	Они охотятся по ночам.
Арҭ асаламандрақәа рыҟны амаҭәашьар еиҭныԥсахлара акыр иадхалоит. 80 шықәса рҟынӡа рыԥсы ҭоуп, акырӡагьы ирызҳауеит.	Обмен веществ у этих саламандр протекает очень медленно, они доживают до 80 лет и достигают гигантских размеров.
Ашьха рҩашқәа рыҟны аԥсыӡ маҷны иҭоуп, асаламандрақәагьы рыла уамак иабаӡом, аха ацәа иамоу акынҵыҵырақәа рнырралшара бзиоуп аҟнытә арбанзаалак аӡы ақәыяәяәараҿы иҟало аиҭакрақәа иаразнак игәанаҭоит.	В горных реках мало рыбы, и у саламандр слабое зрение. Зато бородавки на коже улавливают малейшие изменения давления воды.
Арҭ адоубеиқәа ирԥырхагахо акы аныҟам, ирԥыхьашәаз рхала ирфар еияьаршьоит.	При отсутствии конкуренции эти гиганты могут позволить себе обедать в одиночестве.
Асаламандрақәа ԥыхьашәа дукгьы роулаӡом, аха есышықәса, ашьха рҩашқәак миллионла аԥсыӡ рҭаауеит.	Улов саламандр, как правило, невелик, но каждый год некоторые высокогорные реки становятся местом паломничества миллионов рыб.
Ари млагәырқәоуп. Апланета аҿы зегь раасҭа аӡымшьԥсыӡ хыҵны ианаауа .	Это - лососи. самая крупная миграция пресноводных рыб на планете.
Аҩадатәи адгьылбжьара иатәу амлагәырқәа аокеанқәа рыҟнытә Изышьцылоу рыҿиарҭа ҭыԥқәа рышҟа ихынҳәны, 100 километрала, иӡсаны, аӡы ахырхарҭа иаҿагыланы иаауеит.	Лососи северного полушария возвращаются из океана к своим нерестилищам. Они преодолевают сотни километров против течения.
Ашьха рҩашқәа рыҟны аԥсыӡ кәтаяьқәеи аԥсыӡ ссақәеи зфаша агыгшәыг маҷуп, Аха иҟоуп амшә гризли , Иҟанаҵои, ма инхароуп, ма иԥсыроуп.	В горных реках мало хищников, которые могут съесть икру и мальков. Зато есть медведь гризли. Выбор не велик - либо пан, либо пропал.
Канадатәи амшә гризли егьырҭ излареиԥшымкәа иҟоу, аԥсыӡ иашьҭаланы аӡааҟәрылашьа аҵеит.	У канадского медведя есть одна особенность, он научился нырять за рыбой.
Аха аӡаҵан амлагәыр акра ус имариам	Но поймать лосося на глубине не так-то просто,
Амшәҳәарқәа макьана ирзымдыруа рацәоуп.	и медвежатам нужно ещё многому научиться.
Есышықәса, арҭ амлагәырқәа аҿиаразы иахьаауа аҭыԥ ахь иааргоит ҵҩа змам афатә. Урҭ даҽазны ари аҟара ԥстәы акрырҿаҵара рылшаӡом .	Ежегодный нерест лососей приносит невиданное изобилие в реки, которые в остальное время не могут прокормить такое количество животных.
Арҩашқәа рыҟны азныказы ԥсҭазаара ыҟамшәа шубогьы аԥсабара ашьақәыргылара рылшоит, аӡиасқәа рзы аҵак дуӡӡагьы рымоуп.	Горные реки, несмотря на внешнюю безжизненность, обладают силой, которая способна формировать ландшафт, и имеет важнейшее значение в жизни реки.
Адгьыл адхалара иҟанаҵо анырра иабзоураны аӡиасқәа роуп апланетаҿы зегь раасҭа ахырбгалара, аилархәашара мчы ныҟәызго.	Под действием земного притяжения реки производят самую разрушительную эрозионную работу.
Хә-миллион шықәса рыҩныҵҟа Аризон иҟоу аӡиас Колорадо акьыр шьақәгыларақәа ҵыӡәӡәаауа аҩхаа дуӡӡақәа шьақәнаргылеит.	На протяжении пяти миллионов лет река Колорадо в Аризоне врезалась в известняковые породы и образовала гигантские ущелья.
Аҩхаақәа километраки бжаки аҵаулара рымоуп. Рыҭбаара - иаҳа иахьыҭбаау аҭыԥаҿы 17 км рҟынӡа инаӡоит	Глубина ущелья более полутора километров, а ширина в самом широком месте достигает 17 километров.
Абри ауп , адунеи аҿы иеицырдыруа аҩхаа Ду.	Это и есть знаменитый большой каньон.
Колорада аӡиас ишьақәнаргылеит адунеи аҿы зегьы раасҭа иауу аҩхаа еибаркырақәа.	Река Колорадо создала самую длинную систему каньонов в мире.
…1,5 зқьы км аура змоу Адгьыл ацәа иану ашәахсҭа бзиаӡаны иубарҭоуп акосмос аҟнытә.	Шрам в земной коре длиной полторы тысячи километров отчётливо виден из космоса.
Ашьхақәа рахьтә илбаацыԥхьаӡа аӡиасқәа есааира аԥхара иалагоит, аԥстқәа акрырҿарҵартә иҟалоит.	спускаясь с гор, реки постепенно нагреваются и могут прокормить больше животных.
Индиатәи аӡиасқәа ирҭоуп аиҿцаара бзиа избо аԥсылқәа (аԥслы9 Ирықәу рхәы рҳәӡам.	В индийских реках обитают самые общительные выдры в мире.
)аацәаратә гәыԥны иеицынхоит, 17 рҟынӡа иеицуп.	Гладкошёрстные выдры живут семейными группами до 17 особей.
Аԥслымӡ иқәшьқьаразаауа рыхәгьы дырбоит, реизыҟазаашьақәагьы еияьыртәуеит.	Катаясь на песке, они не только обсушивают мех, но и укрепляют дружеские связи.
Аԥсыӡкрахь ианиаслак, урҭ рырацәаралоуп излаяәяәахо .	А когда дело доходит до рыбалки, то тут уж поистине их сила в количестве.
Аԥшқақәа аԥсыӡкышьақәа рҵо иалагоит ԥшь-ымыз анырхыҵлак инаркны.	Детёныши начинают постигать азы рыбной ловли уже в четырёхмесячном возрасте.
Аха аԥслым дуқәа роуп иеилҟьоугьы, иласугьы, уи адагьы ԥсыхәа ыҟаӡам аԥсыӡкразы.	Но только взрослые выдры обладают скоростью и ловкостью, которые нужны для того, чтобы поймать рыбу.
Адуқәа, зычҳара маҷу аԥслым ԥшқақәа ирыхӡыӡаауа, иркыз аԥсыӡ рырҭоит…	Взрослые охотно делятся уловом с нетерпеливыми детёнышами.
Аԥслым дуқәа реиҳарак, рхала иҟоуп, аха фатәыла ибеиоу арҭ аӡиас ԥхақәа аԥстәы ҭаацәара дуқәагьы акрырҿарҵоит, уи моу, дара иреиҳау агыгшәыгқәагьы.	Большинство выдр ведут одиночный образ жизни, но эти тёплые, богатые пищей воды могут прокормить большие семейные группы, и даже более крупных хищников.
*шь-метрак иҟоу аӡмах гәылшьап зхала иҟоу аԥслы акразы акгьы аҭахӡам.	Четырёхметровый болотный крокодил запросто мог бы схватить одиночную выдру.
Аха аԥслымқәа рацәаны ианеицу иеиқәгәыяуеит аҟнытә, аҳәаза дуқәа ирыжәлоит.	Но команда уверенных друг в друге выдр сама нападает на огромных рептилий.
Иеидгылаз агәыԥ, аиааит	Победила дружная команда.
Аӡиас Мара. Еикәаҵәиуа Мрагыларатәи Африка акаршәрақәа ирықәланы ицоит.	Река Мара вьётся по равнинам Восточной Африки.
Ашьха хәҟьаҟьарақәа рҿы аӡиасқәа рыццакра иагдырхоит, рымчқәа кәадахоит аҟнытә, ахырбгаларақәа иаарҟәыҵны, анышәаԥшь хьанҭа рыманы рҿынархоит Уи аӡқәа каҳуа ԥшшәыла иашәуеит.	На плоскогорьях реки замедляют свой бег, теряют разрушительную силу. Теперь они несуттяжёлую глинистую взвесь, которая окрашивает воду в коричневый цвет.
Акаршәрақәа ирықәланы ицоит Гну захьӡу антилопақәа.	По равнинам движутся колонны антилоп гну.
Есышықәса аҳәырҭа ҿыцқәа ирышьҭаланы, Селенгети акаршәрақәа ирықәсны ицоит ҩ-миллионк инарзынаԥшуа аԥстәқәа.	Каждый год в поисках новых пастбищ по равнинам серенгети проходят почти 2 миллиона животных.
Аӡышара икны иаго аԥстәқәа рзы, аӡы ԥсеиқәырхагоуп, аха уи ахьшәарҭоугьы ыҟоуп рыԥсҭазааразы.	Для измученных жаждой копытных река - это не только жизненно важный источник питьевой воды, но и опасное препятствие.
Ара, Африка зегь реиҳа агәылшьапқәа рацәаны иахьеизо ҭыԥуп. Адоумбеиқәа раурақәа хә-метрак рҟынӡа инаӡоит.	Здесь самое массовое в Африке скопление Нильских крокодилов - гигантов, которые достигают пятиметровой длины.
Агәылшьапқәа антилопақәа анааиуа рдыруеит азы аӡаҿы ирзыԥшуп.	Крокодилы знают, когда придут антилопы гну, и поджидают их в реке.
Агәылшьап ацқәа иџырлыху ашьацҳәа иаҩызоуп.	Челюсти крокодила захлопываются как стальной капкан.
Иаҿыҵашәаз аунажьраны иҟаӡам ахааназы.	схватив добычу, крокодил уже никогда не выпустит её.
Ари антилопа ахәнатәразы, сааҭк аиҳа аҭаххеит.	Крокодилу потребовалось более часа, чтобы овладеть этим взрослым самцом антилопы гну.
Антилопа агәаҽанӡамкәа ианиаразы, агәылшьап ажәылара мацәысеимҟьараны имҩаԥысроуп.	Чтобы застать добычу врасплох, атака крокодила должна быть молниеносной.
Ара аԥсҭазаараҟнытә аԥсраҟынӡа цәаҳәак ауп ибжьоу.	Здесь жизнь от смерти отделяет лишь тонкая черта.
Аӡиасқәа реиҳарак амшын иалалоит.	Большинство рек впадает в море,
Аха џьоукы аӡиа дуқәа рҿы иаангылоит.	но некоторые заканчивают свой путь в больших озёрах.
Ҳапланетаәы иҟоу аӡиақәа ирылоу аӡымшьақәа 20% рыла иеиҳауп аӡиасқәа зегьы рыҟны аасҭа.	В озёрах нашей планеты содержится в 20 раз больше пресной воды, чем во всех реках.
Мрагылара Африкатәи адгьылеиҟәышьшьаратә дәкаршәраҿы иҟоуп адунеи аӡиа дуқәа хԥа. Малави, Тангавики, Викториа.	В Восточноафриканской рифтовой долине находятся 3 крупнейших озера мира: Малави, Танганьика и виктория.
Малави арҭ ӡиақәа зегьы иреиҵоуп. Аха	Озеро Малави - самое маленькое из них. Но
иџьаушьаратәы иҟоуп. Абри аӡиа хәыҷ иҭоу аԥсыӡ хкқәа. адунеи аҿы иҟоу егьырҭ аӡиақәа рыҟны аасҭа иеиҳауп.	удивительно, в этом маленьком озере обитает больше видов рыб, чем в любом другом озере мира.
Цихлит ҳәа изышьҭоу аԥсыӡ хкқәа рымацара - 750 хкы ыҟоуп.	Однихтолько цихрид здесь 850 видов.
Урҭ зегьы 1000 шықәса раԥхьа арахь иаанагаз абшьҭрак ауп изхылҵыз.	И все они произошли от одного единственного предка, который оказался в изоляции здесь тысячи леттому назад.
Арҭ ҩбаҟа метра иҭбаау аҭаҳарақәагьы аԥсыӡқәа роуп ишьақәзыргылаз.	А эти кратеры диаметром около двух метров тоже создали рыбы.
Аб ԥсыӡқәа иҟарҵаз аргыларақәа, игәцаракны иацклаԥшуеит, Ари аҭаацәалаларазы ақәгыларақәа ирҭыԥуп азы.	самцы тщательно ухаживают за своими сооружениями, ведь это - арены для брачных демонстраций.
Ацихлидқәа уамашәа иубаратәы, зԥацәа ирыхӡыӡаауа ҭаацәароуп. Урҭ рыхшара рҿы иҭакыҵәҟьаны ирааӡоит.	Цихлиды - удивительно заботливые родители, вынашивать молодь во рту - это эффективный способ защитить своё потомство.
Аӡиақәа рыҟны аԥсҭазаара акыр ианшәарҭахогьы ыҟоуп .	Жизнь в озере бывает очень опасна.
.Ахәлара ишалагаз аԥсыӡ гыгшәыгқәа дуқәа, корифен ҳәа изышьҭоу, ахаҳәқәа инарыбжьыҵны идәықәлоит .	с наступлением темноты хищные большие корифены покидают свои дневные убежища среди камней.
Адоурҳанқәа рҽеибаркны шәарыцара ианҭыҵуеиԥш, ицыхлымуа макьана ицәоу ацихлидқәа инарылалоит.	словно стаи акул рыщут они в поисках спящих цихлид.
Урҭ алашьцараҿы изышьҭоу аԥсыӡқәа ирышьҭашәарыцоит ирхылҵуа афымца-мхалдыз ацәқәырԥақәа ирзыӡырҩуа.	В темноте эти рыбы охотятся, улавливая вибрации электромагнитного поля своих жертв.
Ахыҵәахырҭа ицәыҵыҵыз иарбанзаалаак аԥсыӡ агыгшәыг ԥсыӡқәа инарыхәлапҟа ицоит.	Любая цихлида, рискнувшая выплыть из укрытия, будет проглочена.
Малави аӡиа - аҵа 700 метра аҵаулараҿы иҟоуп.	Дно озера Малави находится на глубине 700 метров.
Ара, шамахамзар, ԥсҭазаара ахьыҟам аҭыԥаҿы Ападионкақәа рхәаҷақәа рҽырцәырҵәахуеит .	В этой почти мёртвой зоне прячутся от хищников личинки подёнок.
Ақәоурақәа ианрылагалак, урҭ аӡы ахыхьҟа ихалоит, Ара ҽеиҭакра џьашьахәқәак мҩаԥысуеит.	В дождливый сезон они всплывают на поверхность, и с ними происходят волшебные превращения.
Шарԥазы ахәаҷақәа ирылҵуа иалагоит амаҵахкқәа рахь иаҵанакуа, раԥхьатәи ападионка дуқәа	На рассвете из личинок начинают появляться первые взрослые подёнки.
Абар, шьҭа аӡы иалҵәрааны хыхь ажәҩан иналалоит миллионла ападионкақәа.	И вот уже с поверхности воды в небо взмывают миллионы и миллионы подёнок.
Африка раԥхьатәи аҭҵааҩцәа аӡбахә рҳәахьан, амца ықәҵәиааша иқәуп уҳәаратәы, алҩа зху аӡиақәа.	Первые исследователи Африки рассказывали о дымящихся озёрах, словно охваченных огнём.
Аха шә-метрактәи аҳаракыраахь иеишьҭагыланы иҩеиуа алҩаҵә абзиеибабаратә кәашараан, иеикәшо ихало абарҭ ападионкақәа роуп	Но поднимающиеся на сотни метров столбы дыма - это как раз эти подёнки, которые кружатся в брачном танце.
Ара ԥхьаҟа аҿиаразы, рыжәла аанрыжьразы - «рхы еиларҵоит»,.ашьҭахь ападионка.зегьы ҵаҟа аӡы иалаҳауеит, Уа рыкәтаяьқәа аӡы ахыхь иаанрыжьуеит, абри анаҩс, дара ԥсуеит.	После спаривания все подёнки упадут на поверхность воды, отложат яйца и погибнут.
Малави дуӡӡоушәа убоит азныказы, мшынҵас, аха уи иабадукыло адунеи аҿы зегьы иреиҳау, Мрагыларатәи Сибра иҟоу аӡиа Баикал.	Малави кажется огромным, как море, но размерами оно не идёт ни в какое сравнение с самым большим озером в мире - озером Байкал в Восточной сибири.
Аӡиа Баикал аура 646 км, аҵаулара зқьи бжаки километр инареиҳаны иҟоуп.	Озеро Байкал длиной 646 километров и глубиной больше полутора километров, содержит пятую часть запасов пресной воды на нашей планете.
Иара иалоуп ҳапланетаҿы иҟоу аӡымшьақәа зегьы рахьтә – 5 тәи ахәҭа.	5 месяцев в году его
Шықәсык аҩныҵҟа хәымыз аҵаа иҿаҳәаны иамоуп, уи ажәпара метрак инеиҳаны.	сковывает ледяной покров, толщиной больше метра.
Баикал адгьыл аҿы зегь раасҭа ижәытәӡатәу ӡиоуп .	Байкал - самое древнее озеро на Земле,
Иара шҵаауагьы ара ишьақәгылеит акырӡа ибеиуоу, зеиуа хкы маҷу ԥсы аԥстәқәа.	и, несмотря на суровые условия, в нём сформировался невероятно богатый и уникальный живой мир.
Зыԥсы ҭоу аԥсабара.	80% живущих в нём
Иара иҭоу ахкқәа рахьтә 80% адунеи аҿы даҽаџьара иуԥылаӡом.	видов не встречается больше нигде в мире. Они уникальны.
Урҭ арада даҽаџьарагьы иҭаӡам.	В том числе уникальный пресноводный тюлень.
Убарҭ рхыԥхьаӡараҿы иҟоуп зыда хкы ыҟам аӡымшьа тиуленгьы Баикалтәи атиулени ашәымгьар колониеи Баикал аокеан иеиԥшны иҟарҵоит аӡиа аасҭа.	Байкальская нерпа и обширные колонии губок делают Байкал больше похожим на океан, чем на озеро.
Ара иҟоуп акреветкақәа иреиԥшу адыяаҷа хкқәа, адоумбеи ганӡсақәа, џьоукы аҳәынаԥқәа ираҟароуп.	Здесь обитают похожие на креветок ракообразные, гигантские бокоплавы, некоторые размером с мышь.
Урҭ аԥсхаԥсжьыфаҩцәоуп ари аӡиаҿы.	Они - главные падальщики в этом озере.
Ара абактериақәа рзы аӡы хьшәашәацәоуп аԥсхаԥсжьы аиларбааразы.	Вода в нём слишком холодная для жизни бактерий, которые могли бы помочь разложению трупов животных.
Аӡиасқәа жәпакы, аӡиақәа рҿы иаанымгалаӡакәа, амшын ахь рымҩа иацырҵоит.	Большинство рек не заканчивают свой путь в озёрах, а продолжают движение к морю.
Хымԥада, ҳапланетаҿы зегьы иреиҳауп ӡиасуп Амазонка.	Бесспорно, самая грандиозная река на нашей планете - Амазонка.
Уи иаманы ицоит адунеи аҿы иреиҳау аӡиасқәа жәаба иеицҵаны ирымоу аӡқәа раасҭа.	Она несёт больше воды, чем 10 крупнейших рек мира вместе взятых.
Ахы ыҵнахуеит Перуантәи Андқәа рҿы, Бразилиа иқәсны ицоит Мрагылараҟа ахы рханы.	Она берёт начало в Перуанских Андах и течёт на восток по территории Бразилии.
Иара иалоу аӡқәа Аладатәи Америка ахԥатәи ахәҭа арԥсаҳәоит.	Её системой орошается третья часть Южной Америки.
Аҵыхәтәан, иара ахьыҵыҵуантә ф-километраки бжаки рнаҩс, Атлантикатәи аокеан иалалоит.	И, наконец, в 6,5 тысячах километрах от своего истока она впадает в Атлантический океан.
Амазонка, есышықәса миллиард тоннак алыкь аманы ицоит	Ежегодно Амазонка переносит миллиард тонн ила,
Алыкь аҵаатәаларҭа бзианы иубарҭоуп Аӡиасқәа рчара ҳәа иахьашьҭоу аҭыԥаҿы.	осадок особенно хорошо виден в том месте, которое называют "свадьбой рек", там, где в Амазонку впадает её самый крупный приток Рио Негро.
Амазонка Рио Негро захьӡу аӡымахәҭа ахьалало Амазонка уамашәа ԥстәыла ибеиоуп.	Животный мир Амазонки невероятно богат.
Иахьа ара иҭоу аԥсыӡ хкы рхыԥхьаӡара х-нызықь иреиҳауп. Атлантикатәи аокеан зегьы иҭоу раасҭа иеиҳауп.	На сегодняшний день описано более трёхтысяч видов амазонских рыб, больше чем во всём Атлантическом океане.
Амазонка зладуу, ԥсыӡла излабеиоу ала, алшықәсанык аӡымшь мшынҳәақәа акрырҿаҵара алшоит.	Амазонка так велика и богата рыбой, что может каждый год кормить пресноводных дельфинов.
Инеи мамзаргьы Боуто захьӡу арҭ амшынҳәақәа, ҩ-метраки бжаки ираҟарахоит.	Инии или боуто достигают длины двух с половиной метров.
Аӡиас аҿы аӡқәа ахьыхәашьу ахырхарҭа ылырхрази ашәарыцареи рзы урҭ рхы иадырхәоит абжьныҩра- локаторқәа.	В мутных водах реки для охоты и навигации они используют эхолокацию.
Амшынҳәақәа лассы-лассы иеицышәарыцоит, Урҭ аԥсыӡ еидгәыԥланы аӡяаррахь икарцалоит.	Часто дельфины инии охотятся сообща. Они загоняют косяки рыб на мелководье.
Арҭ амшынҳәақәа гәыԥ-гәыԥла иеицныҟәо ԥстәқәоуп, Аҭаацәалалара аамҭа анааилак, рыбжьара аиндаҭлара яәяәа мҩаԥысуеит.	Дельфины инии - стайные животные, и во время брачного сезона между самцами возникает конкуренция.
Арбаяьқәа арцынақәа разыҟазаашьа аарԥшышьас иарҭогьы џьашьахәуп.	способ ухаживания самцов уникален.
Урҭ рыцқәа ахаҳә дуқәа бжьакны арцынақәа иддырбоит.	Они зажимают между челюстями большие камни и показывают их самкам.
Иҟалап, арбаяьқәа шеилҟьоу, ишыяәяәоу ддырбаразы иҟарҵозар. Убри алагьы, арцына агәра анаргарц азакәзар, уи ахшара рзы иара иеияьу аб шыҟам.	Возможно, каждый самец хочет показать, насколько он силён и ловок, и тем самым убедить самку, что он будет лучшим отцом её потомству.
Ари ахгәарԥхара қәҿиарала ианымҩаԥыс анаҩс, адельфинқәа рхы еидыркылоит, аҭаацәара аԥырҵоит.	Успешная демонстрация ведёт к брачному союзу.
Амазонкеиԥш идуӡӡоу аӡы азгьы, амшын ахь ихоу амҩа есымшагьы имариам, ԥықәсылара амоуагьы иҟам.	Даже для таких огромных рек, как Амазонка, путь к морю не всегда бывает лёгким и непрерывным.
Аӡхыҽҽа Игәуасу, Аргентинеи Бразилиеи рҳәааҿы иҟоуп, Адунеи аҿы зегьы иреиҳаӡоу аӡхыҽҽақәа иреиуоуп, Ҩ-километраки бжаки аҭбаара амоуп.	Водопад Игуасу на границе Бразилии и Аргентины - один из крупнейших водопадов в мире, 2,5 километра шириной.
Ара секундацыԥхьаӡа 13 миллион литра аӡы хыҽҽаны икаҳауеит.	Каждую секунду здесь обрушивается вниз 13 миллионов литров воды.
Адунеи аҿы зегь раасҭа иҭбаау аӡиақәа зегьы - Викториа, Ниагара, Игәуасу А ӡиасқәа амшын иахьалало ауп иахьыҟоу.	Все самые широкие водопады мира: виктория, Ниагара и Игуасу располагаются в низовьях рек.
Рымҩа ахыркәшарахь ианнеи нахыс, аӡиасқәа хыҵны, адәқәа ирықәланы рҿынархоит, икараԥсараха.	На последнем этапе своего пути реки разливаются и устало текут по заливным лугам.
Есышықәса, ақәоурақәа ианрылагалак, Бразилиа аӡиас Парана аҳәаақәа ирҭыҵуеит, ихыҵны, Англиа иаҵанакуа аҭыԥ иаҟараны адәқәа ирхыҵәоит.	Ежегодно в сезон дождей в Бразилии река Парана выходит из берегов и затапливаеттерриторию равную по площади Англии.
Ари Пантанау захьӡу, адунеи аҿы зегь реиҳа зымҽхазкуа ӡбаарруоуп.	Это - Пантанал - самые обширные болота в мире.
Ашьшьыҳәа илеиуа аӡқәа рҿы аӡҵиаақәа ирызҳауеит, Викториа Реиге захьӡу аӡышәҭ, Ари абыяьқәа рыҭбаара ҩ-метрак рҟынӡа ыҟоуп.	В этих медленнотекущих водах процветают водные растения, такие как гигантская кувшинка виктория Реггия, листья её достигают двух метров в диаметре.
Арҭ аӡаҵаҟатәи абнақәа, хыԥхьаӡара рацәала, аԥсыӡқәа ахьыҿио ҭыԥуп.	Эти подводные леса служат местом размножения многочисленных рыб.
Ара хышә инарзынаԥшуа ԥсыӡхкы ҭоуп, Агәыҵаҟаԥшь пирании налаҵаны.	Здесь обитает более 300 видов рыб, включая краснобрюхих пираний.
Иҟоуп егьырҭ агыгшәыг-ԥсыӡқәа, иаҳҳәап, агәылшьап-каиман.	Есть и другие хищники, например, крокодиловый кайман.
Алаҳа аныҟала иныҿшәаны аӡы иҭаҳауеит, ари амла иакуа аԥсыӡ фатәыс ирымоуп.	спелые фиги, которые падают в воду, служат пищей стаям голодных рыб.
Ари абжьы арахь иаанагоит, дорадо захьӡу аԥсыӡ.	Этот шум привлекает рыбу дорадо, которую местные рыбаки называют речным тигром.
Аҭыԥантәи аԥсыӡкҩцәа аӡиас бжьас ҳәа иашьҭоуп.	Дорадо патрулирует стаи рыб,
Дорадо - аԥсыӡ ҳәыԥкны иахьабаз иԥшыхәуеит, Иманшәалахар, ирыжәларазы.	выжидая удобный момент для атаки.
