Апланета адгьыл	ПЛАНЕТА ЗЕМЛя
Арҭ ашьхақәа рҿы хә-километрак инарзынаԥшуа аҳаракыраҿы ԥстәы џьашьахәқәак нхоит – Геллады захьӡу амаамынқәа.	В этих горах, на почти пятикилометровой высоте живут уникальные животные - обезьяны геллады.
Арҭ амаамынқәа Ефиопиатәи аҳаракырақәа рҿы ада џьаргьы иуԥылаӡом.	Эти обезьяны обитаюттолько на Эфиопском нагорье.
Дара ахьыцәо ацаҟьақәа рҿы – ибзианы иазыҟаҵоу альпинистцәа рыда уаҩ дызнеиӡом.	скалы, на которых они спят, доступны только профессиональным альпинистам.
Агелладақәа ара анхаразы иаҭаху зегь рымоуп: егьырҭ амаамынқәа зегь раасҭа рнацәкьарақәа ӷәӷәоуп, агәаӷьрагьы рымоуп.	У геллад есть для этого всё необходимое: самые сильные пальцы среди приматов и настоящее бесстрашие.
Аха, араҟа аҟазааразы аҳаракыра ацәымшәара мацара азхаӡом.	Но, чтобы здесь жить, недостаточно просто не бояться высоты.
Агелладақәа мышктәи рыԥсҭазаарала, урҭ зынио ауадаҩрақәа ацәцашьас иарҭо џьаушьаратәы иҟоуп.	Один день из жизни геллад - это наглядное пособие по выживанию в экстремальных условиях.
Ашьыжь амаамынқәа зегьы рхәы дрыцқьоит, уи анаҩс аиҩызцәа реицәажәара иаамҭоуп.	Утро для всех обезьян - это время ухода за шерстью и возможность пообщаться с друзьями.
Аха егьырҭ амаамынқәа излареиԥшым, ари аҵас анымҩаԥысуа агелладақәа ҿеихак рымаӡам… Абас ауп ажәабжь ҿыцқәа шеибырҳәо, рус иаҿнаҵы, рнапқәа ҭацәаанӡа.	Но, в отличие от других обезьян, геллады сопровождают этот ритуал непрерывным щебетаньем. Это отличный способ обменяться новостями, пока руки заняты делом.
Аха аицәажәаразы рацәакгьы аамҭа рымаӡам, агелладақәа еилахоуп, рус рацәоуп.	Но время общения ограничено, у геллад напряжённый график и много работы.
Амаамынқәа реиҳарак рзы ара аԥсҭазаара уадаҩуп: иҟам ашәыр, ирфаша ахәаҷа-маҷа маҷуп.	Для большинства обезьян жизнь здесь невозможна: нет фруктов и мало съедобных насекомых.
Аха агелладақәа апланета иқәу егьырҭ амаамынқәа иреиԥшӡам, Иҟаӡам даҽа маамынқәак – дара реиԥш аҳаскьын мацара фатәыс измоу.	Но геллады уникальны, это - единственные обезьяны в мире, которые питаются практически одной травой.
Агелладақәа амаамын гәыԥқәа зегьы иреиҳауп.	Они образуют самые большие сообщества в обезьяньем мире.
Урҭ аашә раҟара еицны иануԥыло ыҟоуп, антилопа гну еиԥш, ахәыҳаракырақәа рахь ихалоит, еицԥыҳәаны аҳаскьынфаразы.	Численность стада может доходить до восьмисот особей, которые, как антилопы гну, щиплют травку на высокогорных лугах.
Дара абӷаџьмақәа рааигәара иҳәуеит. Урҭгьы арҭ ашьха ҳаракырақәа рҿы мацароуп иахьуԥыло.	Геллады пасутся рядом с горными козлами, которые тоже обитаюттолько в этих горах.
Арҭ аџьмақәа даара ашәара злоу ԥстәқәоуп, аха агелладақәа рааигәара ргәы ҭынчуп.	Обычно эти редкие животные очень пугливы, но в окружении геллад они чувствуют себя непринуждённо.
Шамахамзар, аҳаскьын зфо ҩ-ԥстәы хкык ҳәырҭак аҿы иааибны иҟалаӡом, аха арҭ еиҩызара ҷыдак рыбжьоуп, реиҩызара аҩ-ганкгьы ирыхәоит.	Редко увидишь, когда два вида травоядных уживаются на одной территории, но это - особый союз, который выгоден обеим сторонам.
Џьоукы ԥшыхәуанаҵы, Егьырҭ ргәы рҭынчны акрырфоит.	Пока одни стоят на страже, другие могут спокойно кормиться.
Ефиопиатәи абгалаџқәа.	Эфиопские шакалы.
Арҭ аҽнышьыбжьон қәылара ицаӡом.	Они не станут нападать среди бела дня.
Аилахәлара ианнналагалак нахыс акаршәраҿы еиҳа ишәарҭахоит.	с наступлением сумерек жизнь на плато становиться намного опаснее.
Хәылԥазтәи какалкра ашьҭахь аамҭа маҷны инхоит аицәажәаразы, лассы ацаҟьақәа рахь ихынҳәыроуп.	После вечерней кормёжки остаётся немного времени на общение, скоро им придётся вернуться на скалы.
Заа ашәарҭара шыҟоу гәарҭоит азы зегьы уи рҽаздырхиоит.	система раннего обнаружения приводит всех в боевую готовность.
Абгалаџқәа ахьзымнеиуа ацаҟьа бааԥсқәа рҿы арҭ амаамынқәа рымш алагамҭагьы анҵәамҭагьы еиԥшуп,	Их день заканчивается так же, как и начался, на крутых скалах недоступных для шакалов.
Ефиопиатәи авулканқәа ҿырҭӡом.	Эфиопские вулканы бездействуют,
Аха апланета егьырҭ аҭыԥқәа рҿы иааиԥмырҟьаӡакәа ана-ара ихәыҵырҩуеит.	но в других частях планеты регулярно происходят извержения.
Зыԥсы ҭоу авулканқәа ишьақәдыргылоит ҳапланетаҿы зегь раасҭа идуу ашьхеибаркырақәа.	Действующие вулканы образуют самую длинную горную цепь на нашей планете -
Алада-америкатәи Андқәа.	Южно-американские Анды.
Ари ашьхеибаркыра ҭбаа ду ахышәара-ҵышәара аекватор инаркны Антарктиданӡа 8 нызықь километр ыҟоуп.	Эта широкая горная гряда протянулась на 8 тысяч километров, от экватора до Антарктиды.
Уи шьақәгылеит Аокеанҭынчтәи аплитеи Аладатәи Америка ахьышьҭоу аконтиненталтә плитеи реидыслара ашьҭахь.	Она возникла в результате столкновения тихоокеанской плиты с континентальной плитой, на которой расположена Южная Америка.
Ашьха азқәаҿы, аладаҟа, Патагониа ашьхақәа шьҭоуп.	В южной части хребта лежат горы Патагонии.
Уажәы аԥхын иасакьаҳәамҭоуп.	сейчас разгар лета.
Аха апланета зегьы аҿы аасҭа Андқәа рҿы аҳауа лассы-лассы аҽеиҭанакуеит .Абыржәы ақәаршҩы алагаргьы ҟалоит.	Но в Андах самый переменчивый климат на планете, и гроза может начаться внезапно.
Иаалырҟьаны аҳауа хьшәашәахоит аҟнытә Гәанако ҿыц ииз аԥацәеи иареи агәаҽанӡамкәа, асыҭәҳәа ианиоит.	Температура резко падает, и гуанако с новорождёнными детёнышами вдруг оказываются посреди снежной бури.
Абас иҟалоит: ашықәс аамҭақәа рыԥшьбагьы ҽнак иеицааиуеит.	Воттак: все четыре времени года за один день.
Пума, даҽакалагьы, ашьха алым ҳәа иашьҭоуп.	Пума или, как её ещё называют, горный лев.
Апумақәа, шамахамзар, хаз-хазы иныҟәоит Насгьы рацәак рыҽцәырыргаӡом.	Обычно пумы держатся поодиночке и ведут скрытный образ жизни.
Арҭ аԥстәқәа рхы цәырганы, иубо, иуаҳауа еицны, шамахамзар, иҟалаӡом. .	Группа из нескольких зверей, открыто гуляющая по горам - большая редкость.
Арҭ ҭаацәарак иатәуп – ацыгәхәыҷқәеи рани еицуп.	Это - семья - мать с четырьмя котятами.
Ԥхынрак ала, иара уигь кьаҿуп, аха урҭ ашьха ианаалартә иааӡароуп, ахеиқәырхашьа днарҵароуп.	У неё есть лишь одно короткое лето, чтобы научить их технике выживания в горах.
Шықәсык зхыҵуа аԥацәаа акрырҿаҵара ус имариам, аха ари аҭыԥ ссируп, фатәылеи ӡылеи ибеиоуп.	Кормить четырёх годовалых детёнышей - это настоящий подвиг, но у неё превосходная территория, богатая пищей и водой.
Даҽа шықәсык ашьҭахь ауп дара рхала рхы ныҟәыргартә ианыҟало.	Пройдёт ещё год, прежде чем детёныши смогут охотиться самостоятельно. Пройдёт ещё год, прежде чем детёныши смогут охотиться самостоятельно.
Ран иадыруеи, уи иамоу аԥышәеи ракәымзар, рхала раԥхьатәи аӡын изӷыҵысраны иҟаӡам.	Без навыков и опыта матери они не переживут свою первую зиму.
Афырҭын бааԥс ахьықәсуа анаарақәа рҿы уажәы ԥсҭазаара ыҟаӡам.	склоны, по которым гуляют ветры ураганной силы, сейчас безжизненны.
Аҩадаҟа ухалацыԥхьаӡа ашьхақәа рҿы еиҳа-еиҳа ишәарҭарахоит.	Чем дальше на север, тем больше опасности таят в себе горы.
Асыԥса хыҵны иаауеит сааҭк ала 400 км аццакра аманы, амҩан иааԥыхьашәо зегьы аҵарӡуа.	Лавина движется со скоростью 400 километров в час и сметает всё на своём пути.
Америкатәи ашьха ҟәаԥа-ҿаԥарақәа рыҟнытә есӡынра 100 нызықь сыԥса лбаауеит.	со склонов скалистых гор Америки каждую зиму сходит 100 тысяч лавин.
Ари ашьхеибаркыра ашьха ду иацны иаауеит, иара Патагониа инаркны иалагаз Алиасканӡа иааӡоит.	Эта горная цепь является продолжением гигантского хребта, который тянется от Патагонии до аляски.
Аха иҟоуп ԥстәқәак арҭ ашьха бааԥсқәа рҿы аӡынра зхызхгогьы.	Но есть животные, которые зимуют на неприветливых склонах скалистых гор.
Гризли захьӡу амышә. Фымызтәи ацәа иалҵны аҭыҩра иааҭыҵит.	Медведица гризли выходит из своей берлоги после шестимесячной спячки.
Уи иашьҭаланы иааиуеит амышәҳәарқәа ҩба.	следом за ней появляются 2 медвежонка.
Аҭыҩра инҭыҵны уажәы раԥхьатәи ршьаҿақәа ҟарҵоит.	Они делают свои первые шаги за пределами берлоги.
Ацаҟьа бааԥсқәа амышәҳәарқәа рзы хыхьчарҭас ибзиоуп.	Крутые склоны предоставляют медвежатам надёжное убежище.
Амышә ду иаԥыхьашәар, амышәҳәыс хәыҷ ашьуеит, иагьафоит, аха идуу аԥстәқәа арахь ахалара рцәуадаҩуп.	Взрослый медведь, если у него будет шанс, убьёт и съест любого из медвежат, но крупным животным добраться сюда очень трудно.
Ари амшә егьырҭ раасҭа акыр иеиҵоуп, аха уигь иацәыцәгьоуп.	Эта самка вдвое меньше любого самца, но даже у неё возникают сложности.
Амышәҳәарқәа уамашәа асы иеигәырӷьоит, Иара аԥсҭазаара ахаҭагьы.	А медвежата радуются и снегу, и жизни в целом.
Ран лакҩакуа игылоуп, иҟанаҵара аздырам, Фымыз раахыс акгьы амфаӡац, Ахшгьы амҵәоит шьҭа.	Медведица стоит перед дилеммой: она 6 месяцев ничего не ела, и у неё кончается молоко.
Лассы ари ахыхьчарҭа ааныжьны, амышәҳәарақәа аманы ашьха илбаароуп.	скоро ей придётся покинуть убежище и спуститься вместе с детёнышами вниз с горы.
Анаараҿы инхар, ари аҭаацәара зегьы амла иаганы иԥсыр алшоит.	Если она задержится на склонах, всему семейству грозит голодная смерть.
Аԥхын ауп арҭ ацаҟьақәа рҟазшьаҵәҟьа анаадырԥшуа.	Летом скалистые горы раскрывают свой истинный характер.
Ашьха акьышәкьышәрақәа асы анрықәҵ ауп цқьа еилырганы иубаратәы ианыҟала.	Остроконечные вершины, с которых сошёл снег, обнажают свои причудливые очертания.
Шьҭа аҳаракырақәа рыҟны инхо аԥстәқәа ашьха ақәцәқәа рахь ихалар рылшоит.	Только теперь обитатели высокогорий могут подняться на самый верх.
Ацаҟьа ҭакнаҳақәа. Амшын азқәа ҩахыс х-километрак инареиҳан аҳаракыра змоу.	щтвесные скалы на высоте трёх километров над уровнем моря.
Урҭ рыҟны ԥсҭазаара ыҟамшәа убоит азныказы.	Они кажутся лишёнными жизни.
Аха араҟагьа иҟоуп аԥстәқәа.	Но и здесь есть животные.
Амшә Гризли .	Медведь гризли.
Арҭ аҟәаԥаҿаԥарақәа рҿы иахьыҟоу иџьаушьаратәы иҟоуп. Арахь иаазгаз здыруада?!	странно видеть его на этих каменистых кручах. И трудно представить, что могло привлечь его сюда.
Абри ашықәс аамҭазы амшәқәа аԥсылара иалагоит аӡынра рҽаздырхиаразы.	В это время года медведи должны нагуливать жир на зиму.
Уи аҭыԥан, анаарақәа рҿы арҭ ацәҳәырақәа ирықәуп.	Вместо этого они собираются на таких пустынных склонах.
Аха урҭ хықәкык рымоуп. Иџьашьахәуп фатәыс ирымоу.	Но у них есть цель. Они ищут необычную пищу.
Аԥырԥалыкьқәа.	Бабочки-совки.
Миллионла акаршәрақәа рыҟнытә аԥарԥалыкьқәа хыҵыны арахь иааит ашоура иацәыбналаны, уажәы ахаҳәқәа рыбжьара рыкәтаӷьқәа рышьҭаҵара иаҿуп.	Миллионы бабочек прилетели сюда из долины, спасаясь от жары, и сейчас откладывают яйца среди камней.
Аԥарԥалыкьқәа амшә фатәыс иабарызхари ҳәа шәгәы иаанагап.	Вам может показаться, что бабочки - слишком скудная пища для медведя,
Иџьашьатәуп, аха амшәқәа ирзеиӷьзаап, иарӷәӷәоит, рымч иацырҵоит.	однако они очень калорийны и могут сыграть решающую роль для победы медведя в борьбе за существование.
Ашьхақәа рҿы даҽа процесск мҩаԥысуеит, аха уи акыр аамҭа иадхалоит.	В горах идёт ещё одна борьба, но гораздо протяжённее по времени.
Ахаҳәқәа –ашьха абаҩқәа – аԥыҽҽра иаҿуп, ацаҟьақәа уаҳа ирызҳаӡом, маҷ-маҷ ихәашхәашо ацара иалагеит.	Эти камни - разрушающиеся кости гор, скалистые горы больше не растут, а медленно рассыпаются.
Апланетаҿы ашьхақәа зегьы аси аҵааи ихәашхәашо иргоит.	Все горы на планете подвергаются разрушительному действию мороза, снега и льда.
Альпақәа.	Альпы.
15 миллион шықәса раԥхьа ишьақәгылеит. Аҩадаҟа инаскьоз Африкеи Европа аладатәи аҳәааи реидыслара иахҟьаны.	Возникли примерно 15 миллионов лет назад, когда дрейфующая на север Африка столкнулась с южной оконечностью Европы.
Аԥша ихнажәжәаз арҭ акьышәкьышәрақәа зны аокеан аҵакәын. Уи аконтинентқәа ҩба еиҟәнашон.	Эти выветренные пики - остатки дна древнего океана, который когда-то разделял 2 континента.
Аха ари Альпа ашьха акалҭқәа роуп.	Но это лишь предгорье Альп.
Ашьхеибыркыра агәҭантәи ақәцәқәа хә-километрак иҳаракуп, ҵааршәыралагьы ихҟьоуп.	В центре хребта вершины достигают пятикилометровой высоты и покрыты вечными снегами.
Ашьха Маттерхорн.	Гора Маттерхорн.
Уи ақәцә аганқәа ҿҟьарсҭаны илашьҭуп, асы ахьықәугьы уброуп.	Её вершина образована отвесными гранями, на которых снег и держится.
Монблан– мраҭашәаратәи Европа иҟоу ашьхақәа зегь реиҳа иҳаракуп.	Монблан - самая высокая гора в западной Европе.
Альпақәа рықәцәқәа абас ишьақәзыргылаз аҵаауп – аԥсабаратә скульптор.	Над зазубренным силуэтом Альп поработали величайшие природные скульпторы - ледники.
Аҵаа ԥҽыха дуӡӡақәеи ахаҳәи еилаланы, ашьхантә ижәыланы илбаауеит рышьҭахьҟа арха ҵаулақәа ааныжьны.	Огромные массы льда вперемешку с камнями широкими потоками спускаются с гор, оставляя за собой глубокие долины.
Ари апланетаҿы зегьы раасҭа иӷәӷәоу ерозиатә мчуп.	Это - самая мощная эррозионная сила на планете.
Глетчертәи аӡлагара. Аҵаа иагәылсны иаауа ацыхаӡы иҟанаҵаз ашахта.	Глетчерная мельница - это шахта во льду, которая проделана талой водой, бегущей внутри ледника.
Иаара аҵаагьы – ацыхаӡқәа реиԥш – иаанымгылаӡакәа, Ишиашоу ҵаҟа илбаауеит архаҟа /	сам ледник, как и талые воды, находится в постоянном движении. Неуклонно сползает вниз, в долину.
Альпатәи аҵааршәырақәа дуӡӡоушәа иубоит азныказы, аха урҭ абанӡеиҵоу Индиатәи асубконтиненти Тибети еиҟәызшо Ашьха аҟәаҟәа иқәу аҵааршәырақәа раасҭа.	Альпийские ледники кажутся нам огромными, но они меркнут по сравнению с вечными льдами, покрывающими горный хребет, отделяющий Индийский субконтинент от Тибета.
Ари Пакисҭан иҟоу Каракорум ашьхақәа рҿы хаҳәла ихҟьоу Балторо аҵааршәыра ду абыз ауп.	Это покрытый камнями язык громадного ледника Балторо, в горах Каракорум, в Пакистане.
Балторо – адунеи аҿы зегьы раасҭа иауу ҵааршәыроуп.	Балторо - самый длинный ледник в мире,
Уи аура 69 км инаӡоит, аҭбаарагьы -5 км рҟынӡа иҟоуп.	его длина - 69 километров, а ширина - почти 5 километров.
Ҵаала иҭырҭәаау ари акаршәра убри аҟара идууп, акосмос аҟнытә ибзиаӡаны иубарҭоуп.	Заполненная льдом долина настолько огромна, что отчётливо видна из космоса.
Ари ашьхеибаркырақәа рҿы адунеи аҟны даҽаџьара аасҭа рҽеидыркылеит аанызықь метра инареиҳаны аҳаракыра змоу ашьха ақәцәқәа,.	В этой горной системе самое большое в мире скопление вершин высотой более восьми тысяч метров.
Апланетаҿы зегь раасҭа ишәарҭоуп арҭ ашьхақәа.	самые опасные горы на планете.
К-2 еи уи ааигәара иҟоу аҳаракырақәеи – иргахьо рхыԥхьаӡара еиҳауп егьырҭ ашьхақәа зегьы ааидкыланы рҿы аасҭа.	К-2 и соседние вершины унесли больше жизней, чем все другие горы.
Арҭ ашьхақәа рықәцәқәа ацаҟьа бааԥсқәаны илашьҭуп, Аҵааршәырақәагьы шьшьа-шьшьаны иҟоуп аҟнытә арахь ԥышәа дук змоу альпинистцәак ракәымзар, ахалара уаҩы илшом,	Вершины этих гор обрываются отвесными скалами, а ледники круты и изрезаны трещинами, поэтому проникнуть сюда могут только самые опытные альпинисты.
Мархәура захьӡу атәыҩалакь абнаџьмақәа,.	Винторогие козлы мархуры.
Урҭ ара есышықәса еизоит еибашьырц азы.	Они собираются здесь для ежегодныхтурнирных боёв.
Абаӷьқәа еисуеит аџьмақәа еимакны. Аха арҭ ацаҟьа бааԥсқәа рҿы руакы ишакәым ашьапы нықәнаргылар, аҩбагьы хланҵы еиццоит.	самцы сражаются за право обладания самками, но на обрывистых скалах один неверный шаг может стать смертельным для обоих соперников.
Абжьас – ирбис – Гималаи ашьхақәа рҿы, шамахамзар иуԥылаӡом.	снежный барс - ирбис - самый редкий зверь в гималаях.
Аҭыԥ ахь ианыгьежьуоуп.	Эта самка возвращается в своё логово.
Аоператорцәа ирылшеит иара ахьыҟаҵәҟьаз инеины, иааигәаӡаны аҭыхра.	Операторам впервые удалось снять снежного барса так близко в его естественной среде.
Ан шықәсык зхыҵуа аԥа ааира иеигәырӷьеит. иманшәаланы иалхуп.	Мать приветствует своего годовалого детёныша.
Арантә иаакәыршаны иҟоу ацаҟьақәа бзианы иубарҭоуп.	Пещера выбрана очень удачно, из неё открывается прелестный вид на окружающие скалы.
Ацаҟьа бааԥсқәа рҿы ари абжьас хкы ада даҽакы зышәарыцаӡом.	На крутых склонах ни один другой охотник кроме снежного барса не способен поймать столь проворную добычу.
Ан аԥацәа зцу акра еиҳа имариоуп.	самок с детёнышами ловить легче.
Абжьас ашьап ҟьаҟьақәа рыла афатә аҽаларԥсны иааннакылоит, аҵыхәа ду шьҭарӷәӷәаны аҽааннакылоит.	Широкие лапы обеспечивают барсу превосходное сцепление, а длинный хвост помогает удерживать равновесие.
Абжьас аԥсы ӡаны иаиуз аԥыхьашәа иеиҩаӡоит.	самка бесшумно занимает позицию над добычей.
Башахеит, иманшәаламхеит.	Воттак, не удалось, она возвращается ни с чем.
Ашьхауарбақәа ацаҟьақәа ирхаԥыруеит Излымшо, ихәу аԥстәқәа џьара иаабозар ҳәа.	Орлы беркуты патрулируют скалы в поисках больных или раненных животных.
Ари аԥсаатә амҵәыжәҩа анааиҵнахлак ҩ-метрак инаӡоит, амархәур ԥшқа аашьҭԥааны иагар алшоит.	Эта птица с размахом крыльев около двух метров легко может унести молодого мархура.
Ауарбақәа рыла ибзианы иабоит аҟнытә ианышәарыцо уи ауп изықәгәыӷуа, аха уажәы асы шкәакәа рылақәа хнакуеит.	Во время охоты беркуты полагаются на зрение, и густеющая снежная завеса заставляет их сдаться.
Абжьас асы иаҵәахуеит, Асы анилеиуа ашәарыцаразы иманшәалоуп аҟнытә, еиҭа аҽыԥнашәоит.	А снежному барсу снегопад обеспечивает прикрытие и дарит ещё один шанс.
Асаҟны ашьҭыбжь уаҳаӡом азы аԥстәы акыр иазааигәаны инеир алшоит.	снег приглушает звук шагов и позволяет подобраться к добыче на расстояние броска.
Ас идуу аԥстәы, шамахамзар, иаԥыхьашәаӡом, уажәы игәааит азоуп....	Попытка поймать такого крупного зверя - это акт отчаяния.
Аха абгақәа маншәалахеит, урҭ ирхашәалаз аԥсхаԥсжьы егьырҭ агыгшәыгқәагьы ирыхьӡеит.	Зато волки поохотились успешно и предоставили другим хищникам возможность полакомиться падалью.
Ари асыҭәҳәа ирбис арманшәалеит.	снежная буря принесла, наконец, удачу и самке ирбиса.
Аха афатә иашьҭаланы ашьха илбаар акәхеит, Шьҭа хыхьҟа, аҳаԥахьы ахалара шԥажәбеи!	Но в погоне за добычей она спустилась с горы, и теперь ей предстоит утомительный подъём к пещере.
Ари макьана иԥшқоуп азы шықәсык ашьҭахь ауп амч анҭало, Убасҟан ахала ишәарҭоу анаарақәа ирҿаланы ашәараыцара алшартә иҟалоит.	Детёнышу нужно набраться терпения, только через год у него появятся силы и навыки, чтобы самостоятельно охотиться на этих опасных склонах.
Асы бжьас мифтә ԥстәушәоуп ишыҟоу – арҭ ашьхақәа Ирсимволны иԥхьаӡоуп.	снежный барс - почти мифическое животное - символ этих гор.
Аԥсабараҿы ирбис збахьоу маҷӡоуп, Избанзар иара ахьыҟоу, шамахамзар, ҳазнеиӡом.	В природе ирбиса видели единицы, потому что мы очень редко навещаем его мир.
Каракара ашьха ашьхеибаркыра мраҭашәаратәи аган иадуп, Уи аура адгьыл еикәшара жәантә ишаны хәҭак артәоит.	Хребет Каракару находится в западной части горного массива, протяжённость которого составляет одну десятую часть окружности земного шара.
Гиамлаи ашьхақәа. Адунеи аҿы зегь раасҭа иҳараку шьхақәоуп.	Гималаи. самые высокие горы мира.
. Егьырҭ ашьхеибаркыра дуқәа реиԥш урҭ шьақәгылеит аматерикқәа реидыслара иахҟьаны.	Как и другие большие горные массивы, они возникли в результате столкновения материков.
50 миллион шықәса рышьҭахь зны Индиеи Тибети реидыслара иахҟьаны ишьақәгылеит аҳаракыра дуқәа.	Примерно 50 миллионов лет назад Индия столкнулась с Тибетом и вызвала подъём гигантских вершин,
Урҭ иахьагьы аизҳара иаҿуп.	которые продолжают расти и сегодня.
Ахаҳәи аҵааи еилалан, ҭӡы дуӡӡаны ишьақәгылеит, иара апланета зегьы аҳауа ашьақәгылараҿы анырра анаҭартә аҟынӡа идууп.	Они образуют громадную стену из камня и льда, которая настолько велика, что влияет на формирование климата по всей планете.
Индиантәи иасуа иԥхоу, ацәаакыра злоу аԥшақәа Гималаи ашьхақәа ирыдсыланы хыхьҟа ихалоит.	Тёплые, насыщенные влагой ветры из Индии наталкиваются на Гималаи и устремляются вверх.
Хыхь ианхала ихьшәашәоит, иԥсҭҳәахоит, анаҩс муссонқәахоит.	Поднимаясь, воздух охлаждается, в результате образуются облака и рождаются муссоны.
Аҳаракыра дуқәа рҿы урҭ сны илеиуеит.	На больших высотах муссон выпадает в виде снега.
Ара Китаи мрагыларатәи ашьха алаҟәырақәа рҿы ашәарах аҿоуп, аӡын бааԥсқәа раан хыҵакырҭа шрымамгьы.	Здесь, на восточных отрогах гор, в Китае, обитает зверь, который зимует без укрытия даже в самые суровые зимы.
Уажәааны амшәқәа зегьы, шамахамзар, рҭыҩрақәа рҿы ицәоуп, аха акалам мшәы ҳәа изышьҭоу панда ду рацәак иԥсылаӡам аӡын ицәарц азы.	В это время большинство медведей уже спит в берлогах, но у большой панды или бамбукового медведя недостаточно жировых запасов, чтобы впасть в зимний сон.
Панда фатәыс иамоу каламуп, уи иазырԥсылаӡом, егьырҭ амшәқәа реиԥш.	Единственная пища панды - бамбук, он имеет очень низкую питательную ценность и не позволяет запасать жир, как это делают другие медведи.
Ашьха шәарах зны хыхь ицоит, зны ҵаҟа илбаауеит ашықәс аамҭақәа реиҭакра инақәыршәаны.	Большинство горных животных перемещается вверх и вниз по склонам вместе со сменой времён года,
Аха панда иара афатә хкы ахьыҟоу аҭыԥ аҟны иаангылоит.	но панда привязана к одному месту своей диетой.
Акалам ари аҳаракыра мацараҿоуп иахьазҳауа.	Ведь бамбук, которым она питается, растёттолько на этой высоте.
Еиҳа иеилҟьоу рзы, абнаҿы иҟоу маҷӡам.	Утех, кто более мобилен, возможностей в лесу намного больше.
Ихьыԥшшәылоу амаамын ԥынҵа кәыры, апанда ду еиԥш, Китаи ауп иахьыҟоу.	Золотистая курносая обезьяна, как и большая панда, водится только в Китае.
Арҭ амаамынқәа ирықәу рхәы жәпоуп аҟнытә егьырҭ амаамынқәа ахьзымнеиуа аҳаракырақәа рҟынӡа инеиуеит.	Густая шесть позволяет этим обезьянам жить на высотах недосягаемых для других приматов.
